lemma_slp1	layer	sense_id	sense_gloss	count_all	sense_rank	lemma_share	n_texts	dispersion_dp	largest_text_share	count_adj	sense_rank_adj	count_bal_uniform	sense_rank_bal	count_nonsastra	sense_rank_nonsastra	top_genre	top_genre_share	periods	provenance	confidence
A	mw	A#12	towards (only in asma/d A/ , ‘towards us’), RV.	46	1	0.6301	4	0.9366	0.8043	2.92	1	11.66	2	46	1	veda	1.0		attested	
A	mw	A#17	(as a conjunctive particle) moreover, further, and (it is placed either between the two words connec	15	2	0.2055	9	0.9502	0.4667	0.75	2	53.66	1	6	2	vyakarana	0.4667		attested	
A	mw	A#7	4. A/ (as a prefix to verbs, especially of motion, and their derivatives) near, near to, towards (se	12	3	0.1644	1	0.9711	1.0	0.35	3	7.68	3	0	3	vyakarana	1.0		attested	
A	wn	132912	towards	46	1	0.3833	4	0.9366	0.8043	2.92	1	18.78	3	46	1	veda	1.0		attested	
A	wn	101213	ākāra — the letter ā	44	2	0.3667	2	0.9709	0.9773	1.28	2	23.65	2	0	5	vyakarana	0.9773		attested	
A	wn	129907	until	15	3	0.125	9	0.9502	0.4667	0.75	3	66.37	1	6	2	vyakarana	0.4667		attested	
A	wn	132060	ā — the prefix or preposition ā	12	4	0.1	1	0.9711	1.0	0.35	4	3.81	5	0	5	vyakarana	1.0		attested	
A	wn	135131	ā [suffix] — [gramm.] inflectional substitute element -ā	1	5	0.0083	1	0.9711	1.0	0.03	6	0.32	7	0	5	vyakarana	1.0		attested	
A	wn	136184	according to — dt. 'gem￤￟'	1	5	0.0083	1	0.9563	1.0	0.04	5	0.41	6	1	3	veda	1.0		attested	
A	wn	136207	since — dt. 'seit'	1	5	0.0083	1	0.9968	1.0	0.0	7	6.67	4	1	3	katha	1.0		attested	
ABA	mw	ABA#5	to look like, Kathās. ; MBh. &c.	12	1	0.6667	5	0.6015	0.5	4.78	1	13.02	1	9	1	epic	0.6667		attested	
ABA	mw	ABA#2	to shine or blaze towards, RV. ; AV. ;	4	2	0.2222	1	0.8032	1.0	0.79	2	1.11	3	4	2	epic	1.0		attested	
ABA	mw	ABA#3	to irradiate, outshine, illumine, RV. ; AV. ; TB. ; BhP. ;	1	3	0.0556	1	0.9563	1.0	0.04	4	3.6	2	1	3	veda	1.0		attested	
ABA	mw	ABA#4	to appear, become visible or apparent, BhP. ; MBh. ; Hariv. ; Rājat. &c.;	1	3	0.0556	1	0.8032	1.0	0.2	3	0.28	4	1	3	epic	1.0		attested	
ABA	wn	93894	look — give a certain impression or have a certain outward aspect; 'She seems to be sleeping'; 'This	11	1	0.6111	4	0.6133	0.5455	4.25	1	9.42	1	9	1	epic	0.7273		attested	
ABA	wn	96594	shine — emit light; be bright, as of the sun or a light; 'The sun shone bright that day'; 'the fire 	4	2	0.2222	1	0.8032	1.0	0.79	2	1.11	4	4	2	epic	1.0		attested	
ABA	wn	84647	look — have a certain outward or facial expression; 'How does she look?' 'The child looks unhappy'; 	1	3	0.0556	1	0.9882	1.0	0.01	5	3.6	2	0	5	rasasastra	1.0		attested	
ABA	wn	85754	irradiate — cast rays of light upon	1	3	0.0556	1	0.9563	1.0	0.04	4	3.6	2	1	3	veda	1.0		attested	
ABA	wn	93899	appear — seem to be true, probable, or apparent; 'It seems that he is very gifted'; 'It appears that	1	3	0.0556	1	0.8032	1.0	0.2	3	0.28	5	1	3	epic	1.0		attested	
ABAs	wn	96136	look like — bear a physical resemblance to; 'She looks like her mother'	2	1	1.0	1	0.9997	1.0	0.0	1	2.0	1	2	1	kavya	1.0		attested	
ABAsa	mw	ABAsa#1	A-BAsa m. splendour, light, R. ; Vedāntas. 195	12	1	0.5714	10	0.6712	0.1667	3.95	1	13.19	1	4	1	rasasastra	0.4167		attested	
ABAsa	mw	ABAsa#2	colour, appearance, R. ; Suśr. ; Bhag.	7	2	0.3333	5	0.6923	0.4286	2.15	2	5.88	2	3	2	epic	0.4286		attested	
ABAsa	mw	ABAsa#3	semblance, phantom, phantasm of the imagination	2	3	0.0952	2	0.9865	0.5	0.03	3	1.93	3	1	3	rasasastra	0.5		attested	
ABAsa	semdom	attribute	attribute	21	1	0.8077	15	0.4754	0.1905	11.02	1	24.0	1	8	1	rasasastra	0.381		attested	
ABAsa	semdom	process	process	5	2	0.1923	4	0.926	0.4	0.37	2	2.0	2	0	2	rasasastra	1.0		attested	
ABAsa	wn	24565	color — a visual attribute of things that results from the light they emit or transmit or reflect; '	11	1	0.4231	10	0.6636	0.1818	3.7	1	13.35	1	3	1	rasasastra	0.4545		attested	
ABAsa	wn	23335	look — physical appearance; 'I don't like the looks of this place'	7	2	0.2692	5	0.6923	0.4286	2.15	2	6.78	2	3	1	epic	0.4286		attested	
ABAsa	wn	130897	ābhāsa — [alchemy] a kind of bandha	5	3	0.1923	4	0.926	0.4	0.37	3	2.0	4	0	5	rasasastra	1.0		attested	
ABAsa	wn	23349	semblance — outward or token appearance or form; 'he tried to give his actions a semblance of authen	2	4	0.0769	2	0.9865	0.5	0.03	4	2.13	3	1	3	rasasastra	0.5		attested	
ABAsa	wn	24555	radiance — the quality of being bright and sending out rays of light	1	5	0.0385	1	0.9988	1.0	0.0	5	1.73	5	1	3	katha	1.0		attested	
ABAsaka	wn	77254	looking — appearing to be as specified; usually used as combining forms; 'left their clothes dirty l	2	1	1.0	2	0.9406	0.5	0.12	1	2.0	1	0	1	rasasastra	1.0		attested	
ABAz	mw	ABAz#5	to call, shout, MBh. ; Ragh. ;	1	1	1.0	1	0.9186	1.0	0.08	1	1.0	1	0	1	ayurveda	1.0		attested	
ABAz	wn	88580	call — ascribe a quality to or give a name that reflects a quality; 'He called me a bastard'; 'She c	1	1	1.0	1	0.9186	1.0	0.08	1	1.0	1	0	1	ayurveda	1.0		attested	
ABIkzRya	mw	ABIkzRya#1	ABIkzRya n. continued repetition, L.	3	1	1.0	1	0.9711	1.0	0.09	1	3.0	1	0	1	vyakarana	1.0		attested	
ABIkzRya	semdom	Tops	Tops	3	1	0.75	1	0.9711	1.0	0.09	1	2.0	1	0	1	vyakarana	1.0		attested	
ABIkzRya	semdom	event	event	1	2	0.25	1	0.9977	1.0	0.0	2	2.0	1	0	1	arthasastra	1.0		attested	
ABIkzRya	wn	4712	repetition — the act of repeating	3	1	0.75	1	0.9711	1.0	0.09	1	2.0	1	0	1	vyakarana	1.0		attested	
ABIkzRya	wn	34349	repeat — an event that repeats; 'the events today were a repeat of yesterday's'	1	2	0.25	1	0.9977	1.0	0.0	2	2.0	1	0	1	arthasastra	1.0		attested	
ABIla	mw	ABIla#4	ABIla [ cf. Hib. abhéil , ‘terrible, dreadful’.]	1	1	1.0	1	0.8998	1.0	0.1	1	1.0	1	1	1	epic	1.0		attested	
ABIla	wn	67737	awful — causing fear or dread or terror; 'the awful war'; 'an awful risk'; 'dire news'; 'a career or	1	1	1.0	1	0.8998	1.0	0.1	1	1.0	1	1	1	epic	1.0		attested	
ABIra	mw	ABIra#1	ABIra m. N. of a people, MBh. ; R. ; VP.	2	1	1.0	1	0.9965	1.0	0.01	1	2.0	1	2	1	purana	1.0		attested	
ABIra	semdom	person	person	3	1	0.75	2	0.9883	0.6667	0.04	1	2.0	1	3	1	purana	1.0		attested	
ABIra	semdom	substance	substance	1	2	0.25	1	0.983	1.0	0.02	2	2.0	1	0	2	rasasastra	1.0		attested	
ABIra	wn	120008	Ābhīra — name of a people	2	1	0.5	1	0.9965	1.0	0.01	3	1.33	2	2	1	purana	1.0		attested	
ABIra	wn	45102	cowboy — a hired hand who tends cattle and performs other duties on horseback	1	2	0.25	1	0.9917	1.0	0.01	2	0.67	3	1	2	purana	1.0		attested	
ABIra	wn	63604	tin — a silvery malleable metallic element that resists corrosion; used in many alloys and to coat o	1	2	0.25	1	0.983	1.0	0.02	1	2.0	1	0	3	rasasastra	1.0		attested	
ABU	mw	ABU#6	to originate, be produced, begin to exist, RV. ; AV. ; ŚBr.	3	1	0.6	2	0.9443	0.6667	0.17	1	3.0	1	3	1	veda	1.0		attested	
ABU	mw	ABU#9	A-BU/ ( Us ), m. a helper, assistant.	2	2	0.4	1	0.9563	1.0	0.09	2	2.0	2	2	2	veda	1.0		attested	
ABU	semdom	person	person	2	1	1.0	1	0.9563	1.0	0.09	1	2.0	1	2	1	veda	1.0		attested	
ABU	wn	95963	originate — come into existence or develop: 'A new religious movement originated in that country' 'a	3	1	0.6	2	0.9443	0.6667	0.17	1	3.0	1	3	1	veda	1.0		attested	
ABU	wn	44334	assistant — a person who contributes to the fulfillment of a need or furtherance of an effort or pur	2	2	0.4	1	0.9563	1.0	0.09	2	2.0	2	2	2	veda	1.0		attested	
ABUti	mw	ABUti#2	superhuman power or strength, RV. x, 84, 6	1	1	1.0	1	0.988	1.0	0.01	1	1.0	1	1	1	veda	1.0		attested	
ABUti	semdom	attribute	attribute	1	1	1.0	1	0.988	1.0	0.01	1	1.0	1	1	1	veda	1.0		attested	
ABUti	wn	24922	strength — the property of being physically or mentally strong; 'fatigue sapped his strength'	1	1	1.0	1	0.988	1.0	0.01	1	1.0	1	1	1	veda	1.0		attested	
ABUz	mw	ABUz#1	1. A-√ BUz P. -BU/zati , to spread over, reach, AV. vii, 11, 1 ; xviii, 1, 24 ;	1	1	1.0	1	0.9963	1.0	0.0	1	1.0	1	1	1	veda	1.0		attested	
ABUz	wn	89682	cover — form a cover over; 'The grass covered the grave'	1	1	1.0	1	0.9963	1.0	0.0	1	1.0	1	1	1	veda	1.0		attested	
ABa	mw	ABa#1	( mfn. ) ifc. like, resembling, appearing, R. ; Kāvyād. ; Śiś. &c. ( e.g. hemA Ba , shining like gol	89	1	1.0	26	0.4024	0.2697	53.19	1	89.0	1	31	1	rasasastra	0.4045		attested	
ABa	wn	68813	colored — having color or a certain color; sometimes used in combination; 'colored crepe paper'; 'th	134	1	0.5826	25	0.5352	0.1791	62.29	1	60.6	2	15	2	rasasastra	0.7985		attested	
ABa	wn	74560	like — resembling or similar; having the same or some of the same characteristics; often used in com	56	2	0.2435	18	0.4446	0.2679	31.1	2	45.61	3	16	1	rasasastra	0.3929		attested	
ABa	wn	77254	looking — appearing to be as specified; usually used as combining forms; 'left their clothes dirty l	31	3	0.1348	17	0.5406	0.2903	14.24	3	100.26	1	13	3	rasasastra	0.4516		attested	
ABa	wn	74565	alike(p) — having the same or similar characteristics; 'all politicians are alike'; 'they looked utt	6	4	0.0261	6	0.6235	0.1667	2.26	4	9.84	4	3	4	rasasastra	0.3333		attested	
ABa	wn	104604,74560	ābha — ifc. like	1	5	0.0043	1	0.9917	1.0	0.01	6	6.39	5	1	5	purana	1.0		attested	
ABa	wn	68813,74560	ābha — ifc. like	1	5	0.0043	1	0.8998	1.0	0.1	5	0.91	7	1	5	epic	1.0		attested	
ABa	wn	74565,74560	sadṛśa — like	1	5	0.0043	1	0.9917	1.0	0.01	6	6.39	5	1	5	purana	1.0		attested	
ABaga	mw	ABaga#1	A/-Baga m. one who is to be honoured by a share, RV. i, 136, 4 , &c.; AV. iv, 23, 3.	2	1	1.0	2	0.9443	0.5	0.11	1	2.0	1	2	1	veda	1.0		attested	
ABaga	semdom	person	person	2	1	1.0	2	0.9443	0.5	0.11	1	2.0	1	2	1	veda	1.0		attested	
ABaga	wn	47078	partaker — someone who takes a part or a share	2	1	1.0	2	0.9443	0.5	0.11	1	2.0	1	2	1	veda	1.0		attested	
ABaj	wn	94579,94576	ābhaj — teilnehmen lassen	1	1	1.0	1	0.9969	1.0	0.0	1	1.0	1	1	1	veda	1.0		attested	
ABaraRa	mw	ABaraRa#2	ornament, decoration (as jewels &c.), Mn. ; Śak. ; Hit. &c.	58	1	0.9667	8	0.5609	0.5517	25.47	1	59.5	1	40	1	epic	0.6552		attested	
ABaraRa	mw	ABaraRa#1	A-BaraRa n. decorating	2	2	0.0333	1	0.8032	1.0	0.39	2	0.5	2	2	2	epic	1.0		attested	
ABaraRa	semdom	artifact	artifact	80	1	1.0	10	0.5681	0.475	34.56	1	80.0	1	49	1	epic	0.5625		attested	
ABaraRa	wn	15896	decoration — something used to beautify	56	1	0.6829	8	0.5882	0.5714	23.06	1	55.83	1	38	1	epic	0.6429		attested	
ABaraRa	wn	18011	jewelry — an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems	22	2	0.2683	6	0.6378	0.5455	7.97	2	25.17	2	9	2	rasasastra	0.5909		attested	
ABaraRa	wn	13347	adornment — a decoration of color or interest that is added to relieve plainness	2	3	0.0244	1	0.8998	1.0	0.2	3	0.5	3	2	3	epic	1.0		attested	
ABaraRa	wn	15896,13347	ābharaṇa — decorating	1	4	0.0122	1	0.8032	1.0	0.2	4	0.25	4	1	4	epic	1.0		attested	
ABaraRa	wn	15896,18011	ābharaṇa — decorating	1	4	0.0122	1	0.8032	1.0	0.2	4	0.25	4	1	4	epic	1.0		attested	
ABf	mw	ABf#2	to bring towards or near;	3	1	1.0	2	0.9443	0.6667	0.17	1	3.0	1	3	1	veda	1.0		attested	
ABf	wn	93653	bring — take something or somebody with oneself somewhere; 'Bring me the box from the other room'; '	3	1	1.0	2	0.9443	0.6667	0.17	1	3.0	1	3	1	veda	1.0		attested	
ABicArika	mw	ABicArika#2	ABicArika n. spell, enchantment, magic.	1	1	1.0	1	0.9944	1.0	0.01	1	1.0	1	1	1	purana	1.0		attested	
ABicArika	semdom	cognition	cognition	1	1	1.0	1	0.9944	1.0	0.01	1	1.0	1	1	1	purana	1.0		attested	
ABicArika	wn	28687	magic — any art that invokes supernatural powers	1	1	1.0	1	0.9944	1.0	0.01	1	1.0	1	1	1	purana	1.0		attested	
ABimuKya	mw	ABimuKya#1	ABimuKya n. ( fr. aBi-muKa ), direction towards	1	1	1.0	1	0.9711	1.0	0.03	1	1.0	1	0	1	vyakarana	1.0		attested	
ABimuKya	semdom	relation	relation	1	1	1.0	1	0.9711	1.0	0.03	1	1.0	1	0	1	vyakarana	1.0		attested	
ABimuKya	wn	60313	direction — the spatial relation between something and the course along which it points or moves; 'h	1	1	1.0	1	0.9711	1.0	0.03	1	1.0	1	0	1	vyakarana	1.0		attested	
ABoga	mw	ABoga#4	circuit, circumference, environs, extension, fulness, expanse, Śak. ; Bhartṛ. &c.	3	1	0.75	3	0.9564	0.3333	0.13	1	2.0	1	0	2	rasasastra	1.0		attested	
ABoga	mw	ABoga#1	1. A-Boga/ m. winding, curving, curve, crease, MBh. ; R. &c.	1	2	0.25	1	0.9976	1.0	0.0	2	2.0	1	1	1	katha	1.0		attested	
ABoga	semdom	attribute	attribute	3	1	1.0	3	0.9564	0.3333	0.13	1	3.0	1	0	1	rasasastra	1.0		attested	
ABoga	wn	25251	diameter — the length of a straight line passing through the center of a circle and connecting two p	3	1	0.75	3	0.9564	0.3333	0.13	1	2.0	1	0	2	rasasastra	1.0		attested	
ABoga	wn	3759,3179	ābhoga — winding	1	2	0.25	1	0.9976	1.0	0.0	2	2.0	1	1	1	katha	1.0		attested	
ABrAj	wn	96599	blaze — shine brightly and intensively	1	1	1.0	1	0.988	1.0	0.01	1	1.0	1	1	1	veda	1.0		attested	
ABraka	wn	131461	ābhraka — relating to talc/mica	1	1	1.0	1	0.9882	1.0	0.01	1	1.0	1	0	1	rasasastra	1.0		attested	
ABu	mw	ABu#2	one whose hands are empty, stingy, RV. x, 27, 1 ; 4.	3	1	1.0	1	0.9563	1.0	0.13	1	3.0	1	3	1	veda	1.0		attested	
ABu	wn	72856	stingy — not generous; 'she practices economy without being stingy'; 'an ungenerous response to the 	2	1	0.6667	1	0.9563	1.0	0.09	1	2.0	1	2	1	veda	1.0		attested	
ABu	wn	72689	empty — holding or containing nothing; 'an empty glass'; 'an empty room'; 'full of empty seats'; 'em	1	2	0.3333	1	0.9563	1.0	0.04	2	1.0	2	1	2	veda	1.0		attested	
ABuj	mw	ABuj#1	A- √ 1. Buj P. -Bujati , to bend in, bend down, ( paryaNkam A-Bujya , bending down in the Paryaṅka (	6	1	1.0	1	0.9186	1.0	0.49	1	6.0	1	0	1	ayurveda	1.0		attested	
ABuj	wn	90049	bend — cause to assume a crooked or angular form; 'bend the rod'	5	1	0.8333	1	0.9186	1.0	0.41	1	5.0	1	0	1	ayurveda	1.0		attested	
ABuj	wn	93456	bend — form a curve	1	2	0.1667	1	0.9186	1.0	0.08	2	1.0	2	0	1	ayurveda	1.0		attested	
AByantara	mw	AByantara#1	AByantara mfn. ( fr. aBy-antara ), being inside, interior, inner, MBh. ; Suśr.	5	1	1.0	2	0.9186	0.8	0.41	1	5.0	1	0	1	ayurveda	0.8		attested	
AByantara	wn	71885	inner — (anatomy) inside or closer to the inside of the body; 'the inner ear'	5	1	1.0	2	0.9186	0.8	0.41	1	5.0	1	0	1	ayurveda	0.8		attested	
ADA	mw	ADA#7	[see under √ 1. DA ], ( P. and Ā. ) to place on, put down, deposit, put;	13	1	0.5909	8	0.6057	0.3077	5.13	1	12.8	1	7	1	veda	0.3077		attested	
ADA	mw	ADA#10	to add (fuel to fire), RV. ; ŚBr. ; ĀśvGṛ. ; PārGṛ. &c.;	2	2	0.0909	2	0.703	0.5	0.59	2	1.05	4	2	2	epic	1.0		attested	
ADA	mw	ADA#16	to conceive (as a woman), get children, RV. &c.:	2	2	0.0909	2	0.9158	0.5	0.17	3	4.71	2	1	3	katha	0.5		attested	
ADA	mw	ADA#12	to give, supply, lend, deliver, RV. ; AV. ; PārGṛ. ; BhP. &c.;	1	4	0.0455	1	0.9933	1.0	0.01	7	0.45	6	0	5	rasasastra	1.0		attested	
ADA	mw	ADA#14	to make, constitute, effect, Ragh. ; Mālav. ; Rājat. &c.;	1	4	0.0455	1	0.9498	1.0	0.05	5	0.45	6	0	5	rasasastra	1.0		attested	
ADA	mw	ADA#15	(only Ā. ) to keep, preserve, appropriate to one's self, hold, possess, take;	1	4	0.0455	1	0.9498	1.0	0.05	5	0.45	6	0	5	rasasastra	1.0		attested	
ADA	mw	ADA#17	Caus. -DApayati , to cause to put:	1	4	0.0455	1	0.995	1.0	0.01	8	1.57	3	0	5	ayurveda	1.0		attested	
ADA	mw	ADA#8	to impregnate, instil ( e.g. good sentiments), impress, direct;	1	4	0.0455	1	0.8998	1.0	0.1	4	0.52	5	1	3	epic	1.0		attested	
ADA	wn	91067	put — put into a certain place: 'Put your things here'; 'Set the tray down'; 'Set the dogs on the sc	13	1	0.5909	8	0.6057	0.3077	5.13	1	12.8	1	7	1	veda	0.3077		attested	
ADA	wn	84752	conceive — become pregnant; undergo conception; 'She cannot conceive'; 'My daughter was conceived in	2	2	0.0909	2	0.9158	0.5	0.17	3	4.71	2	1	2	katha	0.5		attested	
ADA	wn	87680	direct — give directions to; point somebody into a certain direction; 'I directed them towards the t	1	3	0.0455	1	0.8998	1.0	0.1	4	0.52	4	1	2	epic	1.0		attested	
ADA	wn	90299	cover — provide with a covering or cause to be covered; 'cover her face with a handkerchief'; 'cover	1	3	0.0455	1	0.995	1.0	0.01	9	1.57	3	0	6	ayurveda	1.0		attested	
ADA	wn	94712	lend — of a quality, as in: 'Her presence lends a certain cachet to the company'; 'The music added a	1	3	0.0455	1	0.9933	1.0	0.01	8	0.45	7	0	6	rasasastra	1.0		attested	
ADA	wn	94859	fuel — provide with fuel; 'Oil fires the furnace'	1	3	0.0455	1	0.8998	1.0	0.1	4	0.52	4	1	2	epic	1.0		attested	
ADA	wn	95699	effect — act so as to bring about; 'effect a change'; 'carry out a reform'	1	3	0.0455	1	0.9498	1.0	0.05	6	0.45	7	0	6	rasasastra	1.0		attested	
ADA	wn	96201	keep — keep in a certain state, position, or activity; e.g., 'keep clean'; 'hold in place'; 'She alw	1	3	0.0455	1	0.9498	1.0	0.05	6	0.45	7	0	6	rasasastra	1.0		attested	
ADA	wn	96574	ignite — cause to start burning; subject to fire or great heat; 'great heat will ignite paper'; 'Lig	1	3	0.0455	1	0.8032	1.0	0.2	2	0.52	4	1	2	epic	1.0		attested	
ADAna	semdom	act	act	2	1	1.0	2	0.9606	0.5	0.08	1	2.0	1	0	1	rasasastra	0.5		attested	
ADAna	wn	130114	pouring — dt. Gie￟en, Sch￼tten	1	1	0.5	1	0.9782	1.0	0.02	1	1.0	1	0	1	rasasastra	1.0		attested	
ADAna	wn	4000	sexual intercourse — the act of sexual procreation between a man and a woman; the man's penis is ins	1	1	0.5	1	0.9824	1.0	0.02	2	1.0	1	0	1	dharmasastra	1.0		attested	
ADAra	mw	ADAra#4	that which contains (a fluid &c.), a vessel, receptacle, Yājñ. ; Suśr. ; Pañcat. &c.	16	1	0.8421	8	0.8367	0.3125	2.61	1	9.2	1	0	2	rasasastra	0.9375		attested	
ADAra	mw	ADAra#2	A-DAra/ as , m. support, prop, stay, substratum	2	2	0.1053	2	0.9878	0.5	0.02	3	5.05	2	1	1	rasasastra	0.5		attested	
ADAra	mw	ADAra#8	(in phil. and Gr. ) comprehension, location, the sense of the locative case	1	3	0.0526	1	0.9711	1.0	0.03	2	4.75	3	0	2	vyakarana	1.0		attested	
ADAra	semdom	artifact	artifact	18	1	0.9	10	0.8314	0.2778	3.03	1	12.0	1	1	1	rasasastra	0.8889		attested	
ADAra	semdom	Tops	Tops	1	2	0.05	1	0.9711	1.0	0.03	2	4.0	2	0	2	vyakarana	1.0		attested	
ADAra	semdom	substance	substance	1	2	0.05	1	0.9994	1.0	0.0	3	4.0	2	0	2	tantra_yoga	1.0		attested	
ADAra	wn	20272	receptacle — a container that is used to put or keep things in	11	1	0.5238	7	0.8468	0.2727	1.69	1	6.83	1	0	2	rasasastra	0.9091		attested	
ADAra	wn	22634	vessel — an object used as a container (especially for liquids)	5	2	0.2381	4	0.9294	0.4	0.35	2	1.31	6	0	2	rasasastra	1.0		attested	
ADAra	wn	133598	ādhāra [word] — the word ādhāra	1	3	0.0476	1	0.9711	1.0	0.03	3	2.1	4	0	2	vyakarana	1.0		attested	
ADAra	wn	20017	prop — a support placed beneath or against something to keep it from shaking or falling	1	3	0.0476	1	0.9944	1.0	0.01	6	4.2	2	1	1	purana	1.0		attested	
ADAra	wn	21789	support — any device that bears the weight of another thing; 'there was no place to attach supports 	1	3	0.0476	1	0.9933	1.0	0.01	5	0.26	7	0	2	rasasastra	1.0		attested	
ADAra	wn	588	location — a point or extent in space	1	3	0.0476	1	0.9711	1.0	0.03	3	2.1	4	0	2	vyakarana	1.0		attested	
ADAra	wn	63328	material — the tangible substance that goes into the makeup of a physical object; 'coal is a hard bl	1	3	0.0476	1	0.9994	1.0	0.0	7	4.2	2	0	2	tantra_yoga	1.0		attested	
ADAraka	semdom	artifact	artifact	1	1	1.0	1	0.9186	1.0	0.08	1	1.0	1	0	1	ayurveda	1.0		attested	
ADAraka	wn	15796	cushion — a soft bag filled with air or a mass of padding such as feathers or foam rubber etc	1	1	0.5	1	0.9186	1.0	0.08	1	1.0	1	0	1	ayurveda	1.0		attested	
ADAraka	wn	19667	pillow — a cushion to support the head of a sleeping person	1	1	0.5	1	0.9186	1.0	0.08	1	1.0	1	0	1	ayurveda	1.0		attested	
ADI	mw	ADI#3	2. A-DI/ f. (for 1. A-DI See under A-√ DA ), eagerness, longing, care, RV. ; AV. &c.	1	1	1.0	1	0.9963	1.0	0.0	1	1.0	1	1	1	veda	1.0		attested	
ADI	semdom	feeling	feeling	1	1	1.0	1	0.9963	1.0	0.0	1	1.0	1	1	1	veda	1.0		attested	
ADI	wn	34996	longing — prolonged unfulfilled desire or need	1	1	1.0	1	0.9963	1.0	0.0	1	1.0	1	1	1	veda	1.0		attested	
ADU	wn	90854	brandish — move or swing back and forth; 'She waved her gun.'	1	1	0.5	1	0.8998	1.0	0.1	1	1.0	1	1	1	epic	1.0		attested	
ADU	wn	92766	shake — move back and forth; 'She shook her cousin's hands'; 'Don't shake the bottle'; 'My hands wer	1	1	0.5	1	0.9972	1.0	0.0	2	1.0	1	1	1	katha	1.0		attested	
ADam	wn	86119	heat — make hot or hotter; 'heat the soup'	4	1	0.4444	4	0.9616	0.25	0.15	3	3.0	1	0	2	rasasastra	1.0		attested	
ADam	wn	85609	puff — to swell or cause to enlarge, 'Her faced puffed up from the drugs'	2	2	0.2222	2	0.9064	0.5	0.19	1	1.5	3	0	2	ayurveda	1.0		attested	
ADam	wn	85611	inflate — fill with gas or air; 'inflate a balloons'	2	2	0.2222	1	0.9186	1.0	0.16	2	1.5	3	0	2	ayurveda	1.0		attested	
ADam	wn	85579	balloon — become inflated; 'The sails ballooned'	1	4	0.1111	1	0.9969	1.0	0.0	4	3.0	1	1	1	veda	1.0		attested	
ADamana	semdom	process	process	2	1	1.0	2	0.9703	0.5	0.06	1	2.0	1	0	1	rasasastra	1.0		attested	
ADamana	wn	58911	heating — the process of becoming warmer; a rising temperature	2	1	1.0	2	0.9703	0.5	0.06	1	2.0	1	0	1	rasasastra	1.0		attested	
ADamarRya	mw	ADamarRya#1	ADamarRya n. ( fr. aDamarRa ), the state of being a debtor, Pāṇ. ii, 3, 70 , &c.	3	1	1.0	1	0.9711	1.0	0.09	1	3.0	1	0	1	vyakarana	1.0		attested	
ADamarRya	semdom	state	state	3	1	1.0	1	0.9711	1.0	0.09	1	3.0	1	0	1	vyakarana	1.0		attested	
ADamarRya	wn	62994	debt — the state of owing money; 'he is badly in debt'	3	1	1.0	1	0.9711	1.0	0.09	1	3.0	1	0	1	vyakarana	1.0		attested	
ADava	mw	ADava#2	A-Dava/ m. one who stirs up or agitates, RV.	1	1	1.0	1	0.9563	1.0	0.04	1	1.0	1	1	1	veda	1.0		attested	
ADava	semdom	person	person	1	1	1.0	1	0.9563	1.0	0.04	1	1.0	1	1	1	veda	1.0		attested	
ADava	wn	44192	agitator — one who agitates; a political troublemaker	1	1	1.0	1	0.9563	1.0	0.04	1	1.0	1	1	1	veda	1.0		attested	
ADf	mw	ADf#1	A-√ Df P. ( -Darati ) to hold, keep, support, R. ; Kathās. :	1	1	1.0	1	0.9992	1.0	0.0	1	1.0	1	1	1	purana	1.0		attested	
ADf	wn	89722	hold — be the support of; 'The beam holds up the roof'; 'He supported me with one hand while I balan	1	1	1.0	1	0.9992	1.0	0.0	1	1.0	1	1	1	purana	1.0		attested	
ADfz	mw	ADfz#1	1. A-√ Dfz P. ( perf. 3. sg. A/-daDarza Pot. A/-daDarzIt Subj. aor. 3. sg. -daDa/rzat , &c.) to assa	1	1	1.0	1	0.988	1.0	0.01	1	1.0	1	1	1	veda	1.0		attested	
ADfz	wn	89185,86515	ādhṛṣ — to assail	1	1	1.0	1	0.988	1.0	0.01	1	1.0	1	1	1	veda	1.0		attested	
ADi	mw	ADi#1	1. A-Di/ m. (for 2. See p. 139, col. 2 ) a receptacle, BhP. xi, 13, 33	5	1	0.5556	1	0.9824	1.0	0.09	1	2.81	2	0	2	dharmasastra	1.0		attested	
ADi	mw	ADi#4	a pledge, deposit, pawn, mortgage, RV. ; Mn. ; Yājñ.	2	2	0.2222	2	0.982	0.5	0.04	2	1.12	3	0	2	dharmasastra	1.0		attested	
ADi	mw	ADi#5	hire, rent, Āp.	1	3	0.1111	1	0.9824	1.0	0.02	3	0.56	4	0	2	dharmasastra	1.0		attested	
ADi	mw	ADi#8	2. A-Di/ is , m. thought, care, anxious reflection, mental agony, anxiety, pain, TS. ; MBh. ; Yājñ. 	1	3	0.1111	1	0.9968	1.0	0.0	4	4.5	1	1	1	katha	1.0		attested	
ADi	semdom	communication	communication	2	1	0.6667	2	0.982	0.5	0.04	1	2.0	1	0	1	dharmasastra	1.0		attested	
ADi	semdom	possession	possession	1	2	0.3333	1	0.9824	1.0	0.02	2	1.0	2	0	1	dharmasastra	1.0		attested	
ADi	wn	31310,58139,58132,58131	ādhi — a receptacle	3	1	0.3333	1	0.9824	1.0	0.05	1	1.69	2	0	2	dharmasastra	1.0		attested	
