whitney_no,root_iast,homonym,talmud_root,talmud_whitney_ref,talmud_tip,talmud_ryad,talmud_set,mp1_grade,mp2_grade,mp3_grade,alternation_class,mp1_deviation,derivation_method,grade_confidence,match_kind,unclassifiable_reason
325,trap,,trap,trap,II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
326,tras,,tras,tras,II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
327,trā,,trā,trā,II,A₂,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
328,truṭ,,truṭ,truṭ,I,U₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
329,tvakṣ,,tvakṣ,tvakṣ,II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
330,tvaṅg,,tvang,tvaṅg,II,N,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
331,tvac,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
332,tvar,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
333,tviṣ,,tviṣ,tviṣ,I,I₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
334,tsar,,tsar,tsar,II,R,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
335,daṃś,,dn̥ś,"daṃś, daś",I,N₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
336,daṃs,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
337,dakṣ,,dakṣ,dakṣ,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
338,dagh,,dagh,dagh,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
339,dad,,dø̄,"1 dā, dad",I,A₂,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,spelling-alt,
340,dadh,,dhø̄,"1 dhā, dadh",I,A₂,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,spelling-alt,
341,dan,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
342,dabh,,dn̥bh,"dabh, dambh",I,N₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
343,dam,,dm̥̄,dam,I,M₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
344,day,,de,day,II,I,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
345,daridrā,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
346,dal,,dal,dal,II,L,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
347,das,,das,"das, dās",II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
348,dah,,dah,dah,II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
349,dā,1,dø̄,"1 dā, dad",I,A₂,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
350,dā,2,dø̄,2 dā,I,A₂,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
351,dā,3,dø̄,"3 dā, di",I,A₂,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
352,dā,4,dā,4 dā,II,A₂,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
353,dāś,,dāś,dāś,II,A₂,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
354,dās,,das,"das, dās",II,A₁,veṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,spelling-alt,
355,div,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
356,diś,,diś,diś,I,I₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
357,dih,,dih,dih,I,I₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
358,dī,1,,,,,,,,,unclassifiable,,,,,no_authorial_binding
359,dī,2,dī,"2 dī, dīdī",I,I₂,,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
360,dīkṣ,,dīkṣ,dīkṣ,III,I₂,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
361,dīdhī,,dhī,"dhī, dīdhī",I,I₂,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,spelling-alt,
362,dīp,,dīp,dīp,III,I₂,veṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
363,dīv,1,dīv,1 dīv,I,I₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
364,dīv,2,dīv,2 dīv (dev),I,I₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
365,du,,dū,"du, dū",I,U₂,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
366,dudh,,dudh,dudh,I,U₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
367,dul,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
368,duṣ,,duṣ,duṣ,I,U₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
369,duh,,duh,duh,I,U₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
370,dū,,dū,"du, dū",I,U₂,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,spelling-alt,
371,dṛ,1,dṛ,1 dṛ,I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
372,dṛ,2,dṛ,2 dṛ,I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
373,dṛp,,dṛp,dṛp,I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
374,dṛbh,,dṛbh,dṛbh,I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
375,dṛś,,dṛś,dṛś,I,R₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
376,dṛh,,dṛh,"dṛh, dṛṃh",I,R₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
377,dev,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
378,dyu,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
379,dyut,,dyut,dyut,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
380,dram,,dram,dram,II,M,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
381,drā,1,drā,1 drā,II,A₂,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
382,drā,2,drā,2 drā,II,A₂,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
383,drāḍ,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
384,dru,,dru,dru,I,U₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
385,druh,,druh,druh,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
386,drū,,drū,drū,I,U₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
388,dviṣ,,dviṣ,dviṣ,I,I₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
389,dhan,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
390,dhanv,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
391,dham,,dhmā,"dham, dhmā",II,A₂,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
392,dhav,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
393,dhā,1,dhø̄,"1 dhā, dadh",I,A₂,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
394,dhā,2,dhø̄,2 dhā,I,A₂,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
395,dhāv,1,dhau,1 dhāv,IV,U,seṭ,vrddhi,vrddhi,vrddhi,over-strong,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
396,dhāv,2,dhau,2 dhāv,IV,U,veṭ,vrddhi,vrddhi,vrddhi,over-strong,,talmud_appendix1_via_whitney_talmud,authorial,ref+hom,
397,dhi,,dhinv,"dhi, dhinv",III,I₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
398,dhī,,dhī,"dhī, dīdhī",I,I₂,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
399,dhukṣ,,dhukṣ,dhukṣ,III,U₁,seṭ,basic,basic,vrddhi,under-strong,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
