whitney_no,root_iast,homonym,talmud_root,talmud_whitney_ref,talmud_tip,talmud_ryad,talmud_set,mp1_grade,mp2_grade,mp3_grade,alternation_class,mp1_deviation,derivation_method,grade_confidence,match_kind,unclassifiable_reason
473,pṛṇ,,pṝ,"1 pṛ, pṛṇ, pūr",I,R₂,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,spelling-alt,
474,pṛt,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
475,pṛś,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
476,pyā,,pyā,pyā,II,A₂,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
477,prach,,pṛøch,prach,I,A₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
478,prath,,prath,prath,II,A₁,seṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
479,prā,,prā,prā,II,A₂,aniṭ,guna,guna,vrddhi,regular,guna_for_basic,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
480,prī,,prī,prī,I,I₂,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
481,pru,,pru,pru,I,U₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
482,pruth,,pruth,pruth,I,U₁,seṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
483,pruṣ,,pruṣ,pruṣ,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
484,plī,,,,,,,,,,unclassifiable,,,,,no_authorial_binding
485,plu,,plu,plu,I,U₁,aniṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
486,pluṣ,,pluṣ,pluṣ,I,U₁,veṭ,basic,guna,vrddhi,regular,,talmud_appendix1_via_whitney_talmud,authorial,root-uniq,
