verse	widx	form	lemma	root	etymology
6.29	1	sarva-bhūta-stham	sarva-bhūta-stha	√bhū	or: BV: yasyātmā yogena yukto ‘sti saḥ – whose self is engaged by yoga;
6.32	1	ātmaupamyena	ātma-aupamya	√mā	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
6.32	5	yaḥ	yat		or from: duḥ-√sthā; opposite to: sukha – joy,happiness);
7.01	4	āsakta-manāḥ	ā-sakta-manas	√sañj	or av. – completely;
7.16	10	jñānī	jñānin	√jñā	or yasya bhaktir ekāsti saḥ – whose devotion is exclusive;
9.02	2	rāja-guhyam	rāja-guhya	√raj	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
9.15	3	api	api		or av. (3n.1) – separately, one by one (from: √pṛth – to extend, pṛthak – separately, one by one);
9.27	9	yat	yat		or DV / BV: yeṣāṁ śubhaṁ ca aśubhaṁ ca phale staḥ taiḥ – from these that have good and bad fruit;
9.27	13	kuruṣva	√kṛ	√kṛ	or: BV: yasyātmā saṁnyāse yogena yukto ‘sti saḥ – whose self is joined with austerity by yoga;
9.32	16	parām	para		or KD: rājānaś cāsav ṛṣayaś ca – they are kings and sages;
9.33	2	brāhmaṇāḥ	brāhmaṇa	√bṛh	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
10.04	2	jñānam	jñāna	√jñā	or from: su-√sthā; opposite to: duḥkha – pain, difficulty);
10.14	2	etat	etat		or ka-īśa-va – the lord of Brahmā and Śiva (from: ka – Brahmā; √xīś – to own, to reign, īśa – ruler, lord, Śiva; -va = -vant – owner);
10.17	14	mayā	asmat		or BV: yo janānām abhadram ardati sa – one who destroys inauspiciousness of people;
10.19	12	asti	√as	√as	or TP: guḍākāyā īśeti – O lord of laziness (from: guḍākā – laziness, idleness, sleep; √xīś – to own, to reign, īśa – ruler, lord);
11.07	4	kṛtsnam	kṛtsna		or TP: guḍākāyā īśeti –  O lord of laziness (from: guḍākā – laziness, idleness, sleep; √xīś – to own, to reign, īśa – ruler, lord);
11.28	9	tathā	tathā		or abhi-vi-jvalant (abhi-vi-√jval – to burn, to glow) PPr 1n.3 n. – blazing [mouths];
11.34	21	sapatnān	sa-patna		or ka-īśa-va – the lord of Brahmā and Śiva (from: ka – Brahmā; īśa – ruler, lord, Śiva; -va = -vant – owner);
11.35	17	sa-gadgadam	sa-gadgadam	√xgad	or TP: hṛṣīkāṇām / indriyāṇām īśa iti – O lord of the senses (from: hṛṣīka – an organ of senses; √xīś – to own, to reign, īśa – ruler, lord);
11.37	4	na	na		or TP: yaḥ kartṝṇām ādir iti tasmai – than one who is the first among the creators;
