verse	form	lemma	gold_case_num_gender	class	kosha_analyses
2.67	caratām	carant	gen/pl/m	DIVERGE	None.du.None;None.sg.None
2.69	paśyataḥ	paśyant	gen/sg/	DIVERGE	nom.sg.m
2.70	acala-pratiṣṭham	acala-pratiṣṭha	acc/sg/m	GAP	
2.70	āpaḥ	ap	nom/pl/f	DIVERGE	acc.sg.n;nom.sg.m;nom.sg.n;voc.sg.n
2.71	pumān	puṁs	nom/sg/m	GAP	
3.01	jyāyasī	jyāyasī	nom/sg/f	DIVERGE	acc.du.n;nom.du.n;voc.du.n
3.03	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
3.04	saṁnyasanād	saṁnyasana	abl/sg/n	GAP	
3.05	akarma-kṛt	a-karma-kṛt	nom/sg/m	GAP	
3.06	smaran	smarant	nom/sg/m	GAP	
3.09	yajñārthāt	yajña-artha	abl/sg/n	GAP	
3.11	bhāvayantaḥ	bhāvayant	nom/pl/m	GAP	
3.13	yajña-śiṣṭāśinaḥ	yajña-śiṣṭa-āśin	nom/pl/m	GAP	
3.13	santaḥ	sant	nom/pl/m	DIVERGE	nom.sg.m
3.13	sarva-kilbiṣaiḥ	sarva-kilbiṣa	instr/pl/n	GAP	
3.13	ātma-kāraṇāt	ātma-kāraṇa	abl/sg/n	GAP	
3.14	anna-saṁbhavaḥ	anna-saṁbhava	nom/sg/m	GAP	
3.14	karma-samudbhavaḥ	karma-samudbhava	nom/sg/m	GAP	
3.15	brahmodbhavam	brahma-udbhava	acc/sg/n	GAP	
3.15	akṣara-samudbhavam	a-kṣara-samudbhava	acc/sg/m	GAP	
3.16	indriyārāmaḥ	indriya-ārāma	nom/sg/m	GAP	
3.18	artha-vyapāśrayaḥ	artha-vyapāśraya	nom/sg/m	GAP	
3.19	ācaran	ācarant	nom/sg/m	GAP	
3.20	janakādayaḥ	janaka-ādi	nom/pl/m	GAP	
3.20	saṁpaśyan	saṁpaśyant	nom/sg/m	GAP	
3.22	triṣu	tri	loc/pl/m	GAP	
3.25	avidvāṁsaḥ	a-vidvas	nom/pl/m	GAP	
3.25	vidvān	vidvas	nom/sg/m	GAP	
3.26	vidvān	vidvas	nom/sg/m	GAP	
3.26	samācaran	samācarant	nom/sg/m	GAP	
3.27	ahaṁkāra-vimūḍhātmā	ahaṁkāra-vimūḍhātman	nom/sg/m	GAP	
3.29	guṇa-saṁmūḍhāḥ	guṇa-saṁmūḍhāḥ	nom/pl/m	GAP	
3.29	akṛtsna-vidaḥ	akṛtsna-vit	acc/pl/m	GAP	
3.30	nir-āśīḥ	nir-ā-śis	nom/sg/m	GAP	
3.31	anasūyantaḥ	an-asūyant	nom/pl/m	GAP	
3.32	abhyasūyantaḥ	abhi-asūyant	nom/pl/m	GAP	
3.32	sarva-jñāna-vimūḍhān	sarva-jñāna-vimūḍha	acc/pl/m	GAP	
3.34	indriyasya indriyasya	indriya	gen/sg/n	GAP	
3.35	śreyān	śreyas	nom/sg/m	GAP	
3.36	anicchan	an-icchant	nom/sg/m	GAP	
3.37	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
3.37	rajo-guṇa-samudbhavaḥ	rajo-guṇa-samudbhava	nom/sg/m	GAP	
3.39	nitya-vairiṇā	nitya-vairin	instr/sg/m	GAP	
3.41	jñāna-vijñāna-nāśanam	jñāna-vijñāna-nāśana	acc/sg/m	GAP	
4.01	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
4.02	paraṁ-parā-prāptam	paraṁ-parā-prāpta	acc/sg/m	GAP	
4.03	sakhā	sakhi	nom/sg/m	GAP	
4.05	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
4.06	san	sant	nom/sg/m	GAP	
4.06	san	sant	nom/sg/m	GAP	
4.06	ātma-māyayā	ātma-māyā	instr/sg/f	GAP	
4.08	duṣkṛtām	duṣ-kṛta	acc/du/n	DIVERGE	acc.sg.f;gen.pl.f;gen.pl.m;gen.pl.n
4.08	dharma-saṁsthāpanārthāya	dharma-saṁsthāpana-artha	dat/sg/n	GAP	
4.08	yuge yuge	yuga	loc/sg/n	GAP	
4.10	jñāna-tapasāḥ	jñāna-tapas	instr/sg/n	GAP	
4.11	vartman	vartman	acc/sg/n	DIVERGE	voc.sg.n
4.12	kāṅkṣantaḥ	kāṅkṣant	nom/pl/m	GAP	
4.18	kṛtsna-karma-kṛt	kṛtsna-karma-kṛt	nom/sg/m	GAP	
4.19	kāma-saṁkalpa-varjitāḥ	kāma-saṁkalpa-varjita	nom/pl/m	GAP	
4.19	jñānāgni-dagdha-karmāṇam	jñāna-agni-dagdha-karmāṇa	acc/sg/m	GAP	
4.19	paṇḍitaṁ	paṇḍita	acc/sg/m	GAP	
4.20	karma-phalāsaṅgam	karma-phala-āsaṅga	acc/sg/m	GAP	
4.20	nitya-tṛptaḥ	nitya-tṛpta	nom/sg/m	GAP	
4.21	nir-āśīḥ	nir-ā-śis	nom/sg/m	GAP	
4.21	tyakta-sarva-parigrahaḥ	tyakta-sarva-parigraha	nom/sg/m	GAP	
4.21	kurvan	kurvant	nom/sg/m	GAP	
4.22	yadṛcchā-lābha-saṁtuṣṭaḥ	yadṛcchā-lābha-saṁtuṣṭa	nom/sg/m	GAP	
4.23	jñānāvasthita-cetasaḥ	jñāna-avasthita-cetas	gen/sg/m	GAP	
4.23	ācarataḥ	ācarant	gen/sg/m	GAP	
4.24	brahmāgnau	brahma-agni	loc/sg/m	GAP	
4.25	brahmāgnāu	brahma-agni	loc/sg/m	GAP	
4.26	indriyāgniṣu	indriya-agni	loc/pl/m	GAP	
4.27	indriya-karmāṇi	indriya-karman	acc/pl/n	GAP	
4.27	ātma-saṁyama-yogāgnau	ātma-saṁyama-yoga-agni	loc/sg/m	GAP	
4.27	jñāna-dīpite	jñāna-dīpita	loc/sg/m	GAP	
4.28	yoga-yajñāḥ	yoga-yajña	nom/pl/m	GAP	
4.28	svādhyāya-jñāna-yajñāḥ	svādhyāya-jñāna-yajña	nom/pl/m	GAP	
