verse	form	lemma	gold_case_num_gender	class	kosha_analyses
10.19	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
10.19	ātma-vibhūtayaḥ	ātma-vibhūti	nom/pl/f	GAP	
10.20	sarva-bhūtāśaya-sthitaḥ	sarva-bhūta-āśaya-sthitaḥ	nom/sg/m	GAP	
10.23	yakṣa-rakṣasām	yakṣa-rakṣas	gen/pl/m	GAP	
10.24	bṛhaspatim	bṛhas-pati	nom/sg/m	DIVERGE	acc.sg.m
10.24	senānīnām	senānin	gen/pl/m	GAP	
10.26	sarva-vṛkṣāṇām	sarva-vṛkṣa	gen/pl/n	GAP	
10.29	aryamā	arya-man	nom/sg/m	GAP	
10.29	saṁyamatām	saṁyamant	gen/pl/m	GAP	
10.30	kalayatām	kalayant	gen/pl/m	DIVERGE	None.du.None;None.sg.None
10.31	pavatām	pavant	gen/pl/m	DIVERGE	None.du.None;None.sg.None
10.32	pravadatām	pravadant	gen/pl/m	GAP	
10.33	viśvato-mukhaḥ	viśvato-mukha	acc/sg/m	DIVERGE	nom.sg.m
10.34	bhaviṣyatām	bhaviṣyant	gen/pl/n	GAP	
10.34	śrīḥ	śrī	nom/sg/f	DIVERGE	acc.pl.f
10.36	chalayatām	chalayant	gen/pl/m	GAP	
10.38	damayatām	damayant	gen/pl/m	GAP	
10.38	jigīṣatām	jigīṣant	gen/pl/m	GAP	
10.41	tejo-‘ṁśa-saṁbhavam	tejaḥ-aṁśa-saṁbhava	acc/sg/n	GAP	
11.01	mad-anugrahāya	mad-anugraha	dat/sg/m	GAP	
11.01	adhyātma-saṁjñitam	adhy-ātma-saṁjñita	nom/sg/n	GAP	
11.02	bhavāpyayau	bhava-apyaya	nom/du/m	GAP	
11.02	kamala-patrākṣa	kamala-patra-akṣa	voc/sg/m	GAP	
11.05	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
11.10	aneka-vaktra-nayanam	aneka-vaktra-nayana	acc/sg/n	GAP	
11.10	anekādbhuta-darśanam	aneka-adbhuta-darśana	acc/sg/n	GAP	
11.10	aneka-divyābharaṇam	aneka-divya-ābharaṇa	acc/sg/n	GAP	
11.10	divyānekodyatāyudham	divya-aneka-udyata-āyudha	acc/sg/n	GAP	
11.11	divya-mālyāmbara-dharam	divya-mālya-ambara-dhara	acc/sg/n	GAP	
11.11	divya-gandhānulepanam	divya-gandha-anulepana	acc/sg/n	GAP	
11.12	divi	div	loc/sg/f	DIVERGE	voc.sg.f
11.15	bhūta-viśeṣa-saṁghān	bhūta-viśeṣa-saṁgha	acc/pl/n	GAP	
11.16	aneka-bāhūdara-vaktra-netram	an-eka-bāhu-udara-vaktra-netra	acc/sg/m	GAP	
11.17	dīptānalārka-dyutim	dīpta-anala-arka-dyuti	acc/sg/m	GAP	
11.18	śāśvata-dharma-goptā	śāśvata-dharma-goptṛ	nom/sg/m	GAP	
11.19	ananta-bāhum	ananta-bāhu	acc/sg/m	GAP	
11.19	śaśi-sūrya-netram	śaśi-sūrya-netra	acc/sg/m	GAP	
11.19	dīpta-hutāśa-vaktram	dīpta-hutāśa-vaktra	acc/sg/m	GAP	
11.19	tapantam	tapant	acc/sg/m	GAP	
11.21	sura-saṁghāḥ	sura-saṁgha	acc/pl/m	DIVERGE	nom.pl.m;voc.pl.m
11.21	maha-rṣi-siddha-saṁghāḥ	maha-rṣi-siddha-saṁgha	acc/pl/m	GAP	
11.22	rudrādityāḥ	rudra-āditya	nom/pl/m	GAP	
11.22	uṣma-pāḥ	uṣma-pa	nom/pl/m	GAP	
11.22	gandharva-yakṣāsura-siddha-saṁghāḥ	gandharva-yakṣa-asura-siddha-saṁgha	nom/pl/m	GAP	
11.23	mahat	mahant	acc/sg/n	DIVERGE	nom.sg.f;voc.sg.f
11.23	bahu-vaktra-netram	bahu-vaktra-netra	acc/sg/n	GAP	
11.23	bahu-bāhūru-pādam	bahu-bāhu-ūru-pāda	acc/sg/n	GAP	
11.23	bahūdaram	bahu-udara	acc/sg/n	GAP	
11.23	bahu-daṁṣṭrā-karālam	bahu-daṁṣṭrā-karāla	acc/sg/n	GAP	
11.24	nabhaḥ-spṛśam	nabhaḥ-spṛśa	acc/sg/n	GAP	
11.24	dīpta-viśāla-netram	dīpta-viśāla-netra	acc/sg/n	GAP	
11.24	pravyathitāntarātmā	pravyathita-antar-ātman	nom/sg/m	GAP	
11.25	kālānala-saṁnibhāni	kāla-anala-saṁnibha	acc/pl/n	GAP	
11.26	avani-pāla-saṁghaiḥ	avani-pāla-saṁgha	instr/pl/m	GAP	
11.26	sūta-putraḥ	sūta-putra	nom/pl/m	DIVERGE	nom.sg.m
11.26	asmatīyaiḥ	asmatīya	instr/pl/m	GAP	
11.27	tvaramāṇāḥ	tvaramāna	nom/pl/m	GAP	
11.27	daśanāntareṣu	daśana-antara	loc/pl/n	GAP	
11.30	grasamānaḥ	grasamāna	nom/sg/m	GAP	
11.30	jvaladbhiḥ	jvalant	instr/pl/n	GAP	
11.31	ugra-rūpaḥ	ugra-rūpa	nom/sg/m	GAP	
11.32	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
11.32	loka-kṣaya-kṛt	loka-kṣaya-kṛt	nom/sg/m	GAP	
11.35	vepamānaḥ	vepamāna	nom/sg/m	GAP	
11.35	namas	namaḥ	acc/sg/n	DIVERGE	None.None.None
11.35	kṛṣṇaṁ	kṛṣṇa	acc/sg/m	GAP	
11.37	ādi-kartre	ādi-kartṛ	abl/sg/n	DIVERGE	dat.sg.m
11.37	asat	a-sant	nom/sg/n	GAP	
11.39	namaḥ namaḥ	namaḥ	acc/sg/n	GAP	
11.39	namaḥ namaḥ	namaḥ	acc/sg/n	GAP	
11.41	sakhā	sakhi	nom/sg/m	GAP	
11.41	sakhā	sakhi	nom/sg/m	GAP	
11.41	ajānatā	a-jānant	instr/sg/m	GAP	
11.42	vihāra-śayyāsana-bhojaneṣu	vihāra-śayya-āsana-bhojana	loc/pl/n	GAP	
11.43	garīyān	garīyas	nom/sg/m	GAP	
11.43	tvat-samaḥ	tvat-sama	nom/sg/m	GAP	
11.43	apratima-prabhāva	apratima-prabhāva	nom/sg/m	GAP	
11.44	sakhā	sakhi	nom/sg/m	GAP	
11.44	sakhyuḥ	sakhi	gen/sg/m	GAP	
11.44	priyāya	priya	gen/sg/f	DIVERGE	dat.sg.m;dat.sg.n
11.47	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
11.48	veda-yajñādhyayanaih	veda-yajña-adhyayana	instr/pl/n	GAP	
11.48	tvat-anyena	tvat-anya	instr/sg/m	GAP	
11.48	kuru-pravīra	kuru-pravīra	voc/sg/m	GAP	
11.49	vyapeta-bhīḥ	vyapeta-bhī	nom/sg/m	GAP	
11.50	mahātmā	mahā-ātman	nom/sg/m	GAP	
11.51	gataḥ	gata	nom/pl/m	DIVERGE	nom.sg.m
11.52	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
11.53	vedaiḥ	veda	instr/sg/m	DIVERGE	instr.pl.m
11.55	mat-karma-kṛt	mat-karma-kṛt	nom/sg/m	GAP	
12.01	yoga-vittamāḥ	yoga-vittama	nom/pl/m	GAP	
12.02	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
12.02	yuktatamā	yukta-tama	nom/pl/m	DIVERGE	nom.sg.f
12.05	adhikataraḥ	adhikatara	nom/sg/m	GAP	
12.05	avyaktāsakta-cetasām	avyakta-āsakta-cetas	gen/pl/m	GAP	
12.06	dhyāyantaḥ	dhyāyant	nom/pl/m	GAP	
12.07	mṛtyu-saṁsāra-sāgarāt	mṛtyu-saṁsāra-vartman	abl/sg/n	GAP	
12.07	āveśita-cetasām	āveśita-cetas	gen/pl/m	GAP	
12.10	mat-karma-paramaḥ	mat-karma-parama	nom/sg/m	GAP	
12.10	kurvan	kurvant	nom/sg/m	GAP	
12.11	mad-yogam	mad-yoga	acc/sg/m	GAP	
12.11	sarva-karma-phala-tyāgam	sarva-karma-phala-tyāga	acc/sg/m	GAP	
12.11	yatātmavān	yata-ātmavant	nom/sg/m	GAP	
12.12	karma-phala-tyāgaḥ	karma-phala-tyāga	nom/sg/m	GAP	
12.14	arpita-mano-buddhiḥ	arpita-mano-buddhi	nom/sg/m	GAP	
12.15	harṣāmarṣa-bhayodvegaiḥ	harṣa-amarṣa-bhaya-udvega	instr/pl/m	GAP	
12.16	gata-vyathaḥ	gata-vyatha	acc/pl/m	DIVERGE	nom.sg.m
12.16	sarvārambha-parityāgī	sarva-ārambha-parityāgin	nom/sg/m	GAP	
12.17	śubhāśubha-parityāgī	śubha-aśubha-parityāgin	nom/sg/m	GAP	
12.18	mānāvamānayoḥ	māna-avamāna	loc/du/m	GAP	
12.18	śītoṣṇa-sukha-duḥkheṣu	śīta-uṣṇa-sukha-duḥkha	loc/pl/n	GAP	
12.18	saṅga-vivarjitaḥ	saṅga-vivarjita	nom/sg/m	GAP	
13.01	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
13.02	sarva-kṣetreṣu	sarva-kṣetra	loc/pl/n	GAP	
13.02	kṣetra-kṣetrajñayoḥ	kṣetra-kṣetra-jña	gen/du/n	GAP	
13.03	yad-vikāri	yad-vikārin	nom/sg/n	GAP	
13.03	yat-prabhāvaḥ	yat-prabhāva	nom/sg/m	GAP	
13.05	daśa	daśa	nom/pl/n	GAP	
13.05	pañca	pañca	nom/pl/n	DIVERGE	voc.sg.m;voc.sg.n
13.07	ātma-vinigrahaḥ	ātma-vinigraha	nom/sg/m	GAP	
13.08	janma-mṛtyu-jarā-vyādhi-duḥkha-doṣānudarśanam	janma-mṛtyu-jarā-vyādhi-duḥkha-doṣa-anudarśana	nom/sg/n	GAP	
13.09	putra-dāra-gṛhādiṣu	putra-dāra-gṛha-ādi	loc/pl/n	GAP	
13.09	iṣṭāniṣṭopapattiṣu	iṣṭa-an-iṣṭa-upapatti	loc/pl/f	GAP	
13.10	vivikta-deśa-sevitvam	vivikta-deśa-sevitva	nom/sg/n	GAP	
13.11	adhy-ātma-jñāna-nityatvam	adhy-ātma-jñāna-nityatva	nom/sg/n	GAP	
13.11	tattva-jñānārtha-darśanam	tattva-jñāna-artha-darśana	nom/sg/n	GAP	
13.12	anādi / anādimat	an-ādi	acc/sg/n	GAP	
13.12	mat-param / param	mat-para	nom/sg/n	GAP	
13.12	asat	a-sant	nom/sg/n	GAP	
13.13	akṣi-śiro-mukham	akṣi-śiro-mukha	nom/sg/n	GAP	
13.14	sarvendriya-guṇābhāsam	sarva-indriya-guṇa-ābhāsa	nom/sg/n	GAP	
13.14	sarvendriya-vivarjitam	sarva-indriya-vivarjita	nom/sg/n	GAP	
13.16	bhūta-bhartṛ	bhūta-bhartṛ	nom/sg/n	GAP	
13.19	prakṛti-saṁbhavān	prakṛti-saṁbhava	acc/pl/m	GAP	
13.20	kārya-kāraṇa-kartṛtve	kārya-kāraṇa-kartṛtva	loc/sg/n	GAP	
13.20	sukha-duḥkhānāṁ	sukha-duḥkha	gen/pl/m	GAP	
13.21	sad-asad-yoni-janmasu	sad-asad-yoni-janman	loc/pl/m	GAP	
13.25	ajānantaḥ	a-jānant	nom/pl/m	GAP	
13.25	śruti-parāyaṇāḥ	śruti-parāyaṇa	nom/pl/m	GAP	
13.26	kṣetra-kṣetra-jña-saṁyogāt	kṣetra-kṣetra-jña-saṁyoga	abl/sg/n	GAP	
13.27	tiṣṭhantam	tiṣṭhant	acc/sg/m	GAP	
13.27	vinaśyatsu	vi-naśyant	loc/pl/m	GAP	
13.27	avinaśyantam	a-vi-naśyant	acc/sg/m	GAP	
13.28	paśyan	paśyant	nom/sg/m	GAP	
13.30	bhūta-pṛthag-bhāvam	bhūta-pṛthag-bhāva	acc/sg/m	GAP	
13.34	kṣetra-kṣetra-jñayoḥ	kṣetra-kṣetra-jña	gen/du/n	GAP	
13.34	bhūta-prakṛti-mokṣam	bhūta-prakṛti-mokṣa	acc/sg/m	GAP	
14.01	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
14.03	garbham	garbha	nom/sg/n	DIVERGE	acc.sg.m
14.03	saṁbhavaḥ	saṁbhava	nom/sg/m	GAP	
14.05	rajas	rajas	nom/sg/n	GAP	
14.05	tamas	tamas	nom/sg/n	GAP	
14.05	prakṛti-saṁbhavāḥ	prakṛti-saṁbhava	nom/pl/m	GAP	
14.06	jñāna-saṅgena	jñāna-saṅga	instr/sg/m	GAP	
14.07	tṛṣṇā-saṅga-samudbhavam	tṛṣṇā-saṅga-samudbhava	acc/sg/n	GAP	
14.08	ajñāna-jam	ajñāna-ja	acc/sg/n	GAP	
14.08	sarva-dehinām	sarva-dehin	gen/pl/m	GAP	
14.08	pramādālasya-nidrābhiḥ	pramāda-ālasya-nidrā	instr/pl/f	GAP	
14.11	sarva-dvāreṣu	sarva-dvāra	acc/pl/n	GAP	
14.15	mūḍha-yoniṣu	mūḍha-yoni	loc/pl/f	GAP	
14.17	pramāda-mohau	pramāda-moha	nom/du/m	GAP	
14.18	jaghanya-guṇa-vṛtta-sthāḥ	jaghanya-guṇa-vṛtta-stha	nom/pl/m	GAP	
14.20	trīn	tri	acc/pl/m	GAP	
14.20	deha-samudbhavān	deha-samudbhava	acc/pl/m	GAP	
14.20	janma-mṛtyu-jarā-duḥkhaiḥ	janma-mṛtyu-jarā-duḥkha	instr/pl/n	GAP	
14.21	trīn	tri	acc/pl/m	GAP	
14.21	trīn	tri	acc/pl/m	GAP	
14.22	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
14.22	saṁpravṛttāni	sam-pra-vṛtta	acc/pl/n	GAP	
14.24	tulya-priyāpriyaḥ	tulya-priya-apriya	nom/sg/m	GAP	
14.24	tulya-nindātma-saṁstutiḥ	tulya-nindā-ātma-saṁstuti	nom/sg/m	GAP	
14.25	mānāvamānayoḥ	māna-avamāna	loc/du/m	GAP	
14.25	mitrāri-pakṣayoḥ	mitra-ari-pakṣa	loc/du/m	GAP	
14.25	sarvārambha-parityāgī	sarva-ārambha-parityāgin	nom/sg/m	GAP	
14.27	aikāntikasya / ekāntikasya	ekāntika	gen/sg/n	GAP	
15.01	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
15.01	adhaḥ-śākham	adhaḥ-śākha	acc/sg/m	GAP	
15.02	guṇa-pravṛddhāḥ	guṇa-pravṛddha	nom/pl/f	GAP	
15.02	viṣaya-pravālāḥ	viṣaya-pravāla	nom/pl/f	GAP	
15.02	anusaṁtatāni	anu-saṁ-tata	nom/pl/n	GAP	
15.02	karmānubandhīni	karma-anubandhi	nom/pl/n	GAP	
15.03	saṁpratiṣṭhā	saṁpratiṣṭhā	nom/sg/f	GAP	
15.03	suvirūḍha-mūlam	suvirūḍha-mūla	acc/sg/m	GAP	
15.03	asaṅga-śastreṇa	asaṅga-śastra	instr/sg/n	GAP	
15.05	nirmāṇa-mohāḥ	nir-māṇa-moha	nom/pl/m	GAP	
15.05	jita-saṅga-doṣāḥ	jita-saṅga-doṣa	nom/pl/m	GAP	
15.05	adhy-ātma-nityāḥ	adhi-ātma-nitya	nom/pl/m	GAP	
15.05	sukha-duḥkha-saṁjñaiḥ	sukha-duḥkha-saṁjña	nom/pl/m	GAP	
15.10	utkrāmantam	utkrāmant	acc/sg/m	GAP	
15.10	bhuñjānam	bhuñjāna	acc/sg/m	GAP	
15.11	yatantaḥ	yatant	nom/pl/m	GAP	
15.11	yatantaḥ	yatant	nom/pl/m	GAP	
15.11	akṛtātmānaḥ	a-kṛta-ātman	nom/pl/m	GAP	
15.14	prāṇāpāna-samāyuktaḥ	prāṇa-apāna-samāyukta	nom/sg/f	GAP	
15.16	dvau	dvi	nom/du/m	GAP	
15.19	sarva-bhāvena	sarva-bhāva	gen/pl/m	DIVERGE	instr.sg.m
15.20	guhyatamam	guhyatama	nom/sg/n	GAP	
16.01	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
16.01	jñāna-yoga-vyavasthitiḥ	jñāna-yoga-vyavasthiti	nom/sg/f	GAP	
16.02	hrīḥ	hrī	nom/sg/f	DIVERGE	acc.pl.f
16.02	acāpalam	a-cāpala	nom/sg/n	GAP	
16.03	saṁpadam	saṁpad	acc/sg/f	GAP	
16.04	saṁpadam	saṁpad	acc/sg/f	GAP	
16.05	saṁpat	saṁpad	nom/sg/f	GAP	
16.05	saṁpadam	saṁpad	acc/sg/f	GAP	
16.06	dvau	dvi	nom/du/m	GAP	
16.08	aparaspara-saṁbhūtam	a-paras-para-saṁbhūta	nom/sg/n	GAP	
16.09	ahitāḥ	a-hita	nom/sg/m	DIVERGE	acc.pl.f;nom.pl.f;nom.pl.m;voc.pl.f;voc.pl.m
16.10	dambha-māna-madānvitāḥ	dambha-māna-mada-anvita	nom/pl/m	GAP	
16.11	pralayāntām	pralaya-antā	acc/sg/f	GAP	
16.11	kāmopabhoga-paramāḥ	kāma-upabhoga-parama	nom/pl/m	GAP	
16.12	āśā-pāśa-śataiḥ	āśā-pāśa-śata	instr/pl/n	GAP	
16.12	kāma-krodha-parāyaṇāḥ	kāma-krodha-parāyaṇa	nom/pl/m	GAP	
16.15	ajñāna-vimohitāḥ	ajñāna-vimohita	nom/pl/m	GAP	
16.16	aneka-citta-vibhrāntāḥ	aneka-citta-vibhrānta	nom/pl/m	GAP	
16.16	moha-jāla-samāvṛtāḥ	moha-jāla-samāvṛta	nom/pl/m	GAP	
16.17	ātma-saṁbhāvitāḥ	ātma-saṁbhāvita	nom/pl/m	GAP	
16.17	dhana-māna-madānvitāḥ	dhana-māna-mada-anvita	nom/pl/m	GAP	
16.18	ātma-para-deheṣu	ātma-para-deha	loc/pl/m	GAP	
16.18	pradviṣantaḥ	pra-dviṣant	nom/pl/m	GAP	
16.19	dviṣataḥ	dviṣant	acc/pl/m	GAP	
16.19	narādhamān	nara-adhama	nom/pl/m	DIVERGE	acc.pl.m
16.19	yoniṣu	yoni	nom/sg/f	DIVERGE	loc.pl.f;loc.pl.m;loc.pl.n
16.20	janmani janmani	janman	loc/sg/n	GAP	
16.22	tamo-dvāraiḥ	tamas-dvāra	instr/pl/n	GAP	
16.22	tribhiḥ	tri	instr/pl/m	GAP	
16.24	kāryākārya-vyavasthitau	kārya-akārya-vyavasthiti	loc/sg/f	GAP	
17.02	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
17.04	yakṣa-rakṣāṁsi	yakṣa-rakṣas	acc/pl/n	GAP	
17.05	dambhāhaṁkāra-saṁyuktāḥ	dambha-ahaṁ-kāra-saṁyukta	nom/sg/m	GAP	
17.05	kāma-rāga-balānvitāḥ	kāma-rāga-bala-anvita	nom/sg/m	GAP	
17.06	karśayantaḥ	karśayant	nom/pl/m	GAP	
17.06	antaḥ-śarīra-stham	antaḥ-śarīra-stha	acc/sg/m	GAP	
17.06	āsura-niścayān	āsura-niścaya	acc/pl/m	GAP	
17.08	āyuḥ-sattva-balārogya-sukha-prīti-vivardhanāḥ	āyuḥ-sattva-balārogya-sukha-prīti-vivardhana	nom/pl/m	GAP	
17.08	sāttvika-priyāḥ	sāttvika-priya	nom/pl/m	GAP	
17.09	kaṭv-amla-lavaṇāty-uṣṇa-tīkṣṇa-rūkṣa-vidāhinaḥ	kaṭv-amla-lavaṇa-aty-uṣṇa-tīkṣṇa-rūkṣa-vidāhin	nom/pl/m	GAP	
17.09	duḥkha-śokāmaya-pradāḥ	duḥkha-śoka-āmaya-prada	nom/pl/m	GAP	
17.10	tāmasa-priyam	tāmasa-priya	nom/pl/m	GAP	
17.14	deva-dvija-guru-prājña-pūjanam	deva-dvija-guru-prājña-pūjana	nom/sg/n	GAP	
17.15	svādhyāyābhyasanam	svādhyāya-abhyasana	nom/sg/n	GAP	
17.15	vāṅ-mayam	vāc-maya	nom/pl/m	DIVERGE	acc.sg.m;acc.sg.n;nom.sg.n
17.16	ātma-vinigrahaḥ	ātma-vinigraha	nom/sg/m	GAP	
17.24	yajña-dāna-tapaḥ-kriyāḥ	yajña-dāna-tapaḥ-kriya	nom/pl/m	GAP	
17.25	yajña-tapaḥ-kriyāḥ	yajña-tapaḥ-kriya	nom/pl/m	GAP	
17.25	dāna-kriyāḥ	dāna-kriya	nom/pl/m	GAP	
17.26	sac-chabdaḥ	sat-śabda	nom/sg/m	GAP	
17.28	asat	a-sant	nom/sg/n	GAP	
18.01	hṛṣīkeśa	hṛṣīkeśa	nom/sg/m	DIVERGE	voc.sg.m
18.02	śrī-bhagavān	śrī-bhagavant	nom/sg/m	GAP	
18.02	sarva-karma-phala-tyāgam	sarva-karma-phala-tyāga	acc/sg/m	GAP	
18.03	yajña-dāna-tapaḥ-karma	yajña-dāna-tapaḥ-karma	nom/sg/n	GAP	
18.04	saṁprakīrtitaḥ	saṁ-pra-kīrtita	nom/sg/m	GAP	
18.05	yajña-dāna-tapaḥ-karma	yajña-dāna-tapaḥ-karma	nom/sg/n	GAP	
18.08	kāya-kleśa-bhayāt	kāya-kleśa-bhaya	abl/sg/n	GAP	
18.08	tyāga-phalam	tyāga-phala	acc/sg/m	GAP	
18.11	karma-phala-tyāgī	karma-phala-parityāgin	nom/sg/m	GAP	
18.12	atyāginām	a-tyāgin	gen/pl/m	GAP	
18.13	pañca	pañca	acc/pl/n	DIVERGE	voc.sg.m;voc.sg.n
18.15	śarīra-vāṅ-manobhiḥ	śarīra-vāk-manas	instr/pl/m	GAP	
18.15	pañca	pañca	nom/pl/n	DIVERGE	voc.sg.m;voc.sg.n
18.16	sati	sant	loc/sg/m	DIVERGE	voc.sg.f
18.21	pṛthag-vidhān	pṛthag-vidha	nom/pl/n	DIVERGE	acc.pl.m
18.24	sāhaṁ-kāreṇa	sa-ahaṁ-kāra	acc/sg/m	DIVERGE	instr.sg.m;instr.sg.n
18.26	dhṛty-utsāha-samanvitaḥ	dhṛty-utsāha-samanvita	nom/sg/m	GAP	
18.27	karma-phala-prepsuḥ	karma-phala-prepsu	nom/sg/m	GAP	
18.27	harṣa-śokānvitaḥ	harṣa-śoka-anvita	nom/sg/m	GAP	
18.27	rājasaḥ	rājasa	acc/sg/m	DIVERGE	nom.sg.m
18.29	procyamānam	procyamāna	acc/sg/m	GAP	
18.33	manaḥ-prāṇendriya-kriyāḥ	manaḥ-prāṇa-indriya-kriyā	acc/pl/f	GAP	
18.35	durmedhāḥ	dur-medhas	acc/sg/m	DIVERGE	acc.pl.f;nom.pl.f;nom.pl.m;nom.sg.f;nom.sg.m;voc.pl.f
18.37	ātma-buddhi-prasāda-jam	ātma-buddhi-prasāda-ja	nom/sg/n	GAP	
18.38	viṣayendriya-saṁyogāt	viṣaya-indriya-saṁyoga	abl/sg/n	GAP	
18.39	nidrālasya-pramādottham	nidrālasya-pramāda-uttha	nom/sg/n	GAP	
18.40	divi	div	loc/sg/f	DIVERGE	voc.sg.f
18.40	tribhiḥ	tri	instr/pl/m	GAP	
18.41	brāhmaṇa-kṣatriya-viśām	brāhmaṇa-kṣatriya-viś	gen/pl/m	GAP	
18.43	apalāyanam	a-palāyana	nom/sg/n	GAP	
18.43	kṣatra-karma	kṣatra-karma	nom/sg/n	GAP	
18.44	kṛṣi-go-rakṣya-vāṇijyam	kṛṣi-go-rakṣya-vāṇijya	nom/sg/n	GAP	
18.44	paricaryātmakam	paricarya-ātmaka	nom/sg/n	GAP	
18.45	sva-karma-nirataḥ	sva-karma-nirata	nom/sg/m	GAP	
18.47	śreyān	śreyas	nom/sg/m	GAP	
18.47	sva-bhāva-niyatam	sva-bhāva-niyata	acc/sg/m	GAP	
18.47	kurvan	kurvant	nom/sg/m	GAP	
18.49	asakta-buddhiḥ	asakta-ātman	nom/sg/m	GAP	
18.52	yata-vāk-kāya-mānasaḥ	yata-vāk-kāya-mānasa	nom/sg/m	GAP	
18.52	dhyāna-yoga-paraḥ	dhyāna-yoga-para	nom/sg/m	GAP	
18.54	mad-bhaktim	mad-bhakti	acc/sg/f	GAP	
18.56	mad-vyapāśrayaḥ	mad-vyapāśraya	nom/sg/m	GAP	
18.56	mat-prasādāt	mat-prasāda	abl/sg/m	GAP	
18.58	sarva-durgāṇi	sarva-durga	acc/pl/n	GAP	
18.58	mat-prasādāt	mad-prasāda	abl/sg/m	GAP	
18.61	bhrāmayan	bhrāmayant	nom/sg/m	GAP	
18.62	tat-prasādāt	tad-prasāda	abl/sg/m	GAP	
18.63	guhyataram	guhyatara	nom/sg/n	GAP	
18.64	sarva-guhyatamam	sarva-guhyatama	acc/sg/n	GAP	
18.65	man-manāḥ	man-manas	nom/sg/m	DIVERGE	nom.pl.m;voc.pl.m
18.65	mad-yājī	mad-yājin	nom/sg/m	GAP	
18.66	sarva-dharmān	sarva-dharma	nom/pl/n	GAP	
18.66	sarva-pāpebhyaḥ	sarva-pāpa	abl/pl/n	GAP	
18.69	bhuvi	bhū	loc/sg/f	GAP	
18.72	ajñāna-saṁmohaḥ	ajñāna-saṁ-moha	nom/sg/m	GAP	
18.73	tvat-prasādāt	tvat-prasāda	abl/sg/m	GAP	
18.75	vyāsa-prasādāt	vyāsa-prasāda	abl/sg/m	GAP	
18.75	kathayataḥ	kathayant	abl/sg/	DIVERGE	None.du.None
18.76	keśavārjunayoḥ	keśava-arjuna	gen/du/m	GAP	
18.77	aty-adbhutam	ati-adbhuta	nom/du/n	DIVERGE	acc.sg.m;acc.sg.n;nom.sg.n
18.77	mahān	mahant	nom/sg/m	DIVERGE	acc.pl.m
18.78	śrīḥ	śrī	nom/sg/f	DIVERGE	acc.pl.f
