rule	category	count	pct	examples
aḥ g → o g	visarga	8	0.23	3.38 āvṛtaḥ · 4.17 karmaṇaḥ · 7.09 puṇyaḥ · 11.21 prāñjalayaḥ
ḥ p → Ø p	visarga	7	0.21	2.21 saḥ · 4.10 jñāna-tapasāḥ · 5.10 saḥ · 8.22 saḥ
ḥ h → Ø h	visarga	7	0.21	2.41 bahu-śākhāḥ · 2.51 buddhi-yuktāḥ · 7.18 saḥ · 10.16 divyāḥ
ḥ g → r g	visarga	7	0.21	3.05 prakṛti-jaiḥ · 7.13 tribhiḥ · 11.43 guruḥ · 15.05 sukha-duḥkha-saṁjñaiḥ
ḥ g → Ø g	visarga	6	0.18	1.19 saḥ · 3.28 guṇāḥ · 8.24 prayātāḥ · 9.21 anuprapannāḥ
t u → d u	consonant / other	6	0.18	2.35 raṇāt · 2.37 tasmāt · 4.03 etat · 11.12 yuga-pat
n a → nn a	consonant / other	6	0.18	3.36 anicchan · 4.06 san · 5.07 kurvan · 5.08 jighran
ḥ s → Ø s	visarga	6	0.18	5.23 saḥ · 6.01 saḥ · 8.20 saḥ · 15.19 saḥ
aḥ l → o l	visarga	6	0.18	11.32 pravṛddhaḥ · 11.33 yaśaḥ · 11.43 anyaḥ · 12.15 lokaḥ
ḥ v → o v	visarga	5	0.15	1.04 yuyudhānaḥ · 1.17 dhṛṣṭa-dyumnaḥ · 1.19 tumulaḥ · 1.28 āviṣṭaḥ
ḥ d → o d	visarga	5	0.15	1.06 saubhadraḥ · 1.15 hṛṣīkeśaḥ · 1.18 drupadaḥ · 1.19 ghoṣaḥ
e e → a e	vowel coalescence	5	0.15	1.06 sarve · 1.11 sarve · 1.23 ye · 3.22 varte
ḥ n → o n	visarga	5	0.15	1.42 saṁkaraḥ · 2.19 vijānītaḥ · 2.20 ajaḥ · 2.20 purāṇaḥ
u e → v e	vowel coalescence	5	0.15	2.12 tu · 3.17 tu · 3.32 tu · 13.25 tu
ḥ l → r l	visarga	5	0.15	3.25 cikīrṣuḥ · 10.16 vibhūtibhiḥ · 14.21 kaiḥ · 18.27 karma-phala-prepsuḥ
ḥ t → Ø t	visarga	5	0.15	7.22 saḥ · 8.10 saḥ · 10.40 eṣaḥ · 18.09 saḥ
m b→ ṃ b	anusvāra / nasal	4	0.12	1.10 asmākam · 1.10 balam · 1.10 eteṣām · 1.10 balam
ḥ h → r h	visarga	4	0.12	1.14 śvetaiḥ · 10.02 ādiḥ · 10.18 tṛptiḥ · 16.14 śatruḥ
ḥ k → Ø k	visarga	4	0.12	1.27 saḥ · 3.37 eṣaḥ · 4.02 saḥ · 18.08 saḥ
t r → d r	consonant / other	4	0.12	1.45 yat · 2.35 bhayāt · 18.24 tat · 18.36 abhyāsāt
ḥ r → Ø r	visarga	4	0.12	1.46 dhārtarāṣṭrāḥ · 3.37 eṣaḥ · 7.12 bhāvāḥ · 7.22 tasyāḥ
n l → ṃl l	anusvāra / nasal	4	0.12	4.39 śraddhā-vān · 6.41 puṇya-kṛtān · 18.17 imān · 18.71 śubhān
ḥ c → Ø c	visarga	4	0.12	6.30 saḥ · 7.17 saḥ · 12.15 saḥ · 13.03 saḥ
t g → d g	consonant / other	4	0.12	15.06 yat · 16.10 mohāt · 18.63 guhyāt · 18.75 etat
ḥ ś → Ø ś	visarga	3	0.09	1.13 saḥ · 2.70 saḥ · 2.71 saḥ
ḥ y → o y	visarga	3	0.09	1.16 kuntī-putraḥ · 2.38 tataḥ · 2.39 yuktaḥ
n ś → ñ ś	consonant / other	3	0.09	2.05 mahānubhāvān · 5.08 paśyan · 5.08 svapan
au a → āv a	vowel coalescence	3	0.09	2.08 bhūmau · 2.53 samādhau · 4.22 siddhau
u i → v i	vowel coalescence	3	0.09	3.07 tu · 3.10 astu · 18.36 tu
t l → l l	consonant / other	3	0.09	8.16 ā-brahma-bhuvanāt · 11.30 samantāt · 13.13 śrutimat
aḥ r → o r	visarga	3	0.09	8.25 dhūmaḥ · 11.09 tataḥ · 14.07 rajaḥ
ḥ ṛ → Ø ṛ	visarga	3	0.09	9.17 oṁ-kāraḥ · 9.33 bhaktāḥ · 17.09 āhārāḥ
ḥ h → o h	visarga	2	0.06	1.24 uktaḥ · 1.42 pitaraḥ
n i → nn i	consonant / other	2	0.06	1.28 viṣīdan · 2.10 prahasan
ḥ r → o r	visarga	2	0.06	1.32 naḥ · 1.33 naḥ
t h → d dh	consonant / other	2	0.06	2.31 dharmyāt · 6.42 etat
u u → ū	vowel coalescence	2	0.06	2.62 teṣu · 10.40 tu
au u → āv u	vowel coalescence	2	0.06	5.02 niḥśreyasa-karau · 13.19 ubhau
n e → nn e	consonant / other	2	0.06	6.15 yuñjan · 6.28 yuñjan
t ī → d ī	consonant / other	2	0.06	6.42 yat · 17.23 om tat sat
ḥ k → s k	visarga	2	0.06	9.34 namaḥ · 18.65 namaḥ
aḥ n → o n, ḥ t → s t	visarga	2	0.06	11.39 namaḥ namaḥ · 11.39 namaḥ namaḥ
ḥ r → r a	visarga	1	0.03	1.27 ubhayoḥ
e u → a u	vowel coalescence	1	0.03	1.47 rathopasthe
au a→ āv a	vowel coalescence	1	0.03	2.04 pūjārhau
ḥ g → o g	visarga	1	0.03	2.06 naḥ
ḥ m → o m	visarga	1	0.03	2.27 dhruvaḥ
ḥ j → o j	visarga	1	0.03	2.50 buddhi-yuktaḥ
an ā → ā	consonant / other	1	0.03	4.11 vartman
āu a → āv a	vowel coalescence	1	0.03	4.25 brahmāgnāu
k b → g b	consonant / other	1	0.03	5.04 pṛthak
k u → g u	consonant / other	1	0.03	5.04 samyak
n j → ñ j	consonant / other	1	0.03	5.08 spṛśan
n u → nn u	consonant / other	1	0.03	5.09 gṛhṇan
ḥ b → o b	visarga	1	0.03	5.26 abhitas
n ā → nn ā	consonant / other	1	0.03	6.20 paśyan
aḥ y → o y,	visarga	1	0.03	6.26 yataḥ yataḥ
ḥ t → s t,aḥ y → o y	visarga	1	0.03	6.26 tataḥ tataḥ
u ā → v ā	vowel coalescence	1	0.03	7.18 tu
