card	lemma_slp1	group_id	status	shape	method	score	witnesses	flags	failure_class	pwg_sense_ids	pwg_gloss	mw_sense_ids	mw_gloss	apte_sense_ids	apte_gloss	md_sense_ids	md_gloss	skd_sense_ids	skd_gloss	vcp_sense_ids	vcp_gloss	note	stratum	stratum_eligible	population_share	synthetic
C018	vaSa	vaSa#3	aligned	1-0-0-0-1-0	attrib	1.000	skdr			pwg:88840:3	Willen, Wunsch, Belieben; wenn der; will; so lange er mag							skd:31558:1	vaśa , lu spṛhi . iti kavikalpadrumaḥ .. (adā0- para0-saka0-seṭ .) lu, vaṣṭi dhanaṃ lokaḥ . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	hi >=0.70|skd	40	0.005885	no
C019	ava	ava#1	aligned	1-0-0-0-1-0	attrib	1.000	skdr			pwg:6234:3	herab; weg; von — weg; herab							skd:2391:1	ava rakṣaṇe . (yathāyathaṃ sakaṃ-akaṃ-ca, bhvādiṃ- paraṃ-seṭ .) gatau . kāntau . spṛhāyāmiti yāvat . prītau . tṛptau . dyutau . śobhāyāmiti yāvat . śrutau . ākarṇane iti yāvat . prāptau . śleṣe . āliṅgane iti yāvat . arthane . yācñā- yāmiti yāvat . veśe . praveśe iti yāv…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	hi >=0.70|skd	40	0.005885	no
C020	Gawa	Gawa#2	aligned	1-0-0-0-1-0	attrib	0.333	skdr			pwg:23884:6	ein best. Hohlmaass							skd:11672:1	ghaṭa , ka hiṃse . saṃghāte . dyutau . iti kavikalpa- drumaḥ .. (curāṃ-paraṃ-sakaṃ-akaṃca-seṭ .) ka, ghāṭa- yati kavāṭaṃ dvāri janaḥ saṃyojayatītyarthaḥ . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	lo <0.40|skd	18	0.002648	no
C021	yakza	yakza#2	aligned	1-0-0-0-1-0	attrib	0.500	skdr			pwg:80814:6	Palast							skd:28263:1	yakṣa , ka ṅa mahi . iti kavikalpadrumaḥ .. (curā0- ātma0-saka0-seṭ .) ka ṅa, yakṣayate . mahi pūjāyām . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	mid 0.40-0.69|skd	32	0.004708	no
C022	lAsaka	lAsaka#2	aligned	0-1-1-0-0-0	gloss	1.000						mw:182022:1	a peacock	ap90:24609:6	2 A peacock							shared literary witness, weighted 1/df within the lemma	hi >=0.70|non-skd	2070	0.304546	no
C023	jIva	jIva#6	aligned	1-0-0-0-1-0	attrib	1.000	skdr			pwg:27573:9	m. Bein. Karṇa ʼs _im_							skd:13708:1	jīva , ṛ prāṇe . iti kavikalpadrumaḥ .. (bhvāṃ-paraṃ- akaṃ-seṭ .) ṛ, ajījivat ajijīvat . prāṇaḥ prāṇadhāraṇam . jīvati lokaḥ . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	hi >=0.70|skd	40	0.005885	no
C024	parRa	parRa#2	aligned	1-0-0-0-1-0	attrib	0.500	skdr			pwg:43423:5	Betelblatt							skd:20689:1	parṇa , t ka hāritye . iti kavikalpadrumaḥ .. (adantacurāṃ-paraṃ-sakaṃ-seṭ .) harit pīta- varṇastasya bhāvaḥ hārityam . parṇayati parṇā- payati campakam . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	mid 0.40-0.69|skd	32	0.004708	no
C025	sAra	sAra#103	aligned	1-1-0-0-0-0	gloss+ls	0.930	rv			pwg:108632:3	die inneren festen Bestandtheile eines Körpers; Kernholz; Kerngehäuse	mw:215345:1	Tranquillity &amp;c. personified (as a daughter of Śraddhā , as the wife of Atharvan , as the daughter of Dakṣa and wife of Dharma )									shared literary witness, weighted 1/df within the lemma	hi >=0.70|non-skd	2070	0.304546	no
C026	vawa	vawa#3	aligned	1-0-0-0-1-0	attrib	0.333	skdr			pwg:87512:11	einer best. Lage im Spiel							skd:30906:1	vaṭa , i ki vaṇṭane . iti kavikalpadrumaḥ .. (curā0- pakṣe bhvā0-para0-saka0-seṭ .) vaṇṭanaṃ vibhāgaḥ . i, vaṇṭyate . ki, vaṇṭayati vaṇṭati . vaṇṭanti hāṭakaṃ yasmāt prāpya viprāḥ parasparam . iti halāyudhaḥ . ayaṃ curādau kaiścinna paṭhyate . iti durgasiṃhādayaḥ .…			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	lo <0.40|skd	18	0.002648	no
C027	vAla	vAla#1	aligned	1-1-0-1-0-0	gloss+ls	0.500	ts			pwg:90450:2	Schweifhaar; Rosshaar (Schweif); feiner als ein Haar	mw:192080:1	1. m. (later form of 1. ; also written , q.v. ) the hair of any animal's tail ( esp. of a horse's tail), any tail or hair, &amp;c. &amp;c			md:16360:1	vā́la, m. [ later form of vāra] hair of the tail, horse-hair; tail; bristle; hair; hair-sieve ( V. )					shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|non-skd	3203	0.471237	no
C028	vfza	vfza#2	aligned	1-0-0-0-1-0	attrib	0.333	skdr			pwg:94971:5	ein geiler Mensch (— Bock); ein kräftiger Mann							skd:33854:1	vṛṣa , u secane . prajanaiśye . iti kavikalpadrumaḥ .. (bhvā0-para0-saka0-aka0 ca-seṭ . ktvāveṭ .) u, varṣitvā vṛṣṭvā . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	lo <0.40|skd	18	0.002648	no
C029	guRa	guRa#1	aligned	1-1-0-0-0-0	ls	0.833	bhag samkhyak			pwg:22561:12	die drei Grundeigenschaften alles Seienden, auf deren geringerm oder stärkerm Vorwalten die Stufenleiter der Wesen beruht; das wahre Wesen; Drang, Leidenschaft; Finsterniss; Schnur; drei	mw:65513:1	(in Sāṃkhya phil. ) an ingredient or constituent of Prakṛti , chief quality of all existing beings ( viz. , , and i.e. goodness, passion, and darkness, or virtue, foulness, and ignorance; cf. ; ; )									shared literary witness, weighted 1/df within the lemma	hi >=0.70|non-skd	2070	0.304546	no
C030	Suka	Suka#1	aligned	1-0-0-0-1-0	attrib	0.500	skdr			pwg:100072:4	Acacia Sirissa ( ) Buch. Zizyphus scandens Roxb. _im_							skd:35915:1	śuka , sarpe . iti kavikalpadrumaḥ .. (bhvā0-para0- saka0-seṭ .) śokati . sarpo gamanam . iti durgādāsaḥ			printed attribution: a western sense cites this kośa by name, weighted 1/df within the lemma	mid 0.40-0.69|skd	32	0.004708	no
C031	cUqa	cUqa#1	aligned	1-1-0-0-0-0	ls	0.500	yajn			pwg:25788:3	die Cerimonie des Haarschneidens beim Kinde	mw:74726:1	m. or n. =									shared literary witness, weighted 1/df within the lemma	mid 0.40-0.69|non-skd	3203	0.471237	no
C032	laNG	laNG#1	aligned	1-1-0-0-0-0	ls	0.700	mrcch r			pwg:85874:9	hinüberkommen über, entgehen; hintertreiben, vereiteln, hemmen	mw:181121:11	to frustrate, prevent, avert									shared literary witness, weighted 1/df within the lemma	hi >=0.70|non-skd	2070	0.304546	no
