lemma_slp1	varga	eid	mw_sense_units	pwg_sense_units
murAri	AK-1.1	28	3	1
vasudeva	AK-1.1	29	6	1
AnakadunduBi	AK-1.1	29	4	1
balaBadra	AK-1.1	30	7	2
pralambaGna	AK-1.1	30	1	0
baladeva	AK-1.1	30	5	1
acyutAgraja	AK-1.1	30	2	1
revatIramaRa	AK-1.1	30	2	1
rAma	AK-1.1	30	17	2
kAmapAla	AK-1.1	30	4	1
halAyuDa	AK-1.1	30	2	1
nIlAmbara	AK-1.1	30	6	2
rOhiReya	AK-1.1	30	4	1
tAlANka	AK-1.1	30	7	1
musalin	AK-1.1	30	2	1
halin	AK-1.1	30	3	1
saNkarzaRa	AK-1.1	30	0	0
sIrapARi	AK-1.1	30	1	1
kAlindIBedana	AK-1.1	30	1	1
bala	AK-1.1	30	27	4
madana	AK-1.1	31	15	2
manmaTa	AK-1.1	31	4	1
mAra	AK-1.1	31	7	2
pradyumna	AK-1.1	31	8	3
mInaketana	AK-1.1	31	1	1
kandarpa	AK-1.1	31	5	2
darpaka	AK-1.1	31	3	1
anaNga	AK-1.1	31	5	3
kAma	AK-1.1	31	21	3
paYcaSara	AK-1.1	31	1	1
smara	AK-1.1	31	7	1
SambarAri	AK-1.1	31	1	0
manasija	AK-1.1	31	2	1
kusumezu	AK-1.1	31	2	1
ananyaja	AK-1.1	31	1	1
puzpaDanvan	AK-1.1	31	1	1
ratipati	AK-1.1	31	1	1
makaraDvaja	AK-1.1	31	5	1
AtmaBU	AK-1.1	31	5	2
paYcabARa	AK-1.1	31	1	1
aravinda	AK-1.1	32	3	1
aSoka	AK-1.1	33	8	2
cUta	AK-1.1	34	2	1
navamallikA	AK-1.1	35	1	1
nIlotpala	AK-1.1	36	1	1
unmAdana	AK-1.1	37	2	2
tApana	AK-1.1	38	11	2
SozaRa	AK-1.1	39	8	1
stamBana	AK-1.1	40	13	1
sammohana	AK-1.1	41	4	0
kAma	AK-1.1	42	21	3
brahmasU	AK-1.1	42	1	1
viSvaketu	AK-1.1	42	2	1
anirudDa	AK-1.1	43	8	3
uzApati	AK-1.1	43	1	1
lakzmI	AK-1.1	44	17	1
padmAlayA	AK-1.1	44	1	0
padmA	AK-1.1	44	7	0
kamalA	AK-1.1	44	8	0
SrI	AK-1.1	44	13	6
haripriyA	AK-1.1	44	5	0
indirA	AK-1.1	44	2	3
lokamAtf	AK-1.1	44	3	0
mA	AK-1.1	44	23	11
kzIrodatanayA	AK-1.1	44	1	0
ramA	AK-1.1	44	9	0
BArgavI	AK-1.1	44	6	0
lokajananI	AK-1.1	44	1	1
kzIrasAgarakanyakA	AK-1.1	44	0	0
pAYcajanya	AK-1.1	45	5	1
sudarSana	AK-1.1	46	35	2
kOmodakI	AK-1.1	47	1	2
nandaka	AK-1.1	48	8	1
kOstuBa	AK-1.1	49	5	2
SArNga	AK-1.1	50	8	2
SrIvatsa	AK-1.1	51	7	1
SEbya	AK-1.1	52	3	1
sugrIva	AK-1.1	53	16	1
meGapuzpa	AK-1.1	54	4	3
balAhaka	AK-1.1	55	1	1
dAruka	AK-1.1	56	3	1
udDava	AK-1.1	57	4	2
gada	AK-1.1	58	5	4
garutmat	AK-1.1	59	4	0
garuqa	AK-1.1	59	6	2
tArkzya	AK-1.1	59	14	2
vEnateya	AK-1.1	59	5	1
KageSvara	AK-1.1	59	2	1
nAgAntaka	AK-1.1	59	1	1
vizRuraTa	AK-1.1	59	1	1
suparRa	AK-1.1	59	13	1
pannagASana	AK-1.1	59	1	1
SamBu	AK-1.1	60	20	0
ISa	AK-1.1	60	11	3
paSupati	AK-1.1	60	5	2
Siva	AK-1.1	60	46	1
SUlin	AK-1.1	60	6	1
maheSvara	AK-1.1	60	6	1
ISvara	AK-1.1	60	11	3
Sarva	AK-1.1	60	8	2
ISAna	AK-1.1	60	9	2
SaNkara	AK-1.1	60	1	0
candraSeKara	AK-1.1	60	6	3
BUteSa	AK-1.1	60	3	1
KaRqaparaSu	AK-1.1	60	2	2
girISa	AK-1.1	60	6	3
giriSa	AK-1.1	60	3	2
mfqa	AK-1.1	60	4	3
mftyuYjaya	AK-1.1	60	0	0
kfttivAsas	AK-1.1	60	2	1
pinAkin	AK-1.1	60	2	2
pramaTADipa	AK-1.1	60	2	0
ugra	AK-1.1	60	18	2
kapardin	AK-1.1	60	6	2
SrIkaRWa	AK-1.1	60	8	1
SitikaRWa	AK-1.1	60	9	1
kapAlaBft	AK-1.1	60	1	1
vAmadeva	AK-1.1	60	10	2
mahAdeva	AK-1.1	60	6	2
virUpAkza	AK-1.1	60	14	1
trilocana	AK-1.1	60	5	2
kfSAnuretas	AK-1.1	60	1	1
