lemma_slp1	varga	eid	mw_sense_units	pwg_sense_units
vAjidantaka	AK-2.4	1228	1	0
AsPowA	AK-2.4	1229	0	0
girikarRI	AK-2.4	1229	2	1
vizRukrAntA	AK-2.4	1229	1	0
aparAjitA	AK-2.4	1229	4	0
ikzuganDA	AK-2.4	1230	1	0
kARqekzu	AK-2.4	1230	2	1
kokilAkza	AK-2.4	1230	1	1
ikzura	AK-2.4	1230	3	1
kzura	AK-2.4	1230	10	2
SAleya	AK-2.4	1231	4	1
SItaSiva	AK-2.4	1231	5	1
CatrA	AK-2.4	1231	0	0
maDurikA	AK-2.4	1231	2	0
misi	AK-2.4	1231	4	1
miSreya	AK-2.4	1231	0	0
sIhuRqa	AK-2.4	1232	1	1
vajradru	AK-2.4	1232	1	1
snuk	AK-2.4	1232	1	0
snuhI	AK-2.4	1232	1	1
guqA	AK-2.4	1232	3	0
samantadugDA	AK-2.4	1232	1	1
vella	AK-2.4	1233	3	2
amoGA	AK-2.4	1233	9	0
citrataRqulA	AK-2.4	1233	1	0
taRqula	AK-2.4	1233	4	2
kfmiGna	AK-2.4	1233	5	1
viqaNga	AK-2.4	1233	3	1
balA	AK-2.4	1234	7	0
vAwyAlaka	AK-2.4	1234	1	0
GaRwAravA	AK-2.4	1235	1	0
SaRapuzpikA	AK-2.4	1235	1	1
mfdvIkA	AK-2.4	1236	1	1
gostanI	AK-2.4	1236	2	0
drAkzA	AK-2.4	1236	1	1
svAdvI	AK-2.4	1236	0	0
maDurasA	AK-2.4	1236	4	0
sarvAnuBUti	AK-2.4	1237	4	1
saralA	AK-2.4	1237	3	0
tripuwA	AK-2.4	1237	4	0
trivftA	AK-2.4	1237	1	1
trivft	AK-2.4	1237	8	2
triBaRqI	AK-2.4	1237	1	1
rocanI	AK-2.4	1237	4	0
SyAmA	AK-2.4	1238	13	0
pAlindI	AK-2.4	1238	2	0
suzeRikA	AK-2.4	1238	1	1
kAlA	AK-2.4	1238	5	0
masUravidalA	AK-2.4	1238	2	0
arDacandrA	AK-2.4	1238	1	0
kAlamezikA	AK-2.4	1238	1	1
maDuka	AK-2.4	1239	13	3
klItaka	AK-2.4	1239	5	1
yazwimaDuka	AK-2.4	1239	1	0
maDuyazwikA	AK-2.4	1239	1	1
vidArI	AK-2.4	1240	4	0
kzIraSuklA	AK-2.4	1240	2	0
ikzuganDA	AK-2.4	1240	1	0
krozwrI	AK-2.4	1240	3	0
sitA	AK-2.4	1240	9	0
kzIravidArI	AK-2.4	1241	1	1
mahASvetA	AK-2.4	1241	9	0
fkzaganDikA	AK-2.4	1241	1	1
lANgalI	AK-2.4	1242	2	0
SAradI	AK-2.4	1242	3	0
toyapippalI	AK-2.4	1242	1	1
SakulAdanI	AK-2.4	1242	2	1
KarASvA	AK-2.4	1243	2	1
kAravI	AK-2.4	1243	7	2
dIpya	AK-2.4	1243	6	1
mayUra	AK-2.4	1243	12	1
locamastaka	AK-2.4	1243	1	1
gopI	AK-2.4	1244	7	0
SyAmA	AK-2.4	1244	13	0
SArivA	AK-2.4	1244	1	0
anantA	AK-2.4	1244	4	0
utpalaSArivA	AK-2.4	1244	0	1
yogya	AK-2.4	1245	13	1
fdDi	AK-2.4	1245	7	3
sidDi	AK-2.4	1245	33	1
lakzmI	AK-2.4	1245	17	1
vfdDi	AK-2.4	1246	15	1
Ahvaya	AK-2.4	1246	2	1
kadalI	AK-2.4	1247	4	0
vAraRabusA	AK-2.4	1247	1	1
ramBA	AK-2.4	1247	8	0
mocA	AK-2.4	1247	3	0
aMSumatPalA	AK-2.4	1247	1	1
kAzWIlA	AK-2.4	1247	1	0
mudgaparRI	AK-2.4	1248	1	1
kAkamudgA	AK-2.4	1248	1	1
sahA	AK-2.4	1248	6	1
vArtAkI	AK-2.4	1249	0	0
hiNgulI	AK-2.4	1249	1	0
siMhI	AK-2.4	1249	7	0
BaRqAkI	AK-2.4	1249	1	1
duzpraDarziRI	AK-2.4	1249	2	0
nAkulI	AK-2.4	1250	3	0
surasA	AK-2.4	1250	8	0
rAsnA	AK-2.4	1250	4	1
suganDA	AK-2.4	1250	10	0
ganDanAkulI	AK-2.4	1250	1	1
nakulezwA	AK-2.4	1250	1	1
BujaNgAkzI	AK-2.4	1250	0	0
CatrAkI	AK-2.4	1250	0	0
suvahA	AK-2.4	1250	0	0
vidAriganDA	AK-2.4	1251	0	1
aMSumatI	AK-2.4	1251	2	3
sAlaparRI	AK-2.4	1251	0	0
sTirA	AK-2.4	1251	6	0
DruvA	AK-2.4	1251	6	0
tuRqikerI	AK-2.4	1252	3	0
samudrAntA	AK-2.4	1252	4	0
kArpAsI	AK-2.4	1252	1	0
badarA	AK-2.4	1252	4	0
BAradvAjI	AK-2.4	1253	4	0
SfNgI	AK-2.4	1254	5	0
fzaBa	AK-2.4	1254	17	2
vfza	AK-2.4	1254	36	2
gANgerukI	AK-2.4	1255	1	1
nAgabalA	AK-2.4	1255	2	0
JazA	AK-2.4	1255	1	0
hrasvagaveDukA	AK-2.4	1255	1	1
DAmArgava	AK-2.4	1256	3	2
Gozaka	AK-2.4	1256	2	1
mahAjAlin	AK-2.4	1257	0	0
jyotsnI	AK-2.4	1258	3	2
pawolikA	AK-2.4	1258	1	0
jAlI	AK-2.4	1258	1	0
nAdeyI	AK-2.4	1259	1	0
BUmijambukA	AK-2.4	1259	1	0
lANgalikI	AK-2.4	1260	1	0
agniSiKA	AK-2.4	1260	1	1
kAkANgI	AK-2.4	1261	1	0
kAkanAsikA	AK-2.4	1261	2	1
goDApadI	AK-2.4	1262	1	1
suvahA	AK-2.4	1262	0	0
musalI	AK-2.4	1263	4	0
tAlamUlikA	AK-2.4	1263	1	1
ajaSfNgI	AK-2.4	1264	1	1
vizARI	AK-2.4	1264	2	0
gojihvA	AK-2.4	1265	1	1
dArvikA	AK-2.4	1265	3	1
tAmbUlavallI	AK-2.4	1266	1	2
tAmbUlI	AK-2.4	1266	1	0
nAgavallI	AK-2.4	1266	2	0
dvijA	AK-2.4	1267	4	1
hareRU	AK-2.4	1267	0	0
reRukA	AK-2.4	1267	5	0
kOntI	AK-2.4	1267	2	2
kapilA	AK-2.4	1267	13	0
BasmaganDinI	AK-2.4	1267	1	0
elAvAluka	AK-2.4	1268	1	0
Eleya	AK-2.4	1268	2	1
suganDi	AK-2.4	1268	11	1
harivAluka	AK-2.4	1268	1	1
vAluka	AK-2.4	1268	4	1
pAlaNkyA	AK-2.4	1269	0	0
mukunda	AK-2.4	1269	10	1
kunda	AK-2.4	1269	9	1
kunduru	AK-2.4	1269	2	2
bAla	AK-2.4	1270	16	2
hrIbera	AK-2.4	1270	0	0
barhizWa	AK-2.4	1270	3	1
udIcya	AK-2.4	1270	5	2
keSAmbunAma	AK-2.4	1270	0	0
kAlAnusArya	AK-2.4	1271	4	1
vfdDa	AK-2.4	1271	18	2
aSmapuzpa	AK-2.4	1271	1	1
SItaSiva	AK-2.4	1271	5	1
SEleya	AK-2.4	1271	9	1
tAlaparRI	AK-2.4	1272	2	0
dEtyA	AK-2.4	1272	2	0
ganDakuwI	AK-2.4	1272	2	1
murA	AK-2.4	1272	3	0
ganDinI	AK-2.4	1272	1	0
gajaBakzyA	AK-2.4	1273	1	1
suvahA	AK-2.4	1273	0	0
suraBI	AK-2.4	1273	2	0
rasA	AK-2.4	1273	8	0
maheraRA	AK-2.4	1273	1	1
kundurukI	AK-2.4	1273	1	0
sallakI	AK-2.4	1273	1	1
hlAdinI	AK-2.4	1273	6	0
agnijvAlA	AK-2.4	1274	3	1
suBikzA	AK-2.4	1274	1	0
DAtakI	AK-2.4	1274	1	0
DAtupuzpikA	AK-2.4	1274	1	1
pfTvIkA	AK-2.4	1275	2	1
candrabAlA	AK-2.4	1275	1	1
elA	AK-2.4	1275	5	2
nizkuwI	AK-2.4	1275	1	0
bahulA	AK-2.4	1275	11	0
upakuYcikA	AK-2.4	1276	2	2
tutTA	AK-2.4	1276	2	0
koraNgI	AK-2.4	1276	1	1
tripuwA	AK-2.4	1276	4	0
truwi	AK-2.4	1276	10	3
vyADi	AK-2.4	1277	5	1
kuzWa	AK-2.4	1277	5	2
pAriBAvya	AK-2.4	1277	2	1
vApya	AK-2.4	1277	4	3
pAkala	AK-2.4	1277	8	2
utpala	AK-2.4	1277	12	2
SaNKinI	AK-2.4	1278	8	0
corapuzpI	AK-2.4	1278	1	0
keSinI	AK-2.4	1278	13	0
vitunnaka	AK-2.4	1279	4	1
JawA	AK-2.4	1279	0	1
amalA	AK-2.4	1279	4	0
ajJawA	AK-2.4	1279	1	1
tAlI	AK-2.4	1279	7	0
SivA	AK-2.4	1279	15	0
tAmalakI	AK-2.4	1279	1	1
prapORqarIka	AK-2.4	1280	2	1
pORqarya	AK-2.4	1280	1	1
tunna	AK-2.4	1281	3	1
kuberaka	AK-2.4	1281	2	0
kuRi	AK-2.4	1281	8	2
kacCa	AK-2.4	1281	11	2
kAntalaka	AK-2.4	1281	1	1
nandivfkza	AK-2.4	1281	1	1
rAkzasI	AK-2.4	1282	8	0
caRqA	AK-2.4	1282	6	0
DanaharI	AK-2.4	1282	1	0
kzema	AK-2.4	1282	15	2
duzpatra	AK-2.4	1282	0	0
gaRahAsaka	AK-2.4	1282	1	0
vyAqAyuDa	AK-2.4	1283	1	1
vyAGranaKa	AK-2.4	1283	6	1
karaja	AK-2.4	1283	3	1
cakrakAraka	AK-2.4	1283	1	1
SuzirA	AK-2.4	1284	0	0
vidrumalatA	AK-2.4	1284	3	1
kapotANGri	AK-2.4	1284	1	1
nawI	AK-2.4	1284	6	0
nalI	AK-2.4	1284	1	0
DamanI	AK-2.4	1285	2	0
aYjanakeSI	AK-2.4	1285	1	1
hanu	AK-2.4	1285	9	1
hawwavilAsinI	AK-2.4	1285	3	1
Sukti	AK-2.4	1286	14	1
SaNKa	AK-2.4	1286	24	1
Kura	AK-2.4	1286	4	2
koladala	AK-2.4	1286	1	1
naKa	AK-2.4	1286	5	1
AQakI	AK-2.4	1287	2	0
kAkzI	AK-2.4	1287	2	1
mftsnA	AK-2.4	1287	5	0
tuvarikA	AK-2.4	1287	0	0
mfttAlaka	AK-2.4	1287	1	0
surAzwraja	AK-2.4	1287	4	1
kuwannawa	AK-2.4	1288	3	2
dASapura	AK-2.4	1288	2	1
vAneya	AK-2.4	1288	3	1
paripelava	AK-2.4	1288	2	1
plava	AK-2.4	1288	26	2
gopura	AK-2.4	1288	6	1
gonarda	AK-2.4	1288	7	3
kEvartImustaka	AK-2.4	1288	1	1
granTiparRa	AK-2.4	1289	2	1
Suka	AK-2.4	1289	16	1
barhapuzpa	AK-2.4	1289	1	0
sTOReya	AK-2.4	1289	1	1
kukkura	AK-2.4	1289	7	2
marunmAlA	AK-2.4	1290	2	1
piSunA	AK-2.4	1290	1	0
spfkkA	AK-2.4	1290	1	1
devI	AK-2.4	1290	13	0
latA	AK-2.4	1290	16	1
laGu	AK-2.4	1290	23	1
samudrAntA	AK-2.4	1290	4	0
vaDU	AK-2.4	1290	6	1
kowivarzA	AK-2.4	1290	1	0
laNkopika	AK-2.4	1290	0	0
tapasvinI	AK-2.4	1291	4	0
jawA	AK-2.4	1291	5	0
mAMsI	AK-2.4	1291	3	0
jawilA	AK-2.4	1291	6	0
lomaSa	AK-2.4	1291	8	1
misI	AK-2.4	1291	0	0
tvakpatra	AK-2.4	1292	0	0
utkawa	AK-2.4	1292	11	2
BfNga	AK-2.4	1292	11	2
tvaca	AK-2.4	1292	4	2
coca	AK-2.4	1292	6	2
varANgaka	AK-2.4	1292	1	1
karcUraka	AK-2.4	1293	1	1
drAviqaka	AK-2.4	1293	2	1
kAlpaka	AK-2.4	1293	1	0
veDamuKyaka	AK-2.4	1293	1	1
ozaDI	AK-2.4	1294	1	0
taRqulIya	AK-2.4	1295	3	1
alpamAriza	AK-2.4	1295	1	1
viSalyA	AK-2.4	1296	12	0
agniSiKA	AK-2.4	1296	1	1
anantA	AK-2.4	1296	4	0
PalinI	AK-2.4	1296	2	0
SakrapuzpikA	AK-2.4	1296	1	1
fkzaganDA	AK-2.4	1297	2	1
CagalAntrI	AK-2.4	1297	1	1
AvegI	AK-2.4	1297	1	0
vfdDadAraka	AK-2.4	1297	1	1
juNga	AK-2.4	1297	1	1
bramhI	AK-2.4	1298	0	0
matsyAkzI	AK-2.4	1298	4	0
vayaHsTA	AK-2.4	1298	3	0
somavallarI	AK-2.4	1298	2	1
pawuparRI	AK-2.4	1299	1	1
hEmavatI	AK-2.4	1299	6	0
svarRakzIrI	AK-2.4	1299	1	1
himAvatI	AK-2.4	1299	1	1
hayapucCI	AK-2.4	1300	1	1
kAmbojI	AK-2.4	1300	4	0
mAzaparRI	AK-2.4	1300	1	1
mahAsahA	AK-2.4	1300	1	0
tuRqikerI	AK-2.4	1301	3	0
raktaPalA	AK-2.4	1301	2	0
bimbikA	AK-2.4	1301	0	0
pIluparRI	AK-2.4	1301	3	1
barbarA	AK-2.4	1302	5	0
kabarI	AK-2.4	1302	0	0
tuNgI	AK-2.4	1302	5	0
KarapuzpA	AK-2.4	1302	1	0
ajaganDikA	AK-2.4	1302	1	1
elAparRI	AK-2.4	1303	1	1
suvahA	AK-2.4	1303	0	0
rAsnA	AK-2.4	1303	4	1
yuktarasA	AK-2.4	1303	1	1
cANgerI	AK-2.4	1304	1	1
cukrikA	AK-2.4	1304	2	0
dantaSaWA	AK-2.4	1304	1	0
ambazWA	AK-2.4	1304	4	0
amlaloRikA	AK-2.4	1304	1	1
sahasraveDin	AK-2.4	1305	4	1
cukra	AK-2.4	1305	3	1
amlavetasa	AK-2.4	1305	2	3
SataveDin	AK-2.4	1305	1	1
namaskArI	AK-2.4	1306	1	0
gaRqakArI	AK-2.4	1306	2	1
samaNgA	AK-2.4	1306	2	0
KadirA	AK-2.4	1306	1	0
jIvantI	AK-2.4	1307	7	0
jIvanI	AK-2.4	1307	1	0
jIvA	AK-2.4	1307	8	0
jIvanIyA	AK-2.4	1307	1	0
maDusravA	AK-2.4	1307	8	0
kUrcaSIrza	AK-2.4	1308	1	1
maDuraka	AK-2.4	1308	3	1
SfNga	AK-2.4	1308	19	1
hrasvANga	AK-2.4	1308	3	1
jIvaka	AK-2.4	1308	12	3
kirAtatikta	AK-2.4	1309	1	1
BUnimba	AK-2.4	1309	1	1
anAryatikta	AK-2.4	1309	1	1
saptalA	AK-2.4	1310	3	0
vimalA	AK-2.4	1310	6	0
sAtalA	AK-2.4	1310	1	1
BUriPenA	AK-2.4	1310	1	1
carmakazA	AK-2.4	1310	1	0
vAyasolI	AK-2.4	1311	1	1
svAdurasA	AK-2.4	1311	5	0
vayaHsTA	AK-2.4	1311	3	0
makUlaka	AK-2.4	1312	1	1
nikumBa	AK-2.4	1312	8	2
dantikA	AK-2.4	1312	1	1
pratyakSreRI	AK-2.4	1312	1	1
udumbaraparRI	AK-2.4	1312	0	1
ajamodA	AK-2.4	1313	1	1
ugraganDA	AK-2.4	1313	6	0
brahmadarBA	AK-2.4	1313	1	1
yavAnikA	AK-2.4	1313	2	1
puzkara	AK-2.4	1314	45	3
kASmIra	AK-2.4	1314	8	2
padmapatra	AK-2.4	1314	0	0
pOzkara	AK-2.4	1314	5	2
avyaTA	AK-2.4	1315	3	2
aticarA	AK-2.4	1315	1	0
padmA	AK-2.4	1315	7	0
cArawI	AK-2.4	1315	2	1
padmacAriRI	AK-2.4	1315	2	1
kAmpilya	AK-2.4	1316	5	1
karkaSa	AK-2.4	1316	5	3
candra	AK-2.4	1316	25	3
raktANga	AK-2.4	1316	9	1
rocanI	AK-2.4	1316	4	0
prapunnAwa	AK-2.4	1317	0	0
eqagaja	AK-2.4	1317	1	1
dadruGna	AK-2.4	1317	2	1
cakamardaka	AK-2.4	1317	0	0
padmAwa	AK-2.4	1317	1	1
uraRAKya	AK-2.4	1317	1	1
palARqu	AK-2.4	1318	1	2
sukandaka	AK-2.4	1318	4	1
latArka	AK-2.4	1319	1	1
dudruma	AK-2.4	1319	1	1
mahOzaDa	AK-2.4	1320	2	1
laSuna	AK-2.4	1320	2	1
gfYjana	AK-2.4	1320	4	2
arizwa	AK-2.4	1320	20	2
mahAkanda	AK-2.4	1320	3	1
rasonaka	AK-2.4	1320	1	0
punarnavA	AK-2.4	1321	1	0
SoTaGnI	AK-2.4	1321	1	1
vitunna	AK-2.4	1322	3	1
sunizaRRaka	AK-2.4	1322	1	1
vAtaka	AK-2.4	1323	1	1
SItala	AK-2.4	1323	21	1
aparAjitA	AK-2.4	1323	4	0
SaRaparRI	AK-2.4	1323	1	1
pArAvatANGri	AK-2.4	1324	0	1
kawaBI	AK-2.4	1324	2	2
paRyA	AK-2.4	1324	1	0
jyotizmatI	AK-2.4	1324	4	0
latA	AK-2.4	1324	16	1
vArzika	AK-2.4	1325	9	1
trAyamARA	AK-2.4	1325	1	0
trAyantI	AK-2.4	1325	2	1
balaBadrikA	AK-2.4	1325	2	1
vizvaksenapriyA	AK-2.4	1326	2	1
gfzwi	AK-2.4	1326	6	2
vArAhI	AK-2.4	1326	8	0
badarA	AK-2.4	1326	4	0
mArkava	AK-2.4	1327	1	1
BfNgarAja	AK-2.4	1327	6	1
kAkamAcI	AK-2.4	1328	1	1
vAyasI	AK-2.4	1328	3	0
SatapuzpA	AK-2.4	1329	4	0
sitacCatrA	AK-2.4	1329	0	0
aticCatrA	AK-2.4	1329	0	0
maDurA	AK-2.4	1329	8	0
misi	AK-2.4	1329	4	1
avAkpuzpI	AK-2.4	1329	1	1
kAravI	AK-2.4	1329	7	2
saraRA	AK-2.4	1330	1	0
prasAriRI	AK-2.4	1330	4	0
kawamBarA	AK-2.4	1330	0	0
rAjabalA	AK-2.4	1330	1	1
BadrabalA	AK-2.4	1330	1	1
janI	AK-2.4	1331	2	1
jatUkA	AK-2.4	1331	2	1
rajanI	AK-2.4	1331	10	1
jatukft	AK-2.4	1331	1	1
cakravartinI	AK-2.4	1331	3	0
saMsparSA	AK-2.4	1331	1	0
SawI	AK-2.4	1332	0	1
ganDamUlI	AK-2.4	1332	1	0
zaqgranTikA	AK-2.4	1332	1	1
karcUra	AK-2.4	1332	3	1
palASa	AK-2.4	1332	12	2
kAravella	AK-2.4	1333	2	1
kaWillaka	AK-2.4	1333	3	0
suzavI	AK-2.4	1333	2	1
kulaka	AK-2.4	1334	14	2
pawola	AK-2.4	1334	3	1
tiktaka	AK-2.4	1334	5	2
pawu	AK-2.4	1334	20	3
kUzmARqaka	AK-2.4	1335	1	1
karkAru	AK-2.4	1335	2	1
IrvAru	AK-2.4	1336	1	2
karkawI	AK-2.4	1336	6	0
ikzvAku	AK-2.4	1337	7	3
kawutumbI	AK-2.4	1337	1	1
tumbI	AK-2.4	1338	3	0
alAbU	AK-2.4	1338	1	0
citrA	AK-2.4	1339	15	0
gavAkzI	AK-2.4	1339	0	0
goqumbA	AK-2.4	1339	2	0
viSAlA	AK-2.4	1340	12	0
indravAruRI	AK-2.4	1340	2	1
arSoGna	AK-2.4	1341	3	1
sUraRa	AK-2.4	1341	1	0
kanda	AK-2.4	1341	8	2
gaRqIra	AK-2.4	1342	2	1
samazWilA	AK-2.4	1342	1	0
kalambI	AK-2.4	1343	1	0
upodakA	AK-2.4	1343	0	0
mUlaka	AK-2.4	1343	7	1
hilamocikA	AK-2.4	1343	1	0
vAstuka	AK-2.4	1343	2	1
dUrvA	AK-2.4	1344	1	1
SataparvikA	AK-2.4	1344	3	0
sahasravIryA	AK-2.4	1344	4	0
BArgavI	AK-2.4	1344	6	0
ruhA	AK-2.4	1344	2	0
anantA	AK-2.4	1344	4	0
golomI	AK-2.4	1345	2	1
SatavIryA	AK-2.4	1345	3	0
gaRqAlI	AK-2.4	1345	3	1
SakulAkzaka	AK-2.4	1345	1	1
kuruvinda	AK-2.4	1346	8	1
meGanAman	AK-2.4	1346	1	1
mustA	AK-2.4	1346	0	0
mustaka	AK-2.4	1346	2	1
Badramustaka	AK-2.4	1347	1	0
gundrA	AK-2.4	1347	4	0
cUqAlA	AK-2.4	1348	2	0
cakralA	AK-2.4	1348	1	1
uccawA	AK-2.4	1348	6	1
vaMSa	AK-2.4	1349	16	2
tvaksAra	AK-2.4	1349	4	1
karmAra	AK-2.4	1349	4	1
tvAcisAra	AK-2.4	1349	0	0
tfRaDvaja	AK-2.4	1349	1	1
Sataparvan	AK-2.4	1349	5	1
yavaPala	AK-2.4	1349	5	1
veRu	AK-2.4	1349	8	1
maskara	AK-2.4	1349	2	1
tejana	AK-2.4	1349	6	1
kIcaka	AK-2.4	1350	6	2
granTi	AK-2.4	1351	9	3
parvan	AK-2.4	1351	16	4
parus	AK-2.4	1351	3	1
gundra	AK-2.4	1352	3	1
tejanaka	AK-2.4	1352	1	1
Sara	AK-2.4	1352	10	3
naqa	AK-2.4	1353	1	1
Damana	AK-2.4	1353	7	2
powagala	AK-2.4	1353	4	2
kASa	AK-2.4	1354	7	3
ikzuganDA	AK-2.4	1354	1	0
powagala	AK-2.4	1354	4	2
balvaja	AK-2.4	1355	1	0
rasAla	AK-2.4	1356	7	1
ikzu	AK-2.4	1356	5	2
puRqra	AK-2.4	1357	11	1
kAntAraka	AK-2.4	1357	2	1
vIraRa	AK-2.4	1358	3	1
vIratara	AK-2.4	1358	5	1
uSIra	AK-2.4	1359	1	2
aBaya	AK-2.4	1359	11	4
nalada	AK-2.4	1359	5	2
sevya	AK-2.4	1359	19	1
amfRAla	AK-2.4	1359	1	1
jalASaya	AK-2.4	1359	6	2
lAmajjaka	AK-2.4	1359	1	1
laGulaya	AK-2.4	1359	1	1
avadAha	AK-2.4	1359	1	1
izwakApaTa	AK-2.4	1359	1	1
tfRa	AK-2.4	1360	3	3
kuSa	AK-2.4	1361	15	2
kuTa	AK-2.4	1361	2	2
darBa	AK-2.4	1361	4	1
pavitra	AK-2.4	1361	22	2
kattfRa	AK-2.4	1362	1	1
pOra	AK-2.4	1363	10	4
sOganDika	AK-2.4	1363	12	1
DyAma	AK-2.4	1363	3	1
devajagDaka	AK-2.4	1363	1	0
rOhiza	AK-2.4	1363	3	1
CatrA	AK-2.4	1364	0	0
aticCatra	AK-2.4	1364	0	1
pAlaGna	AK-2.4	1364	1	1
mAlAtfRaka	AK-2.4	1365	1	0
BUstfRa	AK-2.4	1365	3	1
Sazpa	AK-2.4	1366	2	1
bAlatfRa	AK-2.4	1366	1	0
GAsa	AK-2.4	1367	2	2
yavasa	AK-2.4	1367	2	1
tfRa	AK-2.4	1368	3	3
arjuna	AK-2.4	1368	19	2
tfRyA	AK-2.4	1369	2	1
naqyA	AK-2.4	1370	1	1
tfRarAjAhvaya	AK-2.4	1371	0	0
tAla	AK-2.4	1371	20	2
nAlikera	AK-2.4	1372	2	2
lANgalI	AK-2.4	1372	2	0
GoRwA	AK-2.4	1373	2	1
pUga	AK-2.4	1373	6	2
kramuka	AK-2.4	1373	6	2
guvAka	AK-2.4	1373	1	2
Kapura	AK-2.4	1373	8	2
udvega	AK-2.4	1374	15	3
hintAla	AK-2.4	1375	1	1
KarjUra	AK-2.4	1376	8	2
ketakI	AK-2.4	1377	1	0
tAlI	AK-2.4	1378	7	0
KarjUrI	AK-2.4	1379	3	0
siMha	AK-2.5	1380	15	2
mfgendra	AK-2.5	1380	9	2
paYcAsya	AK-2.5	1380	3	2
haryakza	AK-2.5	1380	10	1
kesarin	AK-2.5	1380	2	3
hari	AK-2.5	1380	35	2
kaRWIrava	AK-2.5	1380	3	2
mfgAri	AK-2.5	1380	3	2
mfgadfzwi	AK-2.5	1380	0	0
mfgASana	AK-2.5	1380	1	0
puRqarIka	AK-2.5	1380	25	1
paYcanaKa	AK-2.5	1380	6	1
citrakAya	AK-2.5	1380	1	2
mfgadviz	AK-2.5	1380	1	0
SArdUla	AK-2.5	1381	10	1
dvipin	AK-2.5	1381	0	0
vyAGra	AK-2.5	1381	7	1
tarakzu	AK-2.5	1382	1	2
mfgAdana	AK-2.5	1382	2	1
varAha	AK-2.5	1383	18	1
sUkara	AK-2.5	1383	6	1
Gfzwi	AK-2.5	1383	5	2
kola	AK-2.5	1383	17	2
potrin	AK-2.5	1383	1	1
kiri	AK-2.5	1383	5	1
kiwi	AK-2.5	1383	2	1
daMzwrin	AK-2.5	1383	6	1
GoRin	AK-2.5	1383	1	1
stabDaroman	AK-2.5	1383	1	1
kroqa	AK-2.5	1383	13	2
BUdAra	AK-2.5	1383	1	1
kapi	AK-2.5	1384	12	2
plavaNga	AK-2.5	1384	0	0
plavaga	AK-2.5	1384	7	1
SAKAmfga	AK-2.5	1384	2	1
valImuKa	AK-2.5	1384	3	1
markawa	AK-2.5	1384	7	1
vAnara	AK-2.5	1384	5	1
kISa	AK-2.5	1384	4	2
vanOkas	AK-2.5	1384	4	1
Balluka	AK-2.5	1385	3	1
fkzAcCa	AK-2.5	1385	0	0
Balla	AK-2.5	1385	8	2
BAlUka	AK-2.5	1385	1	1
gaRqaka	AK-2.5	1386	10	2
Kaqga	AK-2.5	1386	8	1
Kaqgin	AK-2.5	1386	4	1
lulAya	AK-2.5	1387	1	1
mahiza	AK-2.5	1387	11	2
vAhadvizat	AK-2.5	1387	1	0
kAsara	AK-2.5	1387	1	1
sEriBa	AK-2.5	1387	2	1
SivA	AK-2.5	1388	15	0
BUrimAya	AK-2.5	1388	1	1
gomAyu	AK-2.5	1388	6	2
mfgaDUrtaka	AK-2.5	1388	1	0
SfgAla	AK-2.5	1388	1	0
vaYcaka	AK-2.5	1388	4	1
krozwu	AK-2.5	1388	3	2
Peru	AK-2.5	1388	1	2
Perava	AK-2.5	1388	3	2
jambuka	AK-2.5	1388	7	3
otu	AK-2.5	1389	3	2
biqAla	AK-2.5	1389	3	1
mArjAra	AK-2.5	1389	7	1
vfzadaMSaka	AK-2.5	1389	2	1
AKuBuj	AK-2.5	1389	1	1
gODAra	AK-2.5	1390	1	1
gODera	AK-2.5	1390	1	2
gODeya	AK-2.5	1390	3	2
goDikAtmaja	AK-2.5	1390	1	1
SvAviD	AK-2.5	1391	2	1
Salya	AK-2.5	1391	15	1
SalalI	AK-2.5	1392	3	0
Salala	AK-2.5	1392	3	1
Sala	AK-2.5	1392	15	1
vAtapramI	AK-2.5	1393	4	1
vAtamfga	AK-2.5	1393	1	1
koka	AK-2.5	1394	10	3
IhAmfga	AK-2.5	1394	2	2
vfka	AK-2.5	1394	16	1
mfga	AK-2.5	1395	13	2
kuraNga	AK-2.5	1395	3	2
vAtAyu	AK-2.5	1395	1	1
hariRa	AK-2.5	1395	11	1
ajinayoni	AK-2.5	1395	1	1
EReya	AK-2.5	1396	4	2
ERa	AK-2.5	1397	1	2
kadalI	AK-2.5	1398	4	0
kandalI	AK-2.5	1398	6	0
cIna	AK-2.5	1398	7	2
camUru	AK-2.5	1398	1	2
priyaka	AK-2.5	1398	9	1
samUru	AK-2.5	1398	1	1
hariRa	AK-2.5	1398	11	1
kfzRasAra	AK-2.5	1399	5	2
ruru	AK-2.5	1400	10	1
nyaNku	AK-2.5	1401	3	1
raNku	AK-2.5	1402	2	1
Sambara	AK-2.5	1403	21	2
rOhiza	AK-2.5	1404	3	1
gokarRa	AK-2.5	1405	12	2
pfzata	AK-2.5	1406	5	2
eRa	AK-2.5	1407	2	2
fSya	AK-2.5	1408	1	1
rohita	AK-2.5	1409	19	1
camara	AK-2.5	1410	4	2
mfga	AK-2.5	1411	13	2
ganDarva	AK-2.5	1412	15	2
SaraBa	AK-2.5	1413	16	2
rAma	AK-2.5	1414	17	2
sfmara	AK-2.5	1415	3	1
gavaya	AK-2.5	1416	4	1
SaSa	AK-2.5	1417	8	1
paSu	AK-2.5	1418	13	4
aDogantf	AK-2.5	1419	0	0
Kanaka	AK-2.5	1419	5	1
vfka	AK-2.5	1419	16	1
punDvaja	AK-2.5	1419	0	0
undura	AK-2.5	1419	1	2
