anchor_key_slp1	dcs_lemma_id	dcs_lemma_iast	tier	evidence_count
pravikF	163024	pravikṛ	relaxed	7
pravilayana	202761	pravilāyana	relaxed	1
pravivikzu	154820	pravīvikṣu	relaxed	1
pravrAjin	171556	pravrajin	relaxed	1
prayatana	213970	prayātānā	relaxed	1
prazwi	226280	praṣṭī	relaxed	1
priyaNgukA	175102	priyaṅguka	relaxed	3
priyasAla	211250	priyaśāla	relaxed	1
puNKa	165884	puṅkhā	relaxed	13
puRqarIkAkza	144429	puṇḍarikākṣa	relaxed	1
pulomajA	212927	pulomaja	relaxed	1
purAmaTanavallaBa	170322	puramathanavallabha	relaxed	1
purohita	174116	purohitā	relaxed	1
puronuvAkyavat	222399	puronuvākyāvat	relaxed	5
puroqAS	217134	puroḍās	relaxed	1
puruzadantikA	166062	pūruṣadantikā	relaxed	1
puruzanti	223496	puruṣantī	relaxed	2
pustaka	171483	puṣṭaka	relaxed	1
puwaka	206878	pūṭaka	relaxed	1
puzkala	209816	puṣkalā	relaxed	1
puzkarI	176612	puṣkari	relaxed	1
qamaru	176259	ḍamarū	relaxed	1
qap	213213	dāp	relaxed	4
qap	215674	ḍāp	relaxed	1
qapa	210847	dāpa	relaxed	1
qiRqiramodaka	167665	ḍiṇḍīramodaka	relaxed	1
qim	169849	dīṃ	relaxed	1
rASIBU	175480	rasībhū	relaxed	5
rASIkf	219207	rasīkṛ	relaxed	2
rAjAy	172425	rājay	relaxed	2
rAjAy	220006	rajay	relaxed	2
rAjImatI	203263	rājimatī	relaxed	1
rAjaBAva	174440	rājabhāvā	relaxed	1
rAjaBogya	174630	rājabhogyā	relaxed	1
rAjakaserukA	173765	rājakaśeruka	relaxed	4
rAjakfzRa	165800	rājakṛṣṇā	relaxed	1
rAjavallaBa	174611	rājavallabhā	relaxed	1
rAjeSvara	208936	rajeśvara	relaxed	1
rOhiReya	172887	rauhīṇeya	relaxed	1
rOhiRika	207171	rauhiṇīka	relaxed	1
rUpay	211834	rūpāy	relaxed	1
raRapriya	168700	raṇapriyā	relaxed	2
raRaraRa	222196	raṇaraṇā	relaxed	1
raRaraRika	216739	raṇaraṇikā	relaxed	2
raSanApada	174646	rasanāpada	relaxed	1
raSmika	199159	raśmīka	relaxed	2
raYjana	204528	rañjanā	relaxed	4
raba	176152	rāba	relaxed	5
rahAy	157642	rahay	relaxed	2
rahAy	201316	rāhay	relaxed	2
rahasa	224651	rāhasa	relaxed	1
rajjuka	200977	rajjukā	relaxed	2
raktadalA	214277	raktadala	relaxed	1
raktakusuma	210496	raktakusumā	relaxed	1
raktalA	207407	raktala	relaxed	2
raktayazwi	163727	raktayaṣṭī	relaxed	3
ram	169913	rāṃ	relaxed	3
rantA	204243	rānta	relaxed	1
ranti	176280	rantī	relaxed	5
rasada	209660	rasadā	relaxed	1
rasendracintAmaRi	206380	rasendracintamaṇi	relaxed	1
ratnaDara	208585	ratnadhāra	relaxed	2
ratnakUwa	225457	ratnakūṭā	relaxed	1
ratnapuzpa	206381	ratnapuṣpā	relaxed	1
rogahara	174175	rogahāra	relaxed	1
rohAy	160720	rohay	relaxed	26
rudrapada	208360	rudrapāda	relaxed	5
sAMsparSaka	201937	saṃsparśaka	relaxed	1
sAMvAhika	203303	saṃvāhikā	relaxed	6
sAMvaraRi	202777	saṃvaraṇī	relaxed	2
sAQyE	216342	śadhyai	relaxed	1
sAcin	225278	śācin	relaxed	1
sAgaradatta	216815	sāgaradattā	relaxed	1
sAhacarya	224390	sahacarya	relaxed	1
sAhadevaka	214113	sahadevaka	relaxed	2
sAhadevya	224134	sahadevya	relaxed	1
sAmiDenIka	222556	sāmidhenīkā	relaxed	8
sAmrAjya	199676	samrājya	relaxed	1
sAptatika	173406	saptatika	relaxed	2
sArakalpa	225369	śarakalpa	relaxed	1
sArti	215309	sarti	relaxed	5
sArvaDAtuka	207243	sarvadhātuka	relaxed	1
sAsu	214985	śāsu	relaxed	1
sAtrAjitI	226170	satrājitī	relaxed	1
sAtyADivAka	222800	satyādhivāka	relaxed	1
sAvarRaka	210573	savarṇaka	relaxed	1
sAway	172253	śātay	relaxed	45
sIsara	210434	śiṣara	relaxed	1
sOhArdya	222357	sauhardya	relaxed	1
sOnandI	212987	saunandi	relaxed	1
sOrAzwrika	206659	saurāṣṭrikā	relaxed	1
sOryacAndramasa	225320	sauryācāndramasa	relaxed	1
sOzirya	202207	śauṣirya	relaxed	1
sPA	215675	ṣpha	relaxed	1
sPA	216282	spha	relaxed	1
sPAwikopala	207187	sphaṭikopala	relaxed	2
sTUlAsya	167584	sthūlāsyā	relaxed	1
sTUlaSIrza	203302	sthūlaśīrṣā	relaxed	1
sTUlaka	211266	sthūlakā	relaxed	1
sTal	215790	ṣṭhal	relaxed	2
sTapika	212234	sthāpika	relaxed	1
sTeya	222777	stheyā	relaxed	2
sTita	218240	sthitā	relaxed	1
sUcIvaktra	203636	sūcivaktrā	relaxed	2
sUcivat	222156	śucivat	relaxed	4
sUkaraka	215248	śūkaraka	relaxed	1
sUkaratA	175390	śūkaratā	relaxed	1
sUnamada	225156	śunamaḍa	relaxed	1
sUpaka	173455	supāka	relaxed	2
sUpika	211972	supīka	relaxed	1
sUrakanda	167802	śūrakanda	relaxed	1
sUryakAnta	173192	sūryakāntā	relaxed	1
sUryapraBava	201522	sūryaprabhāvā	relaxed	1
sUtra	168885	sūtrā	relaxed	1
sUtraRa	218137	sūtraṇā	relaxed	1
saMBuva	200477	śaṃbhuvā	relaxed	1
saMDAyasamBAzA	207604	saṃdhāyasaṃbhāṣā	relaxed	2
saMDanajit	220368	saṃdhanājit	relaxed	7
saMSaMsA	225347	saṃśaṃsa	relaxed	3
saMSlezin	217428	śaṃśleṣin	relaxed	1
saMbanDana	204783	sambandhana	relaxed	3
saMcakAs	224940	saṃcākaś	relaxed	1
saMcalana	171425	saṃcālana	relaxed	2
saMdravaRa	204150	saṃdrāvaṇa	relaxed	1
saMgF	171186	saṃgṛ	relaxed	4
saMgF	172348	saṃgṛ	relaxed	6
saMharza	207732	saṃharṣā	relaxed	1
saMjF	164916	saṃjṛ	relaxed	7
saMkAS	222831	saṃkaṣ	relaxed	1
saMnati	226031	śamnāti	relaxed	2
saMniDikAra	220165	saṃnidhīkāra	relaxed	1
saMnu	221101	saṃnū	relaxed	1
saMpAwana	209247	saṃpātana	relaxed	1
