mandala	sukta	verse	pada_letter	pratika	match_status	elizarenkova_ref	rvlinks_anchor	pratika_verified_in_elizarenkova
1	33	7	c	avādaho diva ā dasyum uccā	joined	samudra:01_rigveda.no_tags#33.7	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.07	y
1	33	7	d	pra sunvata stuvataḥ śaṃsam āvaḥ	joined	samudra:01_rigveda.no_tags#33.7	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.07	y
1	33	8	a	cakrāṇāsaḥ parīṇahaṃ pṛthivyāḥ	joined	samudra:01_rigveda.no_tags#33.8	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.08	y
1	33	8	b	hiraṇyena maṇinā śumbhamānāḥ	joined	samudra:01_rigveda.no_tags#33.8	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.08	y
1	33	8	c	na hinvānāsas titirus ta indram	joined	samudra:01_rigveda.no_tags#33.8	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.08	y
1	33	8	d	pari spaśo adadhāt sūryeṇa	joined	samudra:01_rigveda.no_tags#33.8	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.08	y
1	33	9	a	pari yad indra rodasī ubhe	joined	samudra:01_rigveda.no_tags#33.9	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.09	y
1	33	9	b	abubhojīr mahinā viśvataḥ sīm	joined	samudra:01_rigveda.no_tags#33.9	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.09	y
1	33	9	c	amanyamānāṃ abhi manyamānaiḥ	joined	samudra:01_rigveda.no_tags#33.9	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.09	y
1	33	9	d	nir brahmabhir adhamo dasyum indra	joined	samudra:01_rigveda.no_tags#33.9	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.09	y
1	33	10	a	na ye divaḥ pṛthivyā antam āpuḥ	joined	samudra:01_rigveda.no_tags#33.10	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.10	y
1	33	10	b	na māyābhir dhanadāṃ paryabhūvan	joined	samudra:01_rigveda.no_tags#33.10	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.10	y
1	33	10	c	yujaṃ vajraṃ vṛṣabhaś cakra indraḥ	joined	samudra:01_rigveda.no_tags#33.10	https://sanskrit-lexicon.github.io/rvlinks/rvhymns/rv01.033.html#rv01.033.10	n
