signature	count	share_pct
PRON|Gen Sing Fem	3329	0.058522
VERB|Nom Sing Masc Past	3320	0.058364
PRON|Loc Sing Neut	3190	0.056079
PRON|Nom Plur	3158	0.055516
VERB|Plur p3 Pres Ind Pass	3127	0.054971
ADJ|Acc Plur Fem	3087	0.054268
VERB|Nom Dual Masc	3084	0.054215
VERB|Sing p3 Pres Imp Pass	2987	0.05251
PRON|Abl Sing Neut	2980	0.052387
PRON|Acc Plur Neut	2954	0.05193
NOUN|Gen Dual Masc	2945	0.051772
VERB|Plur p3 Fut Ind	2942	0.051719
NOUN|Abl Sing Fem	2880	0.050629
PRON|Acc Plur Fem	2773	0.048748
ADJ|Ins Sing Fem	2685	0.047201
VERB|Nom Sing Fem Pres	2666	0.046867
ADJ|Voc Sing Fem	2643	0.046463
NUM|Nom Sing Masc	2621	0.046076
NOUN|Cpd Neut	2582	0.04539
VERB|Gen Plur Masc Pres	2581	0.045373
NUM|Ins Plur Masc	2546	0.044758
NUM|Nom Plur Neut	2520	0.044301
NOUN|Ins Dual Masc	2444	0.042965
PRON|Abl Sing Masc	2443	0.042947
PRON|Loc Sing Fem	2425	0.04263
PRON|Loc Sing	2336	0.041066
PRON|Loc Plur Masc	2269	0.039888
VERB|Gen Plur Masc	2245	0.039466
VERB|Sing p2 Fut Ind	2200	0.038675
VERB|Ins Sing Masc	2194	0.03857
NOUN|Acc Dual Neut	2117	0.037216
NUM|Acc Plur Neut	2113	0.037146
NOUN|Nom Dual Neut	2082	0.036601
ADJ|Loc Plur Masc	2079	0.036548
NOUN|Nom Dual Fem	2061	0.036232
VERB|Cpd Pres	2059	0.036196
VERB|Sing p1 Past Ind	2031	0.035704
NUM|Acc Plur Masc	2021	0.035528
ADJ|Gen Sing Neut	1984	0.034878
VERB|Dual p3 Pres Ind	1976	0.034737
ADJ|Abl Sing Masc	1888	0.03319
ADJ|	1861	0.032716
NOUN|Abl Plur Masc	1853	0.032575
VERB|Sing p1 Pres Opt	1836	0.032276
VERB|Sing p2 Past Jus	1828	0.032135
NUM|Nom Sing Fem	1822	0.03203
ADJ|Loc Sing Fem	1770	0.031116
VERB|Dual p3 Past Ind	1763	0.030993
VERB|Nom Sing Masc Pres Pass	1677	0.029481
VERB|Plur p1 Fut Ind	1660	0.029182
VERB|Loc Sing Masc Pres	1605	0.028215
PRON|Acc Dual Masc	1554	0.027319
NOUN|Acc Dual Fem	1540	0.027073
VERB|Sing p2 Past Ind	1535	0.026985
VERB|Ins Sing Masc Pres	1524	0.026791
VERB|Dual p2 Pres Imp	1483	0.026071
PRON|Ins Plur Neut	1459	0.025649
PRON|Gen Plur Fem	1437	0.025262
NUM|Acc Sing Masc	1427	0.025086
PRON|Gen Dual Masc	1426	0.025068
VERB|Sing p3 Pres Sub	1420	0.024963
VERB|Ins Sing Neut	1412	0.024822
NOUN|Voc Dual Masc	1405	0.024699
NOUN|Loc Dual Masc	1388	0.0244
ADJ|Abl Sing Neut	1380	0.02426
VERB|Ins Plur Neut	1378	0.024225
VERB|Plur p1 Pres Opt	1352	0.023768
VERB|Sing p1 Impf Ind	1314	0.0231
VERB|Loc Plur Masc	1269	0.022308
ADJ|Acc Dual Masc	1253	0.022027
VERB|Acc Plur Neut	1242	0.021834
NUM|Nom Plur Fem	1222	0.021482
ADJ|Ins Plur Fem	1214	0.021342
NUM|Ins Plur Neut	1205	0.021183
VERB|Plur p2 Pres Ind	1196	0.021025
NOUN|Cpd Fem	1163	0.020445
VERB|Sing p3 Past Jus	1126	0.019795
VERB|Acc Sing Fem Pres	1116	0.019619
PRON|Ins Plur Fem	1095	0.01925
PRON|Gen Plur Neut	1078	0.018951
ADJ|Voc Plur Masc	1021	0.017949
VERB|Sing p3 Impf Ind Pass	1004	0.01765
VERB|Loc Sing Fem	994	0.017474
NOUN|Ins Dual Neut	981	0.017246
NUM|Acc Plur Fem	974	0.017123
PRON|Loc Plur Neut	971	0.01707
VERB|Acc Plur Masc Pres	960	0.016876
VERB|Nom Sing Neut Pres	954	0.016771
VERB|Dat Sing Masc Pres	951	0.016718
VERB|Sing p2 Past Imp	928	0.016314
PRON|Dat Sing Fem	901	0.015839
VERB|Plur p1 Past Ind	901	0.015839
PRON|Gen Dual	898	0.015786
ADJ|Gen Plur Neut	883	0.015523
VERB|Sing p2 Impf Ind	881	0.015488
VERB|Dual p3 Impf Ind	878	0.015435
NOUN|Gen Dual Neut	863	0.015171
VERB|Nom Plur Fem Pres	857	0.015066
NUM|Ins Plur Fem	847	0.01489
VERB|Nom Sing Neut Past	847	0.01489
NOUN|Abl Plur Neut	842	0.014802
NUM|Loc Plur Masc	840	0.014767
VERB|Sing p2 Pres Opt	837	0.014714
ADJ|Loc Plur Neut	829	0.014573
PRON|Loc Plur Fem	828	0.014556
PRON|Dat Plur Masc	817	0.014363
NUM|Nom Dual Masc	803	0.014116
NOUN|Dat Plur Fem	791	0.013905
ADJ|Nom Dual Fem	770	0.013536
VERB|Nom Dual Masc Pres	770	0.013536
ADJ|Dat Plur Masc	765	0.013448
VERB|Sing p3 Pres Opt Pass	734	0.012903
VERB|Acc Sing Masc Past	732	0.012868
VERB|Sing p3 Past Ind Pass	731	0.012851
NUM|Gen Plur Masc	730	0.012833
VERB|Sing p3 Past Sub	728	0.012798
NUM|Acc Sing Fem	720	0.012657
NUM|Ins Sing Neut	720	0.012657
VERB|Ins Plur Masc Pres	718	0.012622
VERB|Nom Sing Masc Fut	709	0.012464
VERB|Gen Sing Neut	705	0.012394
VERB|Dat Sing Masc	704	0.012376
VERB|Nom Plur Masc Past	699	0.012288
VERB|Acc Plur Fem	677	0.011901
PRON|Nom Dual Fem	671	0.011796
NOUN|Gen Dual Fem	639	0.011233
ADJ|Gen Sing Fem	638	0.011216
PRON|Ins Plur	630	0.011075
ADJ|Gen Dual Masc	628	0.01104
PRON|	618	0.010864
VERB|Ins Sing Fem	615	0.010811
ADJ|Nom Dual Neut	603	0.0106
PRON|Abl Plur Masc	601	0.010565
VERB|Loc Sing Neut Pres	599	0.01053
VERB|Nom Plur Masc Pres Pass	576	0.010126
ADJ|Loc Plur Fem	565	0.009932
NUM|Nom Dual Neut	558	0.009809
NUM|Ins Sing Masc	549	0.009651
VERB|Acc Sing Masc Pres Pass	541	0.009511
VERB|Sing p3 Pres Jus	529	0.0093
ADJ|Gen Plur Fem	524	0.009212
PRON|Nom Dual Neut	513	0.009018
NOUN|Abl Plur Fem	512	0.009001
VERB|Abl Sing Masc	503	0.008843
VERB|Dual p2 Pres Ind	493	0.008667
NUM|Ins Sing Fem	487	0.008561
VERB|Acc Dual Masc	486	0.008544
NOUN|Gen Plur	483	0.008491
NOUN|Voc Plur Fem	481	0.008456
