signature	count	share_pct
VERB|Gen Plur Fem Past	15	0.000264
ADJ|Gen Sing	14	0.000246
ADJ|Voc Dual Fem	14	0.000246
PRON|Voc Plur Masc	14	0.000246
VERB|Plur p3 Pqp Ind	14	0.000246
VERB|Abl Plur Fem	14	0.000246
VERB|Abl Plur Masc Pres	14	0.000246
VERB|Acc Dual Masc Past	14	0.000246
VERB|Acc Dual Neut Pres	14	0.000246
VERB|Ins Dual Fem	14	0.000246
VERB|Loc Sing Neut Fut	14	0.000246
NOUN|Dat Plur	13	0.000229
NUM|Cpd Masc	13	0.000229
VERB|Plur p3 Past Prec	13	0.000229
VERB|Nom Plur Neut Fut	13	0.000229
VERB|Voc Plur Fem Pres	13	0.000229
VERB|Voc Plur Masc Pres	13	0.000229
NOUN|Dat Sing	12	0.000211
PART|Nom Sing Masc	12	0.000211
VERB|Dual p3 Pres Imp Pass	12	0.000211
VERB|Sing p1 Plp Ind	12	0.000211
VERB|Dat Plur Masc Pres Pass	12	0.000211
VERB|Gen Dual Fem Pres	12	0.000211
VERB|Gen Plur Fem Pres Pass	12	0.000211
VERB|Gen Sing Fem Past	12	0.000211
VERB|Ins Plur Neut Past	12	0.000211
ADJ|Gen Plur	11	0.000193
VERB|Dual p3 Past Jus	11	0.000193
VERB|Acc Dual Fem Pres	11	0.000193
VERB|Dat Sing Masc Fut	11	0.000193
NOUN|Voc Plur Neut	10	0.000176
VERB|Dual p2 Plp Ind	10	0.000176
VERB|Dual p2 Pres Opt	10	0.000176
VERB|Plur p1 Pres Jus	10	0.000176
VERB|Sing p3 Pqp Ind	10	0.000176
VERB|Gen Dual Fem	10	0.000176
VERB|Ins Plur Fem Past	10	0.000176
NUM|Dat Sing Fem	9	0.000158
VERB|Sing p1 Impf Ind Pass	9	0.000158
VERB|Acc Dual Fem Past	9	0.000158
VERB|Dat Dual Masc Pres Pass	9	0.000158
ADJ|Abl Dual Neut	8	0.000141
NOUN|Abl Sing	8	0.000141
VERB|Acc Dual Neut Pres Pass	8	0.000141
VERB|Dat Dual Neut Pres Pass	8	0.000141
VERB|Loc Dual Masc Pres	8	0.000141
VERB|Nom Dual Masc Fut	8	0.000141
VERB|Voc Sing Fem Past	8	0.000141
ADJ|Acc Plur	7	0.000123
NOUN|Loc Dual	7	0.000123
NOUN|Voc Sing	7	0.000123
NUM|Abl Dual Masc	7	0.000123
NUM|Voc Plur Neut	7	0.000123
PRON|Loc Dual	7	0.000123
VERB|Pres Pass	7	0.000123
VERB|Dual p1 Fut Cond	7	0.000123
VERB|Plur p2 Past Prec	7	0.000123
VERB|Plur p2 Pres Jus	7	0.000123
VERB|Acc Dual Neut Past	7	0.000123
VERB|Dat Plur Fem Pres	7	0.000123
VERB|Dat Sing Neut Pres	7	0.000123
VERB|Gen Plur Neut Past	7	0.000123
VERB|Ins Sing Fem Fut	7	0.000123
VERB|Loc Dual Neut	7	0.000123
NUM|Voc Plur Masc	6	0.000105
PRON|Abl Dual	6	0.000105
VERB|Sing p2 Pqp Ind	6	0.000105
VERB|Abl Dual Masc	6	0.000105
VERB|Abl Sing Masc Fut	6	0.000105
VERB|Dat Sing Fem Past	6	0.000105
VERB|Gen Dual Masc Pres Pass	6	0.000105
VERB|Ins Dual Masc Pres	6	0.000105
VERB|Ins Dual Masc Pres Pass	6	0.000105
VERB|Ins Plur Masc Fut	6	0.000105
VERB|Loc Dual Fem	6	0.000105
VERB|Nom Dual Fem Pres Pass	6	0.000105
NUM|Voc Plur Fem	5	8.8e-05
PART|Gen Sing	5	8.8e-05
PART|Gen Sing Masc	5	8.8e-05
PRON|Abl Dual Fem	5	8.8e-05
PRON|Voc Sing Fem	5	8.8e-05
VERB|Dual p3 Fut Cond	5	8.8e-05
VERB|Dual p3 Past Opt	5	8.8e-05
VERB|Dual p3 Pres Jus	5	8.8e-05
VERB|Plur p3 Fut Pot	5	8.8e-05
VERB|Sing p1 Pres Opt Pass	5	8.8e-05
VERB|Dat Dual Masc	5	8.8e-05
VERB|Dat Sing Fem Pres Pass	5	8.8e-05
VERB|Gen Dual Masc Past	5	8.8e-05
VERB|Nom Dual Neut Fut	5	8.8e-05
VERB|Voc Plur Fem	5	8.8e-05
ADP|Abl Sing Masc	4	7e-05
ADP|Loc Sing Masc	4	7e-05
NUM|Dat Plur Neut	4	7e-05
PART|Abl Sing Masc	4	7e-05
VERB|Dual p2 Past Opt	4	7e-05
VERB|Dual p2 Pres Imp Pass	4	7e-05
VERB|Dual p3 Past Ind Pass	4	7e-05
VERB|Plur p2 Plp Ind	4	7e-05
VERB|Sing p1 Pres Imp Pass	4	7e-05
VERB|Sing p2 Fut Pot	4	7e-05
VERB|Abl Sing Fem Pres	4	7e-05
VERB|Acc Plur Neut Fut	4	7e-05
VERB|Dat Plur Masc Past	4	7e-05
VERB|Dat Plur Neut	4	7e-05
VERB|Gen Dual Neut Pres	4	7e-05
VERB|Gen Dual Neut Pres Pass	4	7e-05
VERB|Gen Plur Fem Fut	4	7e-05
VERB|Gen Sing Neut Fut	4	7e-05
VERB|Loc Dual Masc Pres Pass	4	7e-05
VERB|Nom Plur Fem Fut	4	7e-05
VERB|Voc Sing Fem Fut	4	7e-05
VERB|Voc Sing Neut	4	7e-05
ADJ|Ins Sing	3	5.3e-05
ADJ|Nom Dual	3	5.3e-05
ADP|Gen Sing Masc	3	5.3e-05
NOUN|Gen Dual	3	5.3e-05
NUM|Abl Dual Neut	3	5.3e-05
NUM|Voc Sing Fem	3	5.3e-05
VERB|Dual p2 Past Prec	3	5.3e-05
VERB|Plur p1 Pres Imp Pass	3	5.3e-05
VERB|Plur p2 Pres Ind Pass	3	5.3e-05
VERB|Sing p1 Fut Pot	3	5.3e-05
VERB|Abl Dual Neut	3	5.3e-05
VERB|Abl Plur Masc Past	3	5.3e-05
VERB|Acc Dual Fem Pres Pass	3	5.3e-05
VERB|Acc Plur Fem Fut	3	5.3e-05
VERB|Dat Dual Masc Pres	3	5.3e-05
VERB|Gen Plur Neut Fut	3	5.3e-05
VERB|Gen Sing Fem Fut	3	5.3e-05
VERB|Ins Plur Fem Pres Pass	3	5.3e-05
VERB|Ins Sing Neut Fut	3	5.3e-05
VERB|Nom Dual Neut Pres Pass	3	5.3e-05
VERB|Voc Sing Masc Pres Pass	3	5.3e-05
ADJ|Abl Dual Fem	2	3.5e-05
ADJ|Voc Dual Neut	2	3.5e-05
ADJ|Voc Plur Neut	2	3.5e-05
NOUN|Acc Dual	2	3.5e-05
NUM|Abl Dual Fem	2	3.5e-05
NUM|Dat Dual Neut	2	3.5e-05
NUM|Voc Dual Fem	2	3.5e-05
PART|Gen Dual Masc	2	3.5e-05
PRON|Dat Dual Neut	2	3.5e-05
PRON|Voc Dual Masc	2	3.5e-05
VERB|Dual p1 Past Sub	2	3.5e-05
VERB|Dual p3 Pres Opt Pass	2	3.5e-05
VERB|Plur p1 Plp Ind	2	3.5e-05
VERB|Plur p1 Pres Opt Pass	2	3.5e-05
VERB|Sing p1 Pqp Ind	2	3.5e-05
VERB|Sing p2 Pres Opt Pass	2	3.5e-05
VERB|Abl Plur Neut Past	2	3.5e-05
VERB|Abl Sing Fem Past	2	3.5e-05
VERB|Abl Sing Neut Fut	2	3.5e-05
VERB|Dat Plur Fem Pres Pass	2	3.5e-05
VERB|Dat Sing Neut Past	2	3.5e-05
VERB|Gen Dual Masc Fut	2	3.5e-05
VERB|Ins Dual Fem Past	2	3.5e-05
VERB|Ins Dual Neut Past	2	3.5e-05
VERB|Loc Dual Fem Pres Pass	2	3.5e-05
VERB|Loc Dual Masc Past	2	3.5e-05
VERB|Loc Plur Neut Fut	2	3.5e-05
VERB|Voc Dual Masc	2	3.5e-05
VERB|Voc Dual Masc Pres	2	3.5e-05
VERB|Voc Plur Neut Pres	2	3.5e-05
ADJ|Cpd Masc	1	1.8e-05
ADJ|Dat Dual Fem	1	1.8e-05
ADJ|Dat Dual Neut	1	1.8e-05
ADJ|Dat Plur	1	1.8e-05
ADJ|Dat Sing	1	1.8e-05
ADJ|Loc Plur	1	1.8e-05
ADJ|Voc Sing	1	1.8e-05
ADP|Abl Dual Masc	1	1.8e-05
ADP|Abl Plur Masc	1	1.8e-05
ADP|Cpd Masc	1	1.8e-05
ADP|Voc Sing Masc	1	1.8e-05
INTJ|Gen Dual Masc	1	1.8e-05
NUM|Abl Sing	1	1.8e-05
NUM|Voc Dual Masc	1	1.8e-05
NUM|Voc Sing Masc	1	1.8e-05
NUM|Voc Sing Neut	1	1.8e-05
PART|Nom Sing	1	1.8e-05
PRON|Voc Plur Fem	1	1.8e-05
VERB|Fut	1	1.8e-05
VERB|Dual p1 Past Jus	1	1.8e-05
VERB|Dual p1 Past Opt	1	1.8e-05
VERB|Dual p1 Past Prec	1	1.8e-05
VERB|Dual p2 Fut Cond	1	1.8e-05
VERB|Dual p2 Pres Ind Pass	1	1.8e-05
VERB|Dual p3 Past Prec	1	1.8e-05
VERB|Dual p3 Plp Ind	1	1.8e-05
VERB|Plur p2 Impf Ind Pass	1	1.8e-05
VERB|Plur p2 Past Opt	1	1.8e-05
VERB|Plur p2 Pqp Ind	1	1.8e-05
VERB|Sing p1 Past Imp	1	1.8e-05
VERB|Abl Dual Masc Pres	1	1.8e-05
VERB|Abl Plur Fem Past	1	1.8e-05
VERB|Abl Plur Masc Pres Pass	1	1.8e-05
VERB|Abl Sing Fem Pres Pass	1	1.8e-05
VERB|Acc Dual Neut Fut	1	1.8e-05
VERB|Dat Dual Fem	1	1.8e-05
VERB|Dat Plur Fem Past	1	1.8e-05
VERB|Dat Sing Neut Fut	1	1.8e-05
VERB|Dat Sing Neut Pres Pass	1	1.8e-05
VERB|Ins Dual Fem Pres Pass	1	1.8e-05
VERB|Ins Dual Masc Past	1	1.8e-05
VERB|Ins Dual Neut Pres Pass	1	1.8e-05
VERB|Ins Plur Fem Fut	1	1.8e-05
VERB|Ins Plur Neut Fut	1	1.8e-05
VERB|Loc Dual Fem Past	1	1.8e-05
VERB|Loc Dual Fem Pres	1	1.8e-05
VERB|Loc Dual Masc Fut	1	1.8e-05
VERB|Loc Dual Neut Past	1	1.8e-05
VERB|Loc Dual Neut Pres Pass	1	1.8e-05
VERB|Loc Sing Fem Fut	1	1.8e-05
VERB|Nom Dual Fem Fut	1	1.8e-05
VERB|Voc Dual Fem	1	1.8e-05
VERB|Voc Dual Fem Pres	1	1.8e-05
VERB|Voc Dual Masc Past	1	1.8e-05
VERB|Voc Plur Masc Past	1	1.8e-05
VERB|Voc Sing Masc Fut	1	1.8e-05
VERB|Voc Sing Neut Past	1	1.8e-05
