surface	lemma_iast	upos	n_occ	n_refs	refs	headword_slp1	link_method	conf	sense_ids	card_href
bhāgīrathī	bhāgīrathī	NOUN	2	2	Hitopadeśa, Hitop, 0, 10.2; Hitopadeśa, Hitop, 1, 57.3	BAgIraTI	xref	0.99		../w/_42_41g_49ra_54_49.html
bhāra	bhāra	NOUN	2	2	Hitopadeśa, Hitop, 1, 151.3; Hitopadeśa, Hitop, 3, 10.4	BAra	xref	0.99		../w/_42_41ra.html
bhāvam	bhāva	NOUN	2	2	Hitopadeśa, Hitop, 2, 149.1; Hitopadeśa, Hitop, 2, 152.10	BAva	xref	0.99	10|11|12|13|14|15|16|17|2|3|4|5|6|7|8|9	../w/_42_41va.html
bhāṇḍa	bhāṇḍa	NOUN	2	2	Hitopadeśa, Hitop, 3, 60.5; Hitopadeśa, Hitop, 4, 22.5	BARqa	xref	0.99		../w/_42_41_52qa.html
bhāṇḍe	bhāṇḍa	NOUN	2	2	Hitopadeśa, Hitop, 2, 112.13; Hitopadeśa, Hitop, 3, 60.3	BARqa	xref	0.99		../w/_42_41_52qa.html
bhāṇḍāni	bhāṇḍa	NOUN	2	2	Hitopadeśa, Hitop, 4, 22.9; Hitopadeśa, Hitop, 4, 22.10	BARqa	xref	0.99		../w/_42_41_52qa.html
bhū	bhū	NOUN	2	2	Hitopadeśa, Hitop, 1, 24.2; Hitopadeśa, Hitop, 3, 40.11	BU	exact	0.95	10|11|1a|1b|1c|1d|1e|1f|1g|1h|1i|1l|2|3|4|5|6|7|8|9	../w/_42_55.html
bhūpateḥ	bhūpati	NOUN	2	2	Hitopadeśa, Hitop, 2, 92.2; Hitopadeśa, Hitop, 2, 111.9	BUpati	xref	0.99		../w/_42_55pati.html
bhūpālayoḥ	bhūpāla	NOUN	2	2	Hitopadeśa, Hitop, 3, 25.2; Hitopadeśa, Hitop, 4, 141.1	BUpAla	xref	0.99		../w/_42_55p_41la.html
bhūpālaḥ	bhūpāla	NOUN	2	2	Hitopadeśa, Hitop, 3, 15.15; Hitopadeśa, Hitop, 3, 116.2	BUpAla	xref	0.99		../w/_42_55p_41la.html
bhūtaḥ	bhū	VERB	2	2	Hitopadeśa, Hitop, 3, 20.7; Hitopadeśa, Hitop, 3, 103.13	BU	exact	0.95	10|11|1a|1b|1c|1d|1e|1f|1g|1h|1i|1l|2|3|4|5|6|7|8|9	../w/_42_55.html
bhūteṣu	bhūta	NOUN	2	2	Hitopadeśa, Hitop, 1, 14.3; Hitopadeśa, Hitop, 4, 92.3	BUta	exact	0.95	10|1a|1b|1c|1d|1e|1f|1g|1h|2|3|4|5|6|7|8|9	../w/_42_55ta.html
bhūtim	bhūti	NOUN	2	2	Hitopadeśa, Hitop, 1, 34.2; Hitopadeśa, Hitop, 2, 169.4	BUti	exact	0.95	1a|1b|1c|1d|1e|1f|1g|1h|2a|2b|2c	../w/_42_55ti.html
bhūṣitā	bhūṣay	VERB	2	2	Hitopadeśa, Hitop, 2, 111.10; Hitopadeśa, Hitop, 3, 102.32		none			
bhṛtyaiḥ	bhṛtya	NOUN	2	2	Hitopadeśa, Hitop, 2, 74.3; Hitopadeśa, Hitop, 2, 83.9	Bftya	exact	0.95		../w/_42ftya.html
bhṛtyasya	bhṛtya	NOUN	2	2	Hitopadeśa, Hitop, 2, 168.2; Hitopadeśa, Hitop, 4, 13.3	Bftya	exact	0.95		../w/_42ftya.html
bhṛtye	bhṛtya	NOUN	2	2	Hitopadeśa, Hitop, 2, 142.1; Hitopadeśa, Hitop, 2, 142.4	Bftya	exact	0.95		../w/_42ftya.html
bhṛtyāḥ	bhṛtya	NOUN	2	2	Hitopadeśa, Hitop, 2, 71.2; Hitopadeśa, Hitop, 2, 168.3	Bftya	exact	0.95		../w/_42ftya.html
bilāt	bila	NOUN	2	2	Hitopadeśa, Hitop, 2, 85.2; Hitopadeśa, Hitop, 3, 30.2	bila	xref	0.99		../w/bila.html
brahmapura	brahmapura	NOUN	2	2	Hitopadeśa, Hitop, 2, 90.3; Hitopadeśa, Hitop, 4, 68.9	brahmapura	xref	0.99		../w/brahmapura.html
bravīti	brū	VERB	2	2	Hitopadeśa, Hitop, 2, 49.3; Hitopadeśa, Hitop, 4, 56.3	brU	exact	0.95		../w/br_55.html
brāhmaṇebhyaḥ	brāhmaṇa	NOUN	2	2	Hitopadeśa, Hitop, 3, 29.2; Hitopadeśa, Hitop, 3, 102.18	brAhmaRa	exact	0.95	1|2a|2b|3a|3b|3c|3d|3e|3f|4a|4b|4c|4e	../w/br_41hma_52a.html
brūta	brū	VERB	2	2	Hitopadeśa, Hitop, 2, 107.4; Hitopadeśa, Hitop, 3, 66.10	brU	exact	0.95		../w/br_55.html
brūtaḥ	brū	VERB	2	2	Hitopadeśa, Hitop, 4, 11.9; Hitopadeśa, Hitop, 4, 11.12	brU	exact	0.95		../w/br_55.html
bubhukṣitaḥ	bubhukṣ	VERB	2	2	Hitopadeśa, Hitop, 4, 61.18; Hitopadeśa, Hitop, 4, 62.2		none			
buddhyā	buddhi	NOUN	2	2	Hitopadeśa, Hitop, 1, 129.3; Hitopadeśa, Hitop, 3, 10.6	budDi	xref	0.99		../w/bud_44i.html
buddhyāḥ	buddhi	NOUN	2	2	Hitopadeśa, Hitop, 2, 67.3; Hitopadeśa, Hitop, 2, 80.19	budDi	xref	0.99		../w/bud_44i.html
budhaiḥ	budha	NOUN	2	2	Hitopadeśa, Hitop, 2, 35.12; Hitopadeśa, Hitop, 2, 77.3	buDa	xref	0.99		../w/bu_44a.html
bādhate	bādh	VERB	2	2	Hitopadeśa, Hitop, 2, 9.7; Hitopadeśa, Hitop, 2, 81.1	bAD	xref	0.99		../w/b_41_44.html
bālaka	bālaka	NOUN	2	2	Hitopadeśa, Hitop, 4, 103.2; Hitopadeśa, Hitop, 4, 103.4	bAlaka	exact	0.95		../w/b_41laka.html
bālakaḥ	bālaka	NOUN	2	2	Hitopadeśa, Hitop, 4, 103.6; Hitopadeśa, Hitop, 4, 103.7	bAlaka	exact	0.95		../w/b_41laka.html
bāndhavān	bāndhava	NOUN	2	2	Hitopadeśa, Hitop, 1, 73.16; Hitopadeśa, Hitop, 4, 113.2	bAnDava	xref	0.99		../w/b_41n_44ava.html
cakravartinaḥ	cakravartin	NOUN	2	2	Hitopadeśa, Hitop, 2, 111.16; Hitopadeśa, Hitop, 3, 4.12	cakravartin	xref	0.99		../w/cakravartin.html
candana	candana	NOUN	2	2	Hitopadeśa, Hitop, 2, 162.2; Hitopadeśa, Hitop, 2, 163.2	candana	exact	0.95		../w/candana.html
capalam	capala	ADJ	2	2	Hitopadeśa, Hitop, 1, 148.2; Hitopadeśa, Hitop, 4, 137.1	capala	exact	0.95	1|2a|2b|2c|2d|2e|2f|2g|3a|3b|3c|3d|3e|3f|3g|3h|4	../w/capala.html
caraiḥ	cara	ADJ	2	2	Hitopadeśa, Hitop, 3, 2.4; Hitopadeśa, Hitop, 3, 37.5	cara	xref	0.99	1a|1b|2a|2b|2c|2d|2e|2f|3|4|5	../w/cara.html
carati	car	VERB	2	2	Hitopadeśa, Hitop, 3, 13.2; Hitopadeśa, Hitop, 3, 38.1	car	exact	0.95	10|11|2f|3a|3b|4|5|6|7|8|9	../w/car.html
caret	car	VERB	2	2	Hitopadeśa, Hitop, 2, 98.2; Hitopadeśa, Hitop, 4, 92.2	car	exact	0.95	10|11|2f|3a|3b|4|5|6|7|8|9	../w/car.html
