dcs_id	dcs_lemma_iast	slp1	normkey	in_cdsl	token_count	grammar
206434	anyavidha	anyaviDa	anyaviDa	1	4	adj
206514	kandukayantra	kandukayantra	kandukayantra	0	4	n
206517	saṃsruti	saMsruti	saMsruti	0	4	f
206679	rājīmant	rAjImant	rAjImat	1	4	m
206693	daṣṭaka	dazwaka	dazwaka	1	4	n
206726	akhinna	aKinna	aKinna	1	4	adj
206738	snehavidhi	snehaviDi	snehaviDi	0	4	m
206742	candanādya	candanAdya	candanAdya	1	4	n
206772	varṇapuṭa	varRapuwa	varRapuwa	0	4	mn
206793	dharādhīśa	DarADISa	DarADISa	0	4	m
206886	pracchada	pracCada	pracCada	0	4	m
206896	śvetapāṣāṇa	SvetapAzARa	SvetapAzARa	0	4	m
206928	mukhībhū	muKIBU	muKIBU	1	4	1.P.,1.Ā.
206940	kṛśībhū	kfSIBU	kfSIBU	1	4	1.P.,1.Ā.
206959	ayonija	ayonija	ayonija	1	4	n
207002	nastaḥkarman	nastaHkarman	nastaHkarman	1	4	n
207004	pañcapañcāśattama	paYcapaYcASattama	paYcapaYcASattama	0	4	adj
207007	ānandeśvara	AnandeSvara	AnandeSvara	0	4	n
207047	gopāreśvara	gopAreSvara	gopAreSvara	0	4	n
207122	apṛcchat	apfcCat	apfcCat	0	4	adj
207131	avisaṃvādana	avisaMvAdana	avisaMvAdana	1	4	n
207210	kahloḍītīrtha	kahloqItIrTa	kahloqItIrTa	0	4	n
207214	brahmajyotis	brahmajyotis	brahmajyotis	1	4	m
207250	pariṇamay	pariRamay	pariRamay	0	4	10.P.
207283	yathālābhena	yaTAlABena	yaTAlABena	0	4	ind
207404	sāmudralavaṇa	sAmudralavaRa	sAmudralavaRa	0	4	n
207421	drāvin	drAvin	drAvin	1	4	m
207490	kajjalībandha	kajjalIbanDa	kajjalIbanDa	0	4	m
207495	agnibaddha	agnibadDa	agnibadDa	1	4	adj
207511	mūrtibaddha	mUrtibadDa	mUrtibadDa	0	4	adj
207602	vākyadoṣa	vAkyadoza	vAkyadoza	0	4	m
207708	yathāprāptam	yaTAprAptam	yaTAprAptam	1	4	ind
207728	anuvibhaj	anuviBaj	anuviBaj	1	4	1.P.,1.Ā.
207825	ātmajanman	Atmajanman	Atmajanman	1	4	m
207826	bhasmin	Basmin	Basmin	0	4	adj
207829	dvipañcāśattama	dvipaYcASattama	dvipaYcASattama	1	4	adj
207836	brahmeśa	brahmeSa	brahmeSa	0	4	mn
207839	ekonapañcāśattama	ekonapaYcASattama	ekonapaYcASattama	0	4	adj
207844	abhyavapāta	aByavapAta	aByavapAta	1	4	m
207858	avinaśyat	avinaSyat	avinaSyat	1	4	adj
207906	aiṣika	Ezika	Ezika	1	4	adj
207922	bhūtīśvara	BUtISvara	BUtISvara	0	4	n
207934	yamahāsya	yamahAsya	yamahAsya	0	4	n
207945	manmatheśvara	manmaTeSvara	manmaTeSvara	0	4	mn
207962	ekapañcāśattama	ekapaYcASattama	ekapaYcASattama	1	4	adj
207964	tripañcāśattama	tripaYcASattama	tripaYcASattama	1	4	adj
208007	nandāhrada	nandAhrada	nandAhrada	0	4	mn
208050	alikā	alikA	alikA	0	4	f
208075	luṅkeśvara	luNkeSvara	luNkeSvara	0	4	n
208093	kāmapramodinī	kAmapramodinI	kAmapramodinI	0	4	f
208229	saṃprīṇay	saMprIRay	samprIRay	0	4	10.P.,10.Ā.
208231	āntika	Antika	Antika	0	4	adj
208342	sarvabhūta	sarvaBUta	sarvaBUta	1	4	m
208350	hotrin	hotrin	hotrin	1	4	adj
208466	guhodaka	guhodaka	guhodaka	0	4	n
208470	hṛṣṭatara	hfzwatara	hfzwatara	0	4	adj
208512	amākṣika	amAkzika	amAkzika	1	4	adj
208539	atipātakin	atipAtakin	atipAtakin	1	4	adj
208566	sitānta	sitAnta	sitAnta	0	4	m
208570	gajaśaila	gajaSEla	gajaSEla	1	4	m
208603	divāvṛt	divAvft	divAvft	0	4	m
208644	dambhana	damBana	damBana	1	4	n
208761	kadrudra	kadrudra	kadrudra	0	4	m
208819	prabhāga	praBAga	praBAga	1	4	m
208860	samidha	samiDa	samiDa	1	4	m
209007	vinītavat	vinItavat	vinItavat	0	4	adj
209109	kalahay	kalahay	kalahay	0	4	Denom. P.
209130	anāyati	anAyati	anAyati	1	4	f
209153	tāmrācala	tAmrAcala	tAmrAcala	0	4	m
209162	viṣu	vizu	vizu	1	4	m
209182	devakṛta	devakfta	devakfta	1	4	n
209183	ājyadoha	Ajyadoha	Ajyadoha	1	4	n
209189	saṃgītaka	saMgItaka	saNgItaka	1	4	n
209211	avisaṃvādaka	avisaMvAdaka	avisaMvAdaka	1	4	adj
209219	arudra	arudra	arudra	0	4	adj
209229	śivahasta	Sivahasta	Sivahasta	0	4	n
209462	anudiś	anudiS	anudiS	1	4	f
209474	prekṣaṇīyatara	prekzaRIyatara	prekzaRIyatara	1	4	adj
209538	pārameṣṭhika	pAramezWika	pAramezWika	0	4	m
209543	abhyudgati	aByudgati	aByudgati	1	4	f
209555	dīptāṃśu	dIptAMSu	dIptAMSu	1	4	m
209557	nirūpa	nirUpa	nirUpa	1	4	adj
209583	vinipātin	vinipAtin	vinipAtin	1	4	adj
209679	kapilimā	kapilimA	kapilimA	0	4	f
209719	aupakārika	OpakArika	OpakArika	1	4	adj
209739	muraripu	muraripu	muraripu	1	4	m
209748	kṛttivāseśvara	kfttivAseSvara	kfttivAseSvara	0	4	mn
209872	upaṣṭambhaka	upazwamBaka	upazwamBaka	1	4	adj
209901	itaretarābhāva	itaretarABAva	itaretarABAva	0	4	m
209903	asamavāya	asamavAya	asamavAya	0	4	m
209958	ananurūpa	ananurUpa	ananurUpa	1	4	adj
209980	anāmnāya	anAmnAya	anAmnAya	1	4	m
209981	avyaktay	avyaktay	avyaktay	0	4	Denom. P.
209984	ādhāray	ADAray	ADAray	0	4	10.P.,10.Ā.
209987	antideva	antideva	antideva	1	4	m
209989	agaurava	agOrava	agOrava	1	4	adj
209998	bhaikṣāka	BEkzAka	BEkzAka	1	4	adj
210012	praṇayavat	praRayavat	praRayavat	1	4	adj
210069	kuntalin	kuntalin	kuntalin	1	4	adj
210078	arhatas	arhatas	arhatas	0	4	ind
210108	anupadhā	anupaDA	anupaDA	1	4	f
210116	kaḍaṅgara	kaqaNgara	kaqaNgara	1	4	mn
210122	avaira	avEra	avEra	1	4	n
210123	tamaska	tamaska	tamaska	1	4	n
210138	ekapṛthaktva	ekapfTaktva	ekapfTaktva	1	4	n
210176	pratanūkṛ	pratanUkf	pratanUkf	1	4	8.P.,8.Ā.
210235	mamāy	mamAy	mamAy	1	4	Denom. P.
210240	viśiṣṭatama	viSizwatama	viSizwatama	1	4	adj
210267	abhimarśin	aBimarSin	aBimarSin	1	4	adj
210283	mānuṣaka	mAnuzaka	mAnuzaka	1	4	adj
210487	indraka	indraka	indraka	1	4	m
210552	siṃhakarṇa	siMhakarRa	siMhakarRa	1	4	m
210596	āścaryatara	AScaryatara	AScaryatara	0	4	adj
211001	śilpavat	Silpavat	Silpavat	1	4	adj
211031	niṭila	niwila	niwila	1	4	adj
211039	abhiśrāvay	aBiSrAvay	aBiSrAvay	0	4	10.P.,10.Ā.
211050	nyāsīkṛ	nyAsIkf	nyAsIkf	1	4	8.P.
211054	avisṛṣṭa	avisfzwa	avisfzwa	1	4	adj
211077	aupāyanika	OpAyanika	OpAyanika	1	4	adj
211180	dāpaka	dApaka	dApaka	1	4	adj
211437	vaidharaṇa	vEDaraRa	vEDaraRa	1	4	n
211525	atikālay	atikAlay	atikAlay	0	4	10.P.,10.Ā.
211541	surohaka	surohaka	surohaka	0	4	m
211563	aniṣṭhita	anizWita	anizWita	1	4	adj
211570	nīcakaiḥ	nIcakEH	nIcakEH	1	4	ind
211602	nirāśaṅka	nirASaNka	nirASaNka	1	4	adj
211606	siṃhaśatru	siMhaSatru	siMhaSatru	0	4	m
211608	atrasta	atrasta	atrasta	1	4	adj
211609	parivāraka	parivAraka	parivAraka	1	4	m
211617	kusumālikā	kusumAlikA	kusumAlikA	0	4	f
211623	acetasya	acetasya	acetasya	1	4	adj
211637	mudrikālatikā	mudrikAlatikA	mudrikAlatikA	0	4	f
211638	saṃdhṛ	saMDf	sanDf	1	4	1.P.,1.Ā.
211778	ajinavatī	ajinavatI	ajinavatI	1	4	f
211812	ucchāstra	ucCAstra	ucCAstra	0	4	adj
211822	tamobhedaka	tamoBedaka	tamoBedaka	0	4	m
211861	tāratara	tAratara	tAratara	0	4	adj
211865	parivāhay	parivAhay	parivAhay	0	4	10.P.
211874	taralay	taralay	taralay	1	4	Denom. P.
211877	pratibhāvat	pratiBAvat	pratiBAvat	1	4	adj
211923	udvṛ	udvf	udvf	1	4	5.Ā.,5.P.
211951	viśi	viSi	viSi	0	4	f
211954	taralatara	taralatara	taralatara	0	4	adj
211985	āsidh	AsiD	AsiD	1	4	1.P.,1.Ā.
211999	tripuruṣa	tripuruza	tripuruza	1	4	adj
212009	anāyasa	anAyasa	anAyasa	1	4	adj
212014	yajñopavītavat	yajYopavItavat	yajYopavItavat	1	4	adj
212154	parihāray	parihAray	parihAray	0	4	10.P.
212249	yojin	yojin	yojin	0	4	adj
212300	śiṣṭi	Sizwi	Sizwi	1	4	m
212320	rūpatara	rUpatara	rUpatara	0	4	adj
212330	viprayā	viprayA	viprayA	1	4	2.P.
212338	agaṇeya	agaReya	agaReya	1	4	adj
212349	invakā	invakA	invakA	0	4	f
212388	parilelih	parilelih	parilelih	0	4	Int.P.
212391	rirakṣ	rirakz	rirakz	0	4	Desid. P.
212402	abhyalaṃkṛ	aByalaMkf	aByalaNkf	1	4	8.P.
212425	pārameṣṭhya	pAramezWya	pAramezWya	1	4	adj
212439	samīka	samIka	samIka	1	4	m
212466	yathāsattvam	yaTAsattvam	yaTAsattvam	0	4	ind
212506	bhikṣada	Bikzada	Bikzada	0	4	adj
212746	durvāraṇa	durvAraRa	durvAraRa	1	4	adj
