num	saying_id	difficulty	vocab	fusion	n_chunks	n_tokens	n_unanalyzable	pct_w1b	syllables	metre	metre_method	iast_head
6417	Saying 6417	0.439	0.6981	0.1429	6	7	3	0.571	32	anuṣṭubh	syllable-heuristic	śaratkālasamullāsipūrṇimāśarbarīpruyam
6418	Saying 6418	0.458	0.7128	0.1667	10	12	5	0.5	32	anuṣṭubh	syllable-heuristic	śaratpadmotsavaṃ vakktraṃ vacaśca śravaṇāmṛtam
6419	Saying 6419	0.4721	0.7758	0.125	7	8	2	0.333	32	anuṣṭubh	syllable-heuristic	śaradambbudharascchāyāgatvarā yauvanaśriyaḥ
6420	Saying 6420	0.4933	0.761	0.1875	13	16	4	0.583	32	anuṣṭubh	syllable-heuristic	śarīraṃ ślathyate nāśā rūpaṃ yāti na pāpadhīḥ
6421	Saying 6421	0.5403	0.7006	0.3571	9	14	2	0.778	32	anuṣṭubh	syllable-heuristic	śarīrakarṣaṇātprāṇāḥ kṣīyante prāṇināṃ yathā
6422	Saying 6422	0.5407	0.631	0.4375	9	16	2	0.625	32	anuṣṭubh	syllable-heuristic	śarīrakṛtprāṇadātā yasya cānnāni bhuñjate
6423	Saying 6423	0.4923	0.6897	0.2667	22	30	5	0.538	68		unresolved	śarīraṃ kṣāmaṃ syādasati dayitāliṅganasukhe
6424	Saying 6424	0.5691	0.7755	0.3333	8	12	4	0.444	32	anuṣṭubh	syllable-heuristic	śarīraṃ dharmasaṃyuktaṃ rakṣaṇīyaṃ prayatnataḥ
6425	Saying 6425	0.4397	0.567	0.2941	12	17	1	0.833	32	anuṣṭubh	syllable-heuristic	śarīrametau kurutaḥ pitā mātā ca bhārata
6426	Saying 6426	0.507	0.6933	0.2941	12	17	2	0.583	44		unresolved	śarīramevāyatanaṃ sukhasya duḥkhasya cāpyāyatanaṃ śarīram
6427	Saying 6427	0.5191	0.6368	0.3846	8	13	2	0.727	32	anuṣṭubh	syllable-heuristic	śarīrasya guṇānāṃ ca dūramatyantamantaram
6428	Saying 6428	0.5931	0.737	0.4286	8	14	3	0.667	32	upagīti	vidyut-chandas	śarvarīdīpakaścandraḥ prabhāte dīpako raviḥ
6429	Saying 6429	0.5949	0.6488	0.5333	7	15	1	0.5	30		unresolved	śalākākṣipraviṣṭā tu saṃnikarṣānna dṛśyate
6430	Saying 6430	0.3777	0.7081	0.0	19	19	1	0.812	47	āryāgīti	vidyut-chandas	śaśinā ca niśā niyā ca śaśī
6431	Saying 6431	0.4669	0.7589	0.1333	13	15	2	0.6	42	vaitālīyam	vidyut-chandas	śaśinā saha yāti kaumudī saha meghena taḍitpralīyate
6432	Saying 6432	0.4955	0.8261	0.1176	15	17	7	0.4	60	malinī	vidyut-chandas	śaśini khalu kalaṅkaḥ kaṇṭakaṃ padmanāle
6433	Saying 6433	0.5085	0.7516	0.2308	10	13	4	0.583	32	anuṣṭubh	syllable-heuristic	śaśinīva himārtānāṃ gharmārtānīṃ ravāviva
6434	Saying 6434	0.5705	0.7668	0.3462	17	26	6	0.421	68	pṛthvī	vidyut-chandas	śaśī divasadhūsaro galitayauvanā kāminī
6435	Saying 6435	0.5339	0.7275	0.3125	11	16	1	0.556	32	anuṣṭubh	syllable-heuristic	śaśvatkāmā ca kulaṭā na ca tṛptiśca krīḍayā
6436	Saying 6436	0.492	0.8429	0.0909	10	11	5	0.4	33		unresolved	śastraprahāraṃ dadajā bhujena tava bhūbhujām
6437	Saying 6437	0.4219	0.5892	0.2308	20	26	5	0.773	56	vasantatilakā	vidyut-chandas	śastrairhatā nahi hatā ripavo bhavanti
6438	Saying 6438	0.4932	0.6332	0.3333	10	15	3	0.636	32	anuṣṭubh	syllable-heuristic	śāntikhaṅgaḥ kare yasya kiṃ kariṣyati durjanaḥ
6439	Saying 6439	0.5043	0.6693	0.3158	13	19	2	0.556	32	upagīti	vidyut-chandas	śāntitulyaṃ tapo nāsti na santoṣātparaṃ sukham
6440	Saying 6440	0.5887	0.76	0.3929	17	28	6	0.579	76	śārdulavikrīḍita	vidyut-chandas	śānte 'nantamahimni nirmalacidānande taraṅgāvalī-
6441	Saying 6441	0.5403	0.7215	0.3333	10	15	3	0.5	32	anuṣṭubh	syllable-heuristic	śāntyarthaṃ sarvaśāstrāṇi vihitāni manīṣibhiḥ
6442	Saying 6442	0.5459	0.6632	0.4118	10	17	2	0.846	32	udgīti	vidyut-chandas	śāsanādvā vimokṣadvā stenaḥ steyādvimucyate
6443	Saying 6443	0.502	0.7511	0.2174	18	23	3	0.533	56	vasantatilakā	vidyut-chandas	śāstraṃ sucintitamapi praticintanīyaṃ
6444	Saying 6444	0.6342	0.66	0.6047	17	43	2	0.742	76		unresolved	śāstrajñāḥ sutapasvino bahujanasyādhāratāmāgatāḥ
6445	Saying 6445	0.4775	0.8468	0.0556	17	18	10	0.25	68	mandākrāntā	vidyut-chandas	śāstrajño 'pi prathitavinayo 'pyātmabodho 'pi bāḍhaṃ
6446	Saying 6446	0.4504	0.782	0.0714	13	14	3	0.571	32	anuṣṭubh	syllable-heuristic	śāstraṃ na śāsti durbuddhiṃ śreyase cetarāya ca
6447	Saying 6447	0.485	0.7074	0.2308	10	13	2	0.636	32	anuṣṭubh	syllable-heuristic	śāstraṃ bodhāya dānāya dhanaṃ dharmāya jīvitam
6448	Saying 6448	0.5434	0.8598	0.1818	9	11	5	0.4	32	anuṣṭubh	syllable-heuristic	śāstravādānatikramya yo hi kāryaṃ mahāpadi
6449	Saying 6449	0.4841	0.5577	0.4	12	20	2	0.692	44		unresolved	śastrāṇyadhītyāpi bhavanti mūrkhā yastu kriyāvānpuruṣaḥ sa v
6450	Saying 6450	0.567	0.9537	0.125	7	8	5	0.167	32	upagīti	vidyut-chandas	śāstrārthacakṣuṣā vidvānnarendrā nīticakṣuṣā
6451	Saying 6451	0.4563	0.7305	0.1429	12	14	2	0.5	44		unresolved	śāstreṣu niṣṭhā sahajaśca bodhaḥ prāgalbhyamabhyastaguṇā ca 
6452	Saying 6452	0.5022	0.6915	0.2857	20	28	7	0.609	75		unresolved	śāstrepaskṛtaśabdasuragiraḥ śiṣyapradeyāgamā
6453	Saying 6453	0.4633	0.7592	0.125	7	8	3	0.5	32	upagīti	vidyut-chandas	śikṣayatyanyapuruṣāsaṅgamīrṣyaiva hi striyaḥ
6454	Saying 6454	0.4787	0.7808	0.1333	13	15	5	0.583	32	anuṣṭubh	syllable-heuristic	śikṣābhyasau yadi syātāṃ medhayā kiṃ prayojanam
6455	Saying 6455	0.5319	0.7056	0.3333	12	18	3	0.583	48	drutavilambita	vidyut-chandas	śikhariṇi kva nu nāma kiyacciraṃ
6456	Saying 6456	0.5166	0.8305	0.1579	16	19	8	0.353	68	śikhariṇī	vidyut-chandas	śiraḥ śarvaṃ svargātpaśupatiśirastaḥ kṣitidharaṃ
6457	Saying 6457	0.4974	0.6753	0.2941	12	17	2	0.727	32	anuṣṭubh	syllable-heuristic	śirasā dhāryamāṇo 'pi somaḥ saumyena śaṃbhunā
6458	Saying 6458	0.4561	0.7879	0.0769	12	13	4	0.455	32	anuṣṭubh	syllable-heuristic	śirasā vidhṛtā nityaṃ snehena paripālitāḥ
6459	Saying 6459	0.4753	0.7819	0.125	7	8	2	0.429	32	anuṣṭubh	syllable-heuristic	śirīṣa iva saṃsāre sukhocchedye manīṣiṇām
6460	Saying 6460	0.5249	0.8092	0.2	8	10	5	0.4	32	anuṣṭubh	syllable-heuristic	śilāstho gandhalepaśca mārjārocchiṣṭabhojanam
6461	Saying 6461	0.5409	0.8198	0.2222	7	9	5	0.333	32	upagīti	vidyut-chandas	śilpaṃ śīlamanālasyaṃ pāṇḍityaṃ mitrasaṅgrahaḥ
6462	Saying 6462	0.563	0.8806	0.2	4	5	3	0.2	31		unresolved	śivasmaraṇamevaikaṃ saṃsārāntakanāśanam
6463	Saying 6463	0.5287	0.7288	0.3	7	10	4	0.5	32	upagīti	vidyut-chandas	śiṣṭairapyaviśeṣajña ugraśca kṛtanāśakaḥ
6464	Saying 6464	0.6056	0.7606	0.4286	8	14	5	0.5	32	anuṣṭubh	syllable-heuristic	śiṣyāṇāṃ deatācāryo jñānamācāryadevatā
6465	Saying 6465	0.4494	0.6968	0.1667	10	12	2	0.667	32	anuṣṭubh	syllable-heuristic	śighrakatye samatpanne vilambayati yo naraḥ
6466	Saying 6466	0.4685	0.616	0.3	14	20	3	0.769	32	upagīti	vidyut-chandas	śītabhītāśca ye viprā raṇabhītāśca kṣatriyāḥ
6467	Saying 6467	0.6427	0.6363	0.65	7	20	0	0.812	32	upagīti	vidyut-chandas	śītavātātapakleśānsahante yānparāśritāḥ
6468	Saying 6468	0.5918	0.8052	0.3478	15	23	6	0.312	76	śārdulavikrīḍita	vidyut-chandas	śītāṃśurmukhamutpale tava dṛśau padmānukārau karau
6469	Saying 6469	0.4791	0.5379	0.4118	10	17	0	0.917	32	anuṣṭubh	syllable-heuristic	śītātapādikaṣṭāni sahate yāni sevakaḥ
6470	Saying 6470	0.5233	0.712	0.3077	9	13	2	0.6	32	anuṣṭubh	syllable-heuristic	śītatapau śarīrasya lobhamohau tu cetasaḥ
6471	Saying 6471	0.5443	0.6997	0.3667	19	30	3	0.652	68	mandākrāntā	vidyut-chandas	śīte 'tīte vasanamaśanaṃ vāsarānte niśānte
6472	Saying 6472	0.5442	0.8016	0.25	12	16	4	0.462	37	udgīti	vidyut-chandas	śūtkāraṃ śikṣayati vraṇayatyadharaṃ tanoti romāñcam
6473	Saying 6473	0.5113	0.6962	0.3	7	10	1	0.714	32	anuṣṭubh	syllable-heuristic	śīrṣopetānsusaṃpūrṇānsamaśreṇigatānsamān
6474	Saying 6474	0.4485	0.7158	0.1429	12	14	4	0.6	35	āryā	vidyut-chandas	śīlaṃ śaucaṃ kṣāntirdākṣiṇyaṃ madhuratā kule janma
6475	Saying 6475	0.5241	0.8445	0.1579	16	19	8	0.267	44		unresolved	śīlaṃ pradhānaṃ na kulaṃ pradhānaṃ kulena kiṃ śīlavivarjiten
6476	Saying 6476	0.4617	0.7406	0.1429	12	14	3	0.625	32	anuṣṭubh	syllable-heuristic	śīlaṃ praghānaṃ puruṣe tadyasyeha praṇaśyati
6477	Saying 6477	0.525	0.7899	0.2222	7	9	3	0.429	32	anuṣṭubh	syllable-heuristic	śīlavṛttadharo dhīraḥ sarvaratnaparīkṣakaḥ
6478	Saying 6478	0.488	0.7983	0.1333	13	15	3	0.4	32	anuṣṭubh	syllable-heuristic	śuklaḥ śvetārciṣo vṛddhyai pakṣaḥ pañcaśarasya saḥ
