num	saying_id	difficulty	vocab	fusion	n_chunks	n_tokens	n_unanalyzable	pct_w1b	syllables	metre	metre_method	iast_head
1	Saying 1	0.5082	0.8654	0.1	9	10	5	0.25	32	anuṣṭubh	syllable-heuristic	aṃśo 'pi duṣṭadiṣṭānāṃ pareṣāṃ syādvināśakṛt
2	Saying 2	0.5628	0.7637	0.3333	16	24	5	0.579	48		unresolved	akaṇṭhasya kaṇṭhe kathaṃ puṣpamālā vinā nāsikāyāḥ kathaṃ dhū
3	Saying 3	0.4875	0.914	0.0	9	9	3	0.286	48	drutavilambita	vidyut-chandas	akaruṇatvamakāraṇavigrahaḥ paradhane parayoṣiti ca spṛhā
4	Saying 4	0.5182	0.7657	0.2353	13	17	2	0.375	32	anuṣṭubh	syllable-heuristic	akarmaṇāṃ vai bhūtānāṃ vṛttiḥ syānnahi kā ca na
5	Saying 5	0.5059	0.8691	0.0909	10	11	5	0.375	44		unresolved	akarmaśīlaṃ ca mahāśanaṃ ca lokadviṣṭaṃ bahumāyaṃ nṛśaṃsam
6	Saying 6	0.6063	0.7722	0.4167	7	12	2	0.625	32	anuṣṭubh	syllable-heuristic	akasmātprakriyā nṝṇāmakasmāccāpakarṣaṇam
7	Saying 7	0.5912	0.8023	0.35	13	20	3	0.5	32	anuṣṭubh	syllable-heuristic	akasmādiha yaḥ kaścidarthaṃ prāpnoti pūruṣaḥ
8	Saying 8	0.5467	0.8063	0.25	6	8	2	0.5	32	anuṣṭubh	syllable-heuristic	akasmādeva kupyanti prasīdantyanimittataḥ
9	Saying 9	0.5804	0.819	0.3077	9	13	4	0.4	32	anuṣṭubh	syllable-heuristic	akasmādeva tanvaṅgī jahāsa yadiyaṃ punaḥ
10	Saying 10	0.5183	0.6801	0.3333	8	12	2	0.625	32	upagīti	vidyut-chandas	akasmādeva yaḥ kopādabhīkṣṇaṃ bahu bhāṣate
11	Saying 11	0.5032	0.7247	0.25	9	12	2	0.75	32	anuṣṭubh	syllable-heuristic	akasmāddveṣṭi yo bhaktamājanmaparisevitam
12	Saying 12	0.6461	0.7253	0.5556	8	18	2	0.667	32	upagīti	vidyut-chandas	akāṇḍakopino bharturanyāsakteśca yoṣitaḥ
13	Saying 13	0.6436	0.915	0.3333	4	6	2	0.25	32	anuṣṭubh	syllable-heuristic	akāṇḍapātajātānāmārdrāṇāṃ marmabhedinām
14	Saying 14	0.5253	0.7157	0.3077	9	13	3	0.625	32	anuṣṭubh	syllable-heuristic	akāmasya kriyā kāciddṛśyate neha karhicit
15	Saying 15	0.6069	0.7004	0.5	7	14	2	0.545	32	anuṣṭubh	syllable-heuristic	akāmāṃ kāmayānasya śarīramupatapyate
16	Saying 16	0.5651	0.7679	0.3333	8	12	3	0.6	32	anuṣṭubh	syllable-heuristic	akāmānkāmayati yaḥ kāmayānānparityajet
17	Saying 17	0.5895	0.697	0.4667	8	15	1	0.6	31		unresolved	akāryakaraṇādbhītaḥ kāryāṇāṃ vivarjanāt
18	Saying 18	0.5385	0.7997	0.24	19	25	9	0.389	68	śikhariṇī	vidyut-chandas	akāryaṃ tathyaṃ vā bhavati vitathaṃ vā kimaparaṃ pratīte lok
19	Saying 19	0.5394	0.6285	0.4375	9	16	1	0.7	32	upagīti	vidyut-chandas	akāryamasakṛtkṛtvā dṛśyante hyadhamā narāḥ
20	Saying 20	0.4978	0.7	0.2667	11	15	1	0.667	32	anuṣṭubh	syllable-heuristic	akāryāṇyapi paryāpya kṛtvāpi vṛjinārjanam
21	Saying 21	0.509	0.6362	0.3636	14	22	2	0.667	44		unresolved	akālacaryā viṣamā ca goṣṭhī kumitrasevā na kadāpi kāryā
22	Saying 22	0.4175	0.7829	0.0	7	7	2	0.5	32	anuṣṭubh	syllable-heuristic	akālayuktasainyastu hanyate kālayodhinā
23	Saying 23	0.5991	0.8316	0.3333	6	9	3	0.286	32	anuṣṭubh	syllable-heuristic	akālasahamatyalpaṃ mūrkhavyasanināyakam
24	Saying 24	0.5504	0.8862	0.1667	10	12	3	0.2	32	anuṣṭubh	syllable-heuristic	akāle kṛtyamārabdhaṃ karturnārthāya kalpate
25	Saying 25	0.5979	0.7461	0.4286	8	14	1	0.5	32	anuṣṭubh	syllable-heuristic	akiñcanaḥ paripatansukhamāsvādayiṣyasi
26	Saying 26	0.532	0.6849	0.3571	9	14	0	0.625	32	anuṣṭubh	syllable-heuristic	akiñcanasya dāntasya śāntasya samacetasaḥ
27	Saying 27	0.5645	0.6938	0.4167	7	12	1	0.6	32	anuṣṭubh	syllable-heuristic	akiñcanasya śuddhasya upapannasya sarvataḥ
28	Saying 28	0.4784	0.6951	0.2308	10	13	4	0.538	32	anuṣṭubh	syllable-heuristic	akīrtiṃ vinayo hanti hantyanarthaṃ parākramaḥ
29	Saying 29	0.5547	0.8213	0.25	9	12	3	0.5	32	udgīti	vidyut-chandas	akīrtirnindyate devaiḥ kīrtirlokeṣu pūjyate
30	Saying 30	0.6277	0.7394	0.5	7	14	1	0.583	32	anuṣṭubh	syllable-heuristic	akīrtiryasya gīyeta loke bhūtasya kasyacit
31	Saying 31	0.5569	0.8498	0.2222	7	9	4	0.5	32	udgīti	vidyut-chandas	akīrteḥ kāraṇaṃ yoṣidyoṣidvairasya kāraṇam
32	Saying 32	0.5029	0.7241	0.25	9	12	2	0.556	32	anuṣṭubh	syllable-heuristic	akurvanto 'pi pāpāni śucayaḥ pāpasaṃśrayāt
33	Saying 33	0.4516	0.8468	0.0	10	10	5	0.222	32	anuṣṭubh	syllable-heuristic	akulānāṃ kule bhāvaṃ kulīnānāṃ kulakṣayam
34	Saying 34	0.5427	0.8231	0.2222	14	18	4	0.444	32	anuṣṭubh	syllable-heuristic	akulīno 'pi mūrkho 'pi bhūpālaṃ yo 'tra sevate
35	Saying 35	0.5602	0.7322	0.3636	7	11	2	0.5	32	anuṣṭubh	syllable-heuristic	akṛtajñamakāryajñaṃ dīrgharoṣamanārjavam
36	Saying 36	0.4988	0.9352	0.0	10	10	6	0.125	36	āryā	vidyut-chandas	akṛtatyāgamahimnāṃ mithyā kiṃ rājarājaśabdena
37	Saying 37	0.5499	0.7925	0.2727	8	11	2	0.625	32	anuṣṭubh	syllable-heuristic	akṛte 'pyudyame puṃsāmanyajanmakṛtaṃ phalam
38	Saying 38	0.5209	0.5939	0.4375	9	16	1	0.727	32	anuṣṭubh	syllable-heuristic	akṛteṣveva kāryeṣu mṛtyurvai saṃprakarṣati
39	Saying 39	0.5284	0.7721	0.25	9	12	3	0.444	32	anuṣṭubh	syllable-heuristic	akṛtopadravaḥ kaścinmahānapi na pūjyate
40	Saying 40	0.5501	0.7884	0.2778	13	18	4	0.545	32	anuṣṭubh	syllable-heuristic	akṛtyaṃ naiva kartavyaṃ prāṇatyāge 'pi saṃsthite
41	Saying 41	0.4051	0.7596	0.0	10	10	5	0.5	32	anuṣṭubh	syllable-heuristic	akṛtyaṃ manyate kṛtyamagamyaṃ manyate sugam
42	Saying 42	0.4294	0.7469	0.0667	14	15	4	0.5	32	anuṣṭubh	syllable-heuristic	akṛtvā karma yo loke phalaṃ vindati dhiṣṭhitaḥ
43	Saying 43	0.4971	0.8526	0.0909	10	11	4	0.444	32	anuṣṭubh	syllable-heuristic	akṛtvā nijadeśasya rakṣāṃ yo vijigīṣate
44	Saying 44	0.5824	0.7555	0.3846	8	13	3	0.667	32	anuṣṭubh	syllable-heuristic	akṛtvā parasantāpamagatvā khalanamratām
45	Saying 45	0.4918	0.7472	0.2	12	15	4	0.583	32	anuṣṭubh	syllable-heuristic	akṛtvā pauruṣaṃ yā śrīḥ kiṃ tayāpi subhogyayā
46	Saying 46	0.6244	0.7563	0.4737	10	19	2	0.636	32	anuṣṭubh	syllable-heuristic	akṛtvā mānuṣaṃ karma yo daivamanuvartate
47	Saying 47	0.4575	0.6192	0.2727	8	11	2	0.571	32	anuṣṭubh	syllable-heuristic	akṛṣṭaphalamūlena vanavāsarataḥ sadā
48	Saying 48	0.5829	0.7429	0.4	9	15	3	0.545	46		unresolved	akrodhanaḥ krodhanebhyo viśiṣṭastathā titikṣuratitikṣorviśiṣ
49	Saying 49	0.4942	0.6349	0.3333	8	12	2	0.8	32	anuṣṭubh	syllable-heuristic	akrodhena jayetkruddhamasādhuṃ sādhunā jayet
50	Saying 50	0.5512	0.6969	0.3846	8	13	1	0.5	37	āryā	vidyut-chandas	akleśādiva cintitamupatiṣṭhati siddhameva puṇyavatām
51	Saying 51	0.4565	0.7213	0.1538	11	13	2	0.778	32	anuṣṭubh	syllable-heuristic	akṣamaḥ kṣamatāmānī kriyāyāṃ yaḥ pravartate
52	Saying 52	0.5403	0.7215	0.3333	8	12	2	0.556	36	gīti	vidyut-chandas	akṣamālāpavṛttijñā kuśāsanaparigrahā
53	Saying 53	0.626	0.6487	0.6	8	20	2	0.75	32	udgīti	vidyut-chandas	akṣamā hrīparityāgaḥ śrīnāśo dharmasaṅkṣayaḥ
54	Saying 54	0.5073	0.6819	0.3077	9	13	0	0.6	32	anuṣṭubh	syllable-heuristic	akṣamī 'satyasandhaśca paradārī nṛśaṃsakṛt
55	Saying 55	0.5177	0.7081	0.3	7	10	2	0.714	32	anuṣṭubh	syllable-heuristic	akṣīṇabhogādviṣamāddhṛṣṭātāto 'bhayorjitāt
56	Saying 56	0.5024	0.8447	0.1111	8	9	5	0.25	32	anuṣṭubh	syllable-heuristic	akṣetre bījamutsṛṣṭamantaraiva vinaśyati
57	Saying 57	0.494	0.8387	0.1	9	10	3	0.375	32	anuṣṭubh	syllable-heuristic	akhileṣu vihaṅgeṣu hanta svacchandacāriṣu
58	Saying 58	0.5817	0.7541	0.3846	8	13	2	0.571	32	anuṣṭubh	syllable-heuristic	agamyānyaḥ pumānyāti asevyāṃśca niṣevate
59	Saying 59	0.5864	0.8608	0.2727	8	11	3	0.286	32	anuṣṭubh	syllable-heuristic	agādhajalasañcārī na garvaṃ yāti rohitaḥ
60	Saying 60	0.5372	0.5698	0.5	10	20	2	0.769	40	āryā	vidyut-chandas	agururiti vadatu loko gauravamatraiva punarahaṃ manye
61	Saying 61	0.5374	0.7577	0.2857	10	14	2	0.667	32	anuṣṭubh	syllable-heuristic	agniṃ stokamivātmānaṃ sandhukṣayati yo naraḥ
62	Saying 62	0.5324	0.7482	0.2857	10	14	2	0.556	32	anuṣṭubh	syllable-heuristic	agnikuṇḍasamā nārī ghṛtakumbhasamo naraḥ
63	Saying 63	0.5399	0.9247	0.1	9	10	5	0.143	32	upagīti	vidyut-chandas	agniṃ prāpya yathā sadyastūlarāśirvinaśyati
64	Saying 64	0.4377	0.8207	0.0	11	11	3	0.444	32	anuṣṭubh	syllable-heuristic	agnirāpaḥ striyo mūrkhāḥ sarpā rājakulāni ca
65	Saying 65	0.5258	0.8109	0.2	8	10	5	0.375	32	udgīti	vidyut-chandas	agnirgururdvijātīnāṃ varṇānāṃ pārthivo guruḥ
66	Saying 66	0.5337	0.8417	0.1818	9	11	4	0.333	32	anuṣṭubh	syllable-heuristic	agnirdevo dvijātīnāṃ munīnāṃ hṛdi daivatam
70	Saying 70	0.5386	0.9006	0.125	7	8	4	0.125	32	upagīti	vidyut-chandas	agnihotraṃ trayo vedāstridaṇḍaṃ bhasmaguṇṭhanam
71	Saying 71	0.4194	0.6891	0.1111	8	9	4	0.5	32	anuṣṭubh	syllable-heuristic	agnihotraphalā vedāḥ śīlavṛttaphalaṃ śrutam
72	Saying 72	0.5111	0.8125	0.1667	10	12	5	0.333	32	anuṣṭubh	syllable-heuristic	agnau prāstaṃ tu puruṣaṃ karmānveti svayaṅkṛtam
73	Saying 73	0.4589	0.8605	0.0	11	11	5	0.222	32	anuṣṭubh	syllable-heuristic	agnau prāstaṃ pradhūyeta yathā tūlaṃ dvijottama
74	Saying 74	0.5356	0.7656	0.2727	8	11	1	0.75	32	anuṣṭubh	syllable-heuristic	agnyādhānena yajñena kāṣāyeṇa jaṭājinaiḥ
75	Saying 75	0.5398	0.8103	0.2308	20	26	10	0.333	76	śārdulavikrīḍita	vidyut-chandas	agrāhyaṃ hṛdayaṃ tathaiva vadanaṃ yaddarpaṇāntargataṃ
76	Saying 76	0.4422	0.7875	0.0476	20	21	10	0.333	76	śārdulavikrīḍita	vidyut-chandas	agre kasyacidasti kañcidabhitaḥ kenāpi pṛṣṭhe kṛtaḥ
77	Saying 77	0.5349	0.7579	0.28	18	25	5	0.571	68	mandākrāntā	vidyut-chandas	agre gītaṃ sarasakavayaḥ pārśvato dākṣiṇātyāḥ pṛṣṭhe līlāval
78	Saying 78	0.4845	0.7494	0.1818	9	11	4	0.556	32	anuṣṭubh	syllable-heuristic	aghaṃ sa kevalaṃ bhuṅkte yaḥ pacatyātmakāraṇāt
79	Saying 79	0.4974	0.853	0.0909	10	11	2	0.3	46		unresolved	aghaṭitaghaṭitāni ghaṭayati sughaṭitaghaṭitāni jarjarīkurute
80	Saying 80	0.5529	0.9117	0.1429	12	14	7	0.182	41	āryāgīti	vidyut-chandas	aṅgaṃ galitaṃ palitaṃ muṇḍaṃ dantavihīnaṃ jātaṃ tuṇḍam
81	Saying 81	0.4943	0.8594	0.0769	12	13	9	0.308	76	śārdulavikrīḍita	vidyut-chandas	aṅgaṃ candanapāṇḍu pallavamṛdustāmbūlatāmrādharo
82	Saying 82	0.4821	0.8243	0.0909	10	11	1	0.444	35	āryā	vidyut-chandas	aṅgaṇavedirvasudhā kulyā jaladhiḥ sthalī ca pātālam
83	Saying 83	0.5139	0.7448	0.25	9	12	3	0.625	32	anuṣṭubh	syllable-heuristic	aṅgapratyaṅgajaḥ putro hṛdayāccābhijāyate
84	Saying 84	0.5647	0.8644	0.2222	7	9	4	0.143	32	anuṣṭubh	syllable-heuristic	aṅgāṅgibhāvamajñātvā kathaṃ sāmarthyanirṇayaḥ
85	Saying 85	0.5794	0.7846	0.3448	19	29	7	0.652	76	śārdulavikrīḍita	vidyut-chandas	aṅgānāmatitānavaṃ kathamidaṃ kampaśca kasmātkuto
86	Saying 86	0.4819	0.824	0.0909	20	22	11	0.4	76	śārdulavikrīḍita	vidyut-chandas	aṅgulyagranakhena bāṣpasalilaṃ nikṣipya nikṣipya kiṃ
87	Saying 87	0.551	0.8145	0.25	9	12	6	0.364	32	anuṣṭubh	syllable-heuristic	aṅgulyagreṇa yajjaptaṃ yajjaptaṃ merulaṅghane
88	Saying 88	0.6001	0.9064	0.25	6	8	4	0.2	36	āryā	vidyut-chandas	aṅguṣṭhaparvamātraṃ viśeṣavatprāpya padmarāgamaṇim
89	Saying 89	0.581	0.7528	0.3846	8	13	1	0.625	32	anuṣṭubh	syllable-heuristic	acintitāni duḥkhāni yathaivāyānti dehinām
90	Saying 90	0.5276	0.8643	0.1429	6	7	3	0.143	39	āryā	vidyut-chandas	acirādhiṣṭhitarājyaḥ śatruḥ prakṛtiṣvarūḍhamūlatvāt
91	Saying 91	0.6239	0.7659	0.4615	7	13	3	0.4	32	anuṣṭubh	syllable-heuristic	aceṣṭamapi cāsīnaṃ śrīḥ kañcidupatiṣṭhati
92	Saying 92	0.4903	0.7443	0.2	12	15	2	0.556	32	anuṣṭubh	syllable-heuristic	acodyamānāni yathā puṣpāṇi ca phalāni ca
93	Saying 93	0.5312	0.904	0.1053	17	19	6	0.167	56	vasantatilakā	vidyut-chandas	acchācchacandanarasārdrakarā mṛgākṣyo dhārāgṛhāṇi kusumāni c
94	Saying 94	0.5159	0.698	0.3077	9	13	2	0.625	32	anuṣṭubh	syllable-heuristic	ajarāmaravatprājño vidyāmarthaṃ ca cintayet
95	Saying 95	0.4902	0.7003	0.25	12	16	2	0.7	32	anuṣṭubh	syllable-heuristic	ajā iva prajā hanyādyo mohātpṛthivīpatiḥ
96	Saying 96	0.5059	0.754	0.2222	7	9	2	0.571	32	anuṣṭubh	syllable-heuristic	ajātamṛtamūrkhāṇāṃ varamādyau na cāntimaḥ
97	Saying 97	0.4538	0.6919	0.1818	9	11	3	0.556	32	upagīti	vidyut-chandas	ajātamṛtamūrkhebhyo mṛtājātau sutau varam
98	Saying 98	0.5529	0.7743	0.3	7	10	3	0.5	32	anuṣṭubh	syllable-heuristic	ajādhūliriva trastairmārjanī reṇuvajjanaiḥ
99	Saying 99	0.5329	0.6242	0.4286	8	14	1	0.889	32	anuṣṭubh	syllable-heuristic	ajānatā bhavetkaścidaparādhaḥ kṛto yadi
100	Saying 100	0.5753	0.7986	0.32	17	25	8	0.444	68	śikhariṇī	vidyut-chandas	ajānandāhārtiṃ patati śalabho dīpadahane
101	Saying 101	0.5028	0.6736	0.3077	9	13	0	0.727	32	upagīti	vidyut-chandas	ajāyuddhe ṛṣiśrāddhe prabhāte meghaḍambare
102	Saying 102	0.5188	0.6993	0.3125	11	16	3	0.583	32	anuṣṭubh	syllable-heuristic	ajāśvayormukhaṃ medhyaṃ gāvo medhyāstu pṛṣṭhataḥ
103	Saying 103	0.5825	0.8296	0.3	7	10	4	0.333	32	anuṣṭubh	syllable-heuristic	ajīrṇaṃ tapasaḥ krodho jñānājīrṇamahaṅkṛtiḥ
104	Saying 104	0.4531	0.7149	0.1538	11	13	2	0.583	32	anuṣṭubh	syllable-heuristic	ajīrṇe bheṣajaṃ vāri jīrṇe vāri balapradam
105	Saying 105	0.5379	0.921	0.1	9	10	4	0.25	37	āryā	vidyut-chandas	ajñaḥ sukhamārādhyaḥ sukhataramārādhyate viśeṣajñaḥ
106	Saying 106	0.536	0.8704	0.1538	11	13	3	0.25	32	upagīti	vidyut-chandas	ajñātakulaśīlasya vāso deyo na kasyacit
107	Saying 107	0.4723	0.7106	0.2	12	15	1	0.625	32	anuṣṭubh	syllable-heuristic	ajñātakulaśīle 'pi prītiṃ kurvanti vānarāḥ
108	Saying 108	0.5666	0.7706	0.3333	8	12	2	0.571	32	anuṣṭubh	syllable-heuristic	ajñātavīvadhāsāratoyasasyo vrajettu yaḥ
109	Saying 109	0.4262	0.6742	0.1429	12	14	2	0.7	32	anuṣṭubh	syllable-heuristic	ajñātāḥ puruṣā yasya praviśanti mahīpateḥ
110	Saying 110	0.4542	0.6642	0.2143	11	14	3	0.5	32	anuṣṭubh	syllable-heuristic	ajñānaṃ kāraṇaṃ na syādviyogo yadi kāraṇam
111	Saying 111	0.4131	0.5359	0.2727	8	11	1	0.857	32	upagīti	vidyut-chandas	ajñānādyadi vā jñānātkṛtvā karma vigarhitam
112	Saying 112	0.5084	0.8074	0.1667	15	18	9	0.412	75		unresolved	ajñānena parāṅmukhīṃ paribhavādāśliṣya māṃ duḥkhitāṃ
113	Saying 113	0.5169	0.8345	0.1538	11	13	5	0.273	32	anuṣṭubh	syllable-heuristic	ajñebhyo granthinaḥ śreṣṭhā granthibhyo dhāriṇo varāḥ
114	Saying 114	0.4768	0.8211	0.0833	11	12	2	0.5	32	anuṣṭubh	syllable-heuristic	ajño yo vyayaśīlaśca anāthaḥ kalahapriyaḥ
115	Saying 115	0.4341	0.814	0.0	9	9	4	0.5	32	anuṣṭubh	syllable-heuristic	añjanasya kṣayaṃ dṛṣṭvā valmīkasya ca sañcayam
116	Saying 116	0.5053	0.6558	0.3333	8	12	3	0.727	32	anuṣṭubh	syllable-heuristic	añjaliḥ śapathaḥ sāntvaṃ śirasā pādavandanam
117	Saying 117	0.4263	0.6535	0.1667	10	12	3	0.7	32	anuṣṭubh	syllable-heuristic	añjaliḥ śapathaḥ sāntvaṃ praṇamya śirasā vadet
118	Saying 118	0.477	0.8944	0.0	8	8	4	0.167	32	anuṣṭubh	syllable-heuristic	añjalisthāni puṣpāṇi vāsayanti karadvayam
119	Saying 119	0.5425	0.7255	0.3333	8	12	3	0.5	32	anuṣṭubh	syllable-heuristic	aṇukaṃ surataṃ nāma daṃpatyoḥ pārśvasaṃsthayoḥ
120	Saying 120	0.6374	0.7285	0.5333	7	15	3	0.636	32	anuṣṭubh	syllable-heuristic	aṇunāpi praviśyāriṃ chidreṇa balavattaram
121	Saying 121	0.477	0.7353	0.1818	9	11	2	0.571	32	anuṣṭubh	syllable-heuristic	aṇubhyaśca mahadbhyaśca śāstrebhyaḥ kuśalo naraḥ
122	Saying 122	0.4903	0.7134	0.2353	13	17	3	0.692	41	āryā	vidyut-chandas	aṇvapi guṇāya guṇināṃ mahadapi doṣāya doṣiṇāṃ sukṛtam
123	Saying 123	0.4434	0.5814	0.2857	10	14	1	0.778	32	anuṣṭubh	syllable-heuristic	ata eva hi necchanti sādhavaḥ satsamāgamam
124	Saying 124	0.519	0.7106	0.3	14	20	5	0.5	32	anuṣṭubh	syllable-heuristic	atattvajño 'si bālaśca dustoṣo 'pūraṇo 'nalaḥ
125	Saying 125	0.5078	0.7931	0.1818	9	11	2	0.375	32	anuṣṭubh	syllable-heuristic	atathyānyapi tathyāni darśayanti hi peśalāḥ
126	Saying 126	0.4403	0.6712	0.1765	14	17	1	0.769	39	āryā	vidyut-chandas	atikupitā api sujanā yogena mṛdūbhavanti na tu nīcāḥ
127	Saying 127	0.4976	0.7663	0.1905	17	21	6	0.389	68	śikhariṇī	vidyut-chandas	atikrāntaḥ kālo lalitalalanābhogasubhago
128	Saying 128	0.4829	0.6481	0.2941	12	17	2	0.7	32	anuṣṭubh	syllable-heuristic	atikleśena ye 'rthāḥ syurdharmasyātikrameṇa vā
129	Saying 129	0.4552	0.7076	0.1667	10	12	3	0.556	32	anuṣṭubh	syllable-heuristic	atitṛṣṇā na kartavyā tṛṣṇāṃ naiva parityajet
130	Saying 130	0.5803	0.8146	0.3125	11	16	5	0.364	36	āryā	vidyut-chandas	atitejasvyapi rājā pānāsakto na sādhayatyarthān
131	Saying 131	0.4846	0.6393	0.3077	9	13	2	0.778	32	anuṣṭubh	syllable-heuristic	atithiḥ pūjito yaddhi dhyāyate manasā śubham
132	Saying 132	0.6159	0.7797	0.4286	8	14	4	0.545	32	anuṣṭubh	syllable-heuristic	atithitvena varṇānāṃ deyaṃ śaktyānupūrvaśaḥ
133	Saying 133	0.3125	0.4693	0.1333	13	15	1	0.875	32	anuṣṭubh	syllable-heuristic	atithirbālakaścaiva rājā bhāryā tathaiva ca
134	Saying 134	0.4363	0.5994	0.25	9	12	2	0.667	32	anuṣṭubh	syllable-heuristic	atithiryasya bhagnāśo gṛhātpratinivartate
135	Saying 135	0.4847	0.69	0.25	9	12	2	0.6	32	anuṣṭubh	syllable-heuristic	atidarpe hatā laṅkā atimāne ca kauravāḥ
136	Saying 136	0.6596	0.7735	0.5294	8	17	1	0.455	32	anuṣṭubh	syllable-heuristic	atidānādbalirbaddho naṣṭo mānātsuyodhanaḥ
137	Saying 137	0.4741	0.7299	0.1818	9	11	2	0.6	32	anuṣṭubh	syllable-heuristic	atidāne balirbaddho atimāne ca kauravāḥ
138	Saying 138	0.5014	0.7809	0.1818	9	11	1	0.429	32	anuṣṭubh	syllable-heuristic	atidūrapathaśrāntāśchāyāṃ yānti ca śītalām
139	Saying 139	0.4568	0.6231	0.2667	11	15	3	0.667	37	āryā	vidyut-chandas	atiparicayādavajñā bhavati viśiṣṭe 'pi vastuni prāyaḥ
140	Saying 140	0.4915	0.5569	0.4167	7	12	3	0.667	41	āryā	vidyut-chandas	atiparicayādavajñā santatagamanādanādaro bhavati
141	Saying 141	0.4766	0.8937	0.0	8	8	4	0.286	32	anuṣṭubh	syllable-heuristic	atibhīrumatiklībaṃ dīrghasūtraṃ pramādinam
142	Saying 142	0.4321	0.6352	0.2	12	15	3	0.667	38	āryā	vidyut-chandas	atimaline kartavye bhavati khalānāmatīva nipuṇā dhīḥ
143	Saying 143	0.4816	0.8156	0.1	9	10	5	0.375	38	āryā	vidyut-chandas	atimātrabhāsuratvaṃ puṣyati bhānuḥ parigrahādahnaḥ
144	Saying 144	0.4716	0.7092	0.2	8	10	2	0.714	32	anuṣṭubh	syllable-heuristic	atimāninamagrāhyamātmasaṃbhāvitaṃ naram
147	Saying 147	0.5116	0.8001	0.1818	9	11	3	0.429	32	anuṣṭubh	syllable-heuristic	atiyatnagṛhīto 'pi khalaḥ khalakhalāyate
148	Saying 148	0.6061	0.8239	0.3571	9	14	3	0.556	39	upagīti	vidyut-chandas	atiramaṇīye kāvye 'pi piśuno dūṣaṇamanveṣayati
149	Saying 149	0.4904	0.7177	0.2308	10	13	2	0.556	32	anuṣṭubh	syllable-heuristic	atirūpeṇa vai sītā atigarveṇa rāvaṇaḥ
150	Saying 150	0.5205	0.8302	0.1667	10	12	5	0.444	32	anuṣṭubh	syllable-heuristic	atilobho na kartavyo lobhaṃ naiva parityajet
151	Saying 151	0.4791	0.632	0.3043	16	23	3	0.733	46		unresolved	ativādaṃ na pravadenna vādayedyo nāhataḥ pratihanyānna ghāta
152	Saying 152	0.5118	0.7577	0.2308	10	13	4	0.444	32	anuṣṭubh	syllable-heuristic	ativādāṃstitikṣeta nābhimanyeta kaṃ ca na
153	Saying 153	0.4977	0.7986	0.1538	11	13	5	0.444	32	anuṣṭubh	syllable-heuristic	ativādāṃstitikṣeta nāvamanyeta kaṃ ca na
154	Saying 154	0.5552	0.9316	0.125	7	8	5	0.286	32	anuṣṭubh	syllable-heuristic	ativyayo 'napekṣā ca tathārjanamadharmataḥ
155	Saying 155	0.5309	0.8079	0.2143	11	14	4	0.455	38	āryā	vidyut-chandas	atiśuddhāmapi vṛttiṃ samāśrito durjanaḥ parānvyathayet
156	Saying 156	0.5987	0.7581	0.4167	7	12	4	0.6	32	anuṣṭubh	syllable-heuristic	atiśaucamaśaucaṃ vā atinindā atistutiḥ
157	Saying 157	0.4218	0.7179	0.0833	11	12	3	0.5	39	āryā	vidyut-chandas	atisāhasamatiduṣkaramatyāścaryaṃ ca dānamarthānām
158	Saying 158	0.5474	0.796	0.2632	14	19	4	0.455	44		unresolved	atītalābhasya ca rakṣaṇārthaṃ bhaviṣyalābhasya ca saṅgamārth
159	Saying 159	0.4678	0.5854	0.3333	10	15	2	0.818	32	upagīti	vidyut-chandas	atītānāgatā bhāvā ye ca vartanti sāṃpratam
160	Saying 160	0.4769	0.7776	0.1333	13	15	3	0.286	44		unresolved	atīndriyāṇāṃ paralokavṛttāvihaiva tīvrāśubhapākaśaṃsī
161	Saying 161	0.521	0.7076	0.3077	9	13	1	0.75	32	anuṣṭubh	syllable-heuristic	atīva karkaśāḥ stabdhā hiṃsrajantubhirāvṛtāḥ
162	Saying 162	0.5954	0.6497	0.5333	7	15	1	0.778	32	anuṣṭubh	syllable-heuristic	atīva guṇasaṃpanno na jātu vinayānvitaḥ
163	Saying 163	0.5491	0.7796	0.2857	10	14	3	0.556	32	anuṣṭubh	syllable-heuristic	ato hāsyataraṃ loke kiñcidanyanna vidyate
164	Saying 164	0.5036	0.7192	0.2571	26	35	8	0.609	76	śārdulavikrīḍita	vidyut-chandas	attuṃ vāñchati śāṃbhavo gaṇapaterākhuṃ kṣudhārtaḥ phaṇī
165	Saying 165	0.5614	0.6549	0.4545	6	11	2	0.7	32	anuṣṭubh	syllable-heuristic	atyacchenāviruddhena suvṛttenāticāruṇā
166	Saying 166	0.6035	0.8252	0.35	13	20	1	0.5	44		unresolved	atyantakopaḥ kaṭhurā ca vāṇī daridratā ca svajaneṣu vairam
167	Saying 167	0.4699	0.7352	0.1667	10	12	3	0.556	32	anuṣṭubh	syllable-heuristic	atyantacañcalasyeha pāratasya nibandhane
168	Saying 168	0.5967	0.8689	0.2857	5	7	3	0.4	32	anuṣṭubh	syllable-heuristic	atyantamasadāryāṇāmanālocitaceṣṭitam
169	Saying 169	0.5688	0.6838	0.4375	9	16	1	0.7	32	anuṣṭubh	syllable-heuristic	atyantavimukhe daive vyarthayatne ca pauruṣe
170	Saying 170	0.4991	0.6971	0.2727	8	11	2	0.7	44		unresolved	atyambupānādviṣamāśanācca divāśayājjāgaraṇācca rātrau
