in_form	prefix_guess	dhatu	palsule_no	prefix	dhatu_check
abhicumb		cumb	1009	abhi	cumb
abhidā		dā	1470	abhi	dā
abhidaṃś		daṃç	1434	abhi	daṃç
abhidāpay		dāpay		abhi	dāpay
abhidarśay		darśay		abhi	darśay
abhidās		dās	1479	abhi	dās
abhidhā		dhā	1578	abhi	dhā
abhidhāray		dhāray		abhi	dhāray
abhidharṣay		dharṣay		abhi	dharṣay
abhidhāv		dhāv	1580	abhi	dhāv
abhidheyīkṛ		dheyīkṛ		abhi	dheyīkṛ
abhidhṛ		dhṛ	1604	abhi	dhṛ
abhidhṛṣ		dhṛṣ	1610	abhi	dhṛṣ
abhidhvaṃs		dhvaṃs	1644	abhi	dhvaṃs
abhidhyai		dhyai	1625	abhi	dhyai
abhidīpay		dīpay		abhi	dīpay
abhidrāvay		drāvay		abhi	drāvay
abhidṛś		dṛç	1527	abhi	dṛç
abhidru		dru	1555	abhi	dru
abhidruh		druh	1560	abhi	druh
abhiduh		duh	1509	abhi	duh
abhidūṣay		dūṣay		abhi	dūṣay
abhigam		gam	709	abhi	gam
abhigamay		gamay		abhi	gamay
abhigarj		garj	712	abhi	garj
abhigarv		garv	717	abhi	garv
abhighāray		ghāray		abhi	ghāray
abhighātay		ghātay		abhi	ghātay
abhighrā		ghrā	902	abhi	ghrā
abhigṛ		gṛ	796	abhi	gṛ
abhigrah		grah	827	abhi	grah
abhigrāhay		grāhay		abhi	grāhay
abhigup		gup	771	abhi	gup
abhihan		han	3580	abhi	han
abhihāray		hāray		abhi	hāray
abhiharṣay		harṣay		abhi	harṣay
abhihiṃs		hiṃs	3597	abhi	hiṃs
abhihiṅkṛ		hiṅkṛ		abhi	hiṅkṛ
abhihṛ		hṛ	3635	abhi	hṛ
abhihṛṣ		hṛṣ	3638	abhi	hṛṣ
abhihu		hu	3615	abhi	hu
abhijalp		jalp	1113	abhi	jalp
abhijan		jan	1092	abhi	jan
abhijap		jap	1095	abhi	jap
abhiji		ji	1125	abhi	ji
abhijñā		jñā	1177	abhi	jñā
abhijuṣ		juṣ	1156	abhi	juṣ
abhijval		jval	1188	abhi	jval
abhikalpay		kalpay		abhi	kalpay
abhikāmay		kāmay		abhi	kāmay
abhikamp		kamp	322	abhi	kamp
abhikampay		kampay		abhi	kampay
abhikāṅkṣ		kāṅkṣ		abhi	kāṅkṣ
abhikarśay		karśay		abhi	karśay
abhikhan		khan	637	abhi	khan
abhikhyā		khyā	691	abhi	khyā
abhikhyāpay		khyāpay		abhi	khyāpay
abhik�p		k�p		abhi	k�p
abhikṛ		kṛ	471	abhi	kṛ
abhikram		kram	525	abhi	kram
abhikrāmay		krāmay		abhi	krāmay
abhikṛṣ		kṛṣ	486	abhi	kṛṣ
abhikṛt		kṛt	478	abhi	kṛt
abhikrudh		krudh	536	abhi	krudh
abhikruś		kruç	538	abhi	kruç
abhīkṣ		bhīkṣ		a	bhīkṣ
abhikṣan		kṣan	572	abhi	kṣan
abhikṣar		kṣar	578	abhi	kṣar
abhikṣip		kṣip	588	abhi	kṣip
abhikuṣ		kuṣ	451	abhi	kuṣ
abhilabh		labh	2670	abhi	labh
abhilakṣ		lakṣ	2636	abhi	lakṣ
abhilakṣay		lakṣay		abhi	lakṣay
abhilaṅghay		laṅghay		abhi	laṅghay
abhilap		lap	2669	abhi	lap
abhilaṣ		laṣ	2685	abhi	laṣ
abhilāṣībhū		lāṣībhū		abhi	lāṣībhū
abhilekhay		lekhay		abhi	lekhay
abhilī		lī	2709	abhi	lī
abhilikh		likh	2698	abhi	likh
abhiliṅg		liṅg	2701	abhi	liṅg
abhilul		lul	2736	abhi	lul
abhimad		mad	2234	abhi	mad
abhiman		man	2236	abhi	man
abhimānay		mānay		abhi	mānay
abhimanth		manth	2240	abhi	manth
abhimarday		marday		abhi	marday
abhimarṣay		marṣay		abhi	marṣay
abhimih		mih	2308	abhi	mih
abhimohay		mohay		abhi	mohay
abhimṛd		mṛd	2385	abhi	mṛd
abhimṛś		mṛç	2389	abhi	mṛç
abhimuc		muc	2319	abhi	muc
abhimuh		muh	2358	abhi	muh
abhimukhībhū		mukhībhū		abhi	mukhībhū
abhimukhīkṛ		mukhīkṛ		abhi	mukhīkṛ
abhimūrch		mūrch		abhi	mūrch
abhinad		nad	1667	abhi	nad
abhināday		nāday		abhi	nāday
abhinah		nah	1685	abhi	nah
abhinam		nam	1672	abhi	nam
abhinand		nand	1670	abhi	nand
abhinanday		nanday		abhi	nanday
abhinard		nard	1676	abhi	nard
abhinī		nī	1708	abhi	nī
abhinidhā		dhā	1578	abhini	dhā
abhinidhyai		dhyai	1625	abhini	dhyai
abhinihan		han	3580	abhini	han
abhiniḥsṛ		sṛ	3376	abhiniḥ	sṛ
abhiniḥśvas		çvas	3241	abhiniḥ	çvas
abhinimruc		mruc	2412	abhini	mruc
abhinind		nind	1696	abhi	nind
abhinipīḍay		pīḍay		abhini	pīḍay
abhiniras		ras	2526	abhini	ras
abhinirbharts		rbharts		abhini	rbharts
abhinirdiś		rdiś		abhini	rdiś
abhinirgam		rgam		abhini	rgam
abhinirhṛ		rhṛ		abhini	rhṛ
abhinirji		rji		abhini	rji
abhinirmā		rmā		abhini	rmā
abhinirmuc		rmuc		abhini	rmuc
abhinirṇud		rṇud		abhini	rṇud
abhinirvartay		rvartay		abhini	rvartay
abhinirvṛt		rvṛt		abhini	rvṛt
abhiniryā		ri	2542	abhinir	ri
abhiniṣic		ṣic		abhini	ṣic
abhiniṣkram		ṣkram		abhini	ṣkram
abhiniṣpad		ṣpad		abhini	ṣpad
abhiniṣpat		ṣpat		abhini	ṣpat
abhiniṣpū		ṣpū		abhini	ṣpū
abhinisṛ		ṛ	219	abhinis	ṛ
abhinivartay		vartay		abhini	vartay
abhiniveday		veday		abhini	veday
abhiniveśay		veśay		abhini	veśay
abhiniviś		viç	2901	abhini	viç
abhinivṛt		vṛt	2942	abhini	vṛt
abhinoday		noday		abhi	noday
abhinud		nud	1719	abhi	nud
abhinyas		as	97	abhiny	as
abhipac		pac	1735	abhi	pac
abhipad		pad	1761	abhi	pad
abhipālay		pālay		abhi	pālay
abhiparī		parī		abhi	parī
abhipariglā		glā	836	abhipari	glā
abhipariplu		plu	1973	abhipari	plu
abhipariṣkṛ		ṣkṛ		abhipari	ṣkṛ
abhipariṣvañj		ṣvañj		abhipari	ṣvañj
abhiparivāray		vāray		abhipari	vāray
abhipaś		paç	1787	abhi	paç
abhipat		pat	1756	abhi	pat
abhipātay		pātay		abhi	pātay
abhipaṭh		paṭh	1747	abhi	paṭh
abhipīḍay		pīḍay		abhi	pīḍay
abhipiś		piç	1837	abhi	piç
abhiplāvay		plāvay		abhi	plāvay
abhiplu		plu	1973	abhi	plu
abhipṛ		pṛ	1905	abhi	pṛ
abhiprach		prach	1948	abhi	prach
abhipracoday		coday		abhipra	coday
abhipradhāv		dhāv	1580	abhipra	dhāv
abhipradūṣay		dūṣay		abhipra	dūṣay
abhipragrah		grah	827	abhipra	grah
abhiprahan		han	3580	abhipra	han
abhiprajan		jan	1092	abhipra	jan
abhiprajñā		jñā	1177	abhipra	jñā
abhiprajval		jval	1188	abhipra	jval
abhiprakamp		kamp	322	abhipra	kamp
abhiprakram		kram	525	abhipra	kram
abhipramanthay		manthay		abhipra	manthay
abhiprāṇ		pṛṇ	1917	abhip	pṛṇ
abhipraṇam		ṇam		abhipra	ṇam
abhipraṇud		ṇud		abhipra	ṇud
abhiprāp		p		abhiprā	p
abhiprapac		pac	1735	abhipra	pac
abhiprapad		pad	1761	abhipra	pad
abhiprapīḍay		pīḍay		abhipra	pīḍay
abhiprapūjay		pūjay		abhipra	pūjay
abhipraruh		ruh	2611	abhipra	ruh
abhiprasad		sad	3286	abhipra	sad
abhiprasāday		sāday		abhipra	sāday
abhipraśāmay		śāmay		abhipra	śāmay
abhipraśaṃs		çaṃs	3013	abhipra	çaṃs
abhipraśodhay		śodhay		abhipra	śodhay
abhiprasthā		sthā	3449	abhipra	sthā
abhiprasthāpay		sthāpay		abhipra	sthāpay
abhiprasū		sū	3364	abhipra	sū
abhiprasvap		svap	3555	abhipra	svap
abhipratap		tap	1287	abhipra	tap
abhipratarpay		tarpay		abhipra	tarpay
abhiprathay		thay		abhipra	thay
abhipratī		tī		abhipra	tī
abhipratipad		pad	1761	abhiprati	pad
abhipratipāday		pāday		abhiprati	pāday
abhipravardhay		vardhay		abhipra	vardhay
abhipravartay		vartay		abhipra	vartay
abhipraviś		viç	2901	abhipra	viç
abhipravraj		vraj	2993	abhipra	vraj
abhipravṛdh		vṛdh	2946	abhipra	vṛdh
abhipravṛṣ		vṛṣ	2950	abhipra	vṛṣ
abhipravṛt		vṛt	2942	abhipra	vṛt
abhiprayā		yā	2445	abhipra	yā
abhipre		prī	1953	abhi	prī
abhiprekṣ		prekṣ		abhi	prekṣ
abhipreray		preray		abhi	preray
abhipreṣay		preṣay		abhi	preṣay
abhiprīṇay		prīṇay		abhi	prīṇay
abhipūjay		pūjay		abhi	pūjay
abhipūray		pūray		abhi	pūray
abhirādhay		rādhay		abhi	rādhay
abhirakṣ		rakṣ	2477	abhi	rakṣ
abhiram		ram	2511	abhi	ram
abhiramay		ramay		abhi	ramay
abhirāmay		rāmay		abhi	rāmay
abhirañj		rañj	2492	abhi	rañj
abhirañjay		rañjay		abhi	rañjay
abhirocay		rocay		abhi	rocay
abhiru		ru	2575	abhi	ru
abhiruc		ruc	2582	abhi	ruc
abhirud		rud	2599	abhi	rud
abhiruh		ruh	2611	abhi	ruh
abhiṣah		ṣah		abhi	ṣah
abhisamādhā		dhā	1578	abhisamā	dhā
abhisamāgam		gam	709	abhisamā	gam
abhisamas		as	97	abhisam	as
abhisamāvṛt		vṛt	2942	abhisamā	vṛt
abhisamāyā		yā	2445	abhisamā	yā
abhisambandh		bandh	2005	abhisam	bandh
abhisambhū		bhū	2161	abhisam	bhū
abhisaṃbudh		budh	2062	abhisaṃ	budh
abhisaṃchad		chad	1042	abhisaṃ	chad
abhisaṃcintay		cintay		abhisaṃ	cintay
abhisaṃdhā		dhā	1578	abhisaṃ	dhā
abhisaṃdih		dih	1490	abhisaṃ	dih
abhisame		e	252	abhisam	e
abhisaṃgam		gam	709	abhisaṃ	gam
abhisaṃgup		gup	771	abhisaṃ	gup
abhisaṃhṛṣ		hṛṣ	3638	abhisaṃ	hṛṣ
abhisami		sai	3391	abhis	sai
abhisamīkṣ		īkṣ	151	abhisam	īkṣ
abhisamīray		īray		abhisam	īray
abhisaṃjvar		jvar	1187	abhisaṃ	jvar
abhisaṃkhyā		khyā	691	abhisaṃ	khyā
abhisaṃkṛ		kṛ	471	abhisaṃ	kṛ
abhisaṃkram		kram	525	abhisaṃ	kram
abhisaṃkrudh		krudh	536	abhisaṃ	krudh
abhisaṃkruś		kruç	538	abhisaṃ	kruç
abhisaṃkṣip		kṣip	588	abhisaṃ	kṣip
abhisaṃmad		mad	2234	abhisaṃ	mad
abhisamman		man	2236	abhisam	man
abhisaṃmuh		muh	2358	abhisaṃ	muh
abhisaṃnah		nah	1685	abhisaṃ	nah
abhisaṃnī		nī	1708	abhisaṃ	nī
abhisampad		pad	1761	abhisam	pad
abhisaṃpāday		pāday		abhisaṃ	pāday
abhisampat		pat	1756	abhisam	pat
abhisamplu		plu	1973	abhisam	plu
abhisamprāp		p		abhisamprā	p
