in_form	prefix_guess	dhatu	palsule_no	prefix	dhatu_check
avamṛd		mṛd	2385	ava	mṛd
avamṛj		mṛj	2379	ava	mṛj
avamṛś		mṛç	2389	ava	mṛç
avamuc		muc	2319	ava	muc
avanāday		nāday		ava	nāday
avanah		nah	1685	ava	nah
avanam		nam	1672	ava	nam
avanamay		namay		ava	namay
avanāmay		nāmay		ava	nāmay
āvand		vand	2803	ā	vand
avanī		nī	1708	ava	nī
avanidhā		dhā	1578	avani	dhā
avaniṣṭhīv		ṣṭhīv	3257	avani	ṣṭhīv
avanud		nud	1719	ava	nud
avāp		vip	2896	a	vip
āvap		vap	2804	ā	vap
avapad		pad	1761	ava	pad
avapat		pat	1756	ava	pat
avapātay		pātay		ava	pātay
avapāṭay		pāṭay		ava	pāṭay
āvāpay		vāpay		ā	vāpay
avapīḍay		pīḍay		ava	pīḍay
avapiṣ		piṣ	1839	ava	piṣ
avaplu		plu	1973	ava	plu
avāpoh		vāpoh		a	vāpoh
avapothay		pothay		ava	pothay
avapūray		pūray		ava	pūray
avaram		ram	2511	ava	ram
āvaray		varay		ā	varay
āvāray		vāray		ā	vāray
āvarjay		varjay		ā	varjay
avarodhay		rodhay		ava	rodhay
avaropay		ropay		ava	ropay
āvartay		vartay		ā	vartay
avarud		rud	2599	ava	rud
avarudh		rudh	2600	ava	rudh
avaruh		ruh	2611	ava	ruh
avaruj		ruj	2583	ava	ruj
āvas		vas	2843	ā	vas
avasā		sā	3313	ava	sā
avasad		sad	3286	ava	sad
avasāday		sāday		ava	sāday
avasajjay		jjay		avasa	jjay
avasañj		sañj	3277	ava	sañj
avasañjay		ñjay		avasa	ñjay
avaśās		çās	3072	ava	çās
avaśātay		śātay		ava	śātay
āvāsay		vāsay		ā	vāsay
avasecay		secay		ava	secay
avaśeṣay		śeṣay		ava	śeṣay
avasic		sic	3333	ava	sic
avaśiṣ		çiṣ	3090	ava	çiṣ
avaskand		skand	3393	ava	skand
avaśoṣay		śoṣay		ava	śoṣay
avasphūrj		sphūrj	3509	ava	sphūrj
avaśṛ		çṛ	3145	ava	çṛ
avasraṃs		sraṃs	3528	ava	sraṃs
avasrāvay		srāvay		ava	srāvay
avasṛj		sṛj	3381	ava	sṛj
avasṛp		sṛp	3384	ava	sṛp
avaṣṭambh		ṣṭambh	3254	ava	ṣṭambh
avasthā		sthā	3449	ava	sthā
avasthāpay		sthāpay		ava	sthāpay
avastṛ		stṛ	3432	ava	stṛ
avasvap		svap	3555	ava	svap
avataṃs		taṃs	1260	ava	taṃs
avatan		tan	1280	ava	tan
avatap		tap	1287	ava	tap
avatāpay		tāpay		ava	tāpay
avataray		taray		ava	taray
avatāray		tāray		ava	tāray
avatṛ		tṛ	1374	ava	tṛ
avavisraṃsay		sraṃsay		avavi	sraṃsay
ave		ve	2956	a	ve
āve		ve	2956	ā	ve
āveday		veday		ā	veday
avekṣ		vekṣ		a	vekṣ
āvekṣ		vekṣ		ā	vekṣ
avekṣay		vekṣay		a	vekṣay
āveśay		veśay		ā	veśay
āveṣṭ		veṣṭ	2971	ā	veṣṭ
āveṣṭay		veṣṭay		ā	veṣṭay
āvid		vid	2885	ā	vid
āvij		vij	2876	ā	vij
āviras		ras	2526	āvi	ras
āvirbhāvay		rbhāvay		āvi	rbhāvay
āvirbhū		rbhū		āvi	rbhū
āviś		viç	2901	ā	viç
āviṣkṛ		ṣkṛ		āvi	ṣkṛ
āvraj		vraj	2993	ā	vraj
āvṛj		vṛj	2934	ā	vṛj
āvṛt		vṛt	2942	ā	vṛt
āvyadh		vyadh	2981	ā	vyadh
avyaktībhū		ktībhū		avya	ktībhū
āyā		yā	2445	ā	yā
āyāc		yāc	2446	ā	yāc
āyam		yam	2441	ā	yam
āyāmay		yāmay		ā	yāmay
āyas		yas	2443	ā	yas
āyāsay		yāsay		ā	yāsay
āyat		yat	2436	ā	yat
āyay		yay		ā	yay
āyodhay		yodhay		ā	yodhay
āyojay		yojay		ā	yojay
āyudh		yudh	2460	ā	yudh
āyuj		yuj	2455	ā	yuj
baddhay		baddhay			baddhay
bādh		bādh	2037		bādh
bādhay		bādhay			bādhay
badhirīkṛ		badhirīkṛ			badhirīkṛ
bahiṣkṛ		bahiṣkṛ			bahiṣkṛ
bahulībhū		bahulībhū			bahulībhū
bahulīkṛ		bahulīkṛ			bahulīkṛ
bandh		bandh			bandh
bandhay		bandhay			bandhay
bhā		bhā			bhā
bhāgīkṛ		bhāgīkṛ			bhāgīkṛ
bhaj		bhaj			bhaj
bhajay		bhajay			bhajay
bhājay		bhājay			bhājay
bhakṣ		bhakṣ			bhakṣ
bhakṣay		bhakṣay			bhakṣay
bhaṇ		bhaṇ			bhaṇ
bhañj		bhañj			bhañj
bhañjay		bhañjay			bhañjay
bhāpay		bhāpay			bhāpay
bharjay		bharjay			bharjay
bharts		bharts			bharts
bhartsāpay		bhartsāpay			bhartsāpay
bhartsay		bhartsay			bhartsay
bhaṣ		bhaṣ			bhaṣ
bhās		bhās			bhās
bhāṣ		bhāṣ			bhāṣ
bhāsay		bhāsay			bhāsay
bhāṣay		bhāṣay			bhāṣay
bhasm		bhasm			bhasm
bhasmarāśīkṛ		bhasmarāśīkṛ			bhasmarāśīkṛ
bhasmasātkṛ		bhasmasātkṛ			bhasmasātkṛ
bhasmībhū		bhasmībhū			bhasmībhū
bhasmīkṛ		bhasmīkṛ			bhasmīkṛ
bhāvay		bhāvay			bhāvay
bhāyay		bhāyay			bhāyay
bheday		bheday			bheday
bhī		bhī			bhī
bhid		bhid			bhid
bhikṣ		bhikṣ			bhikṣ
bhojay		bhojay			bhojay
bhṛ		bhṛ			bhṛ
bhrāj		bhrāj			bhrāj
bhrājay		bhrājay			bhrājay
bhram		bhram			bhram
bhramay		bhramay			bhramay
bhrāmay		bhrāmay			bhrāmay
bhraṃś		bhraṃç			bhraṃç
bhraṃśay		bhraṃśay			bhraṃśay
bhṛjj		bhṛjj			bhṛjj
bhū		bhū			bhū
bhūṣay		bhūṣay			bhūṣay
bhūtībhū		bhūtībhū			bhūtībhū
bījīkṛ		bījīkṛ			bījīkṛ
bodhay		bodhay			bodhay
bṛṃh		bṛṃh			bṛṃh
bṛṃhay		bṛṃhay			bṛṃhay
brū		brū			brū
bruḍ		bruḍ			bruḍ
budh		budh			budh
cak		cak			cak
cakās		cakās			cakās
cakrīkṛ		cakrīkṛ			cakrīkṛ
cakṣ		cakṣ			cakṣ
cal		cal			cal
calay		calay			calay
cālay		cālay			cālay
camatkṛ		camatkṛ			camatkṛ
cañc		cañc			cañc
cand		cand			cand
capalībhū		capalībhū			capalībhū
car		car			car
cāray		cāray			cāray
carcay		carcay			carcay
carv		carv			carv
carvay		carvay			carvay
caṭ		caṭ			caṭ
ceṣṭ		ceṣṭ			ceṣṭ
ceṣṭay		ceṣṭay			ceṣṭay
cetanīkṛ		cetanīkṛ			cetanīkṛ
cetay		cetay			cetay
chad		chad			chad
chāday		chāday			chāday
chalay		chalay			chalay
chand		chand			chand
chanday		chanday			chanday
charday		charday			charday
cheday		cheday			cheday
chid		chid			chid
chup		chup			chup
cintay		cintay			cintay
cipiṭībhū		cipiṭībhū			cipiṭībhū
cit		cit			cit
coday		coday			coday
coray		coray			coray
cud		cud			cud
cumb		cumb			cumb
cumbay		cumbay			cumbay
cup		cup			cup
cūrṇībhū		cūrṇībhū			cūrṇībhū
cūrṇīkṛ		cūrṇīkṛ			cūrṇīkṛ
cūṣ		cūṣ			cūṣ
cūṣay		cūṣay			cūṣay
cyāvay		cyāvay			cyāvay
cyotay		cyotay			cyotay
cyu		cyu			cyu
cyut		cyut			cyut
dadhīkṛ		dadhīkṛ			dadhīkṛ
dah		dah			dah
dāhay		dāhay			dāhay
dakṣiṇīkṛ		dakṣiṇīkṛ			dakṣiṇīkṛ
dal		dal			dal
dalay		dalay			dalay
dālay		dālay			dālay
dam		dam			dam
damay		damay			damay
daṃś		daṃç			daṃç
daṃśay		daṃśay			daṃśay
dāpay		dāpay			dāpay
daray		daray			daray
dāray		dāray			dāray
darpay		darpay			darpay
darśay		darśay			darśay
dāruṇībhū		dāruṇībhū			dāruṇībhū
das		das			das
dās		dās			dās
dāsīkṛ		dāsīkṛ			dāsīkṛ
dasyusādbhū		dasyusādbhū			dasyusādbhū
davay		davay			davay
dāyay		dāyay			dāyay
deśay		deśay			deśay
devay		devay			devay
dham		dham			dham
dhamay		dhamay			dhamay
dhāmay		dhāmay			dhāmay
dhanv		dhanv			dhanv
dhāpay		dhāpay			dhāpay
dhāray		dhāray			dhāray
dharmīkṛ		dharmīkṛ			dharmīkṛ
dharṣay		dharṣay			dharṣay
ḍhauk		ḍhauk			ḍhauk
dhāvay		dhāvay			dhāvay
dhi		dhi			dhi
dhikkṛ		dhikkṛ			dhikkṛ
dhmāpay		dhmāpay			dhmāpay
dhṛ		dhṛ			dhṛ
dhṛṣ		dhṛṣ			dhṛṣ
dhū		dhū			dhū
dhūnay		dhūnay			dhūnay
dhvajīkṛ		dhvajīkṛ			dhvajīkṛ
dhvaṃs		dhvaṃs			dhvaṃs
dhvaṃsay		dhvaṃsay			dhvaṃsay
dhvan		dhvan			dhvan
dhvanay		dhvanay			dhvanay
dhyā		dhyā			dhyā
dhyānībhū		dhyānībhū			dhyānībhū
dih		dih			dih
dīkṣ		dīkṣ			dīkṣ
dīkṣay		dīkṣay			dīkṣay
dinīkṛ		dinīkṛ			dinīkṛ
dīp		dīp			dīp
dīpay		dīpay			dīpay
dīpībhū		dīpībhū			dīpībhū
dīrghīkṛ		dīrghīkṛ			dīrghīkṛ
diś		diç			diç
dīv		dīv			dīv
dohay		dohay			dohay
dṛ		dṛ			dṛ
drāvay		drāvay			drāvay
dravībhū		dravībhū			dravībhū
dravīkṛ		dravīkṛ			dravīkṛ
dṛbh		dṛbh			dṛbh
dṛḍhatarīkṛ		dṛḍhatarīkṛ			dṛḍhatarīkṛ
dṛḍhībhū		dṛḍhībhū			dṛḍhībhū
dṛḍhīkṛ		dṛḍhīkṛ			dṛḍhīkṛ
dṛh		dṛh			dṛh
dṛp		dṛp			dṛp
dṛś		dṛç			dṛç
dṛṣṭāntīkṛ		dṛṣṭāntīkṛ			dṛṣṭāntīkṛ
dru		dru			dru
druh		druh			druh
drutīkṛ		drutīkṛ			drutīkṛ
du		du			du
duh		duh			duh
duḥkhākṛ		khākṛ		duḥ	khākṛ
durbhagīkṛ		bhagīkṛ		dur	bhagīkṛ
dūrībhū		dūrībhū			dūrībhū
dūrīkṛ		dūrīkṛ			dūrīkṛ
durjanīkṛ		janīkṛ		dur	janīkṛ
duṣ		duṣ			duṣ
dūṣay		dūṣay			dūṣay
duṣṭībhū		duṣṭībhū			duṣṭībhū
dvaidhībhū		dvaidhībhū			dvaidhībhū
dvaidhīkṛ		dvaidhīkṛ			dvaidhīkṛ
dvaṃdvībhū		dvaṃdvībhū			dvaṃdvībhū
dvaṃdvīkṛ		dvaṃdvīkṛ			dvaṃdvīkṛ
dvidhākṛ		dvidhākṛ			dvidhākṛ
dviguṇībhū		dviguṇībhū			dviguṇībhū
dviṣ		dviṣ			dviṣ
dvividhīkṛ		dvividhīkṛ			dvividhīkṛ
dyotay		dyotay			dyotay
dyut		dyut			dyut
e		e			e
edh		edh			edh
edhay		edhay			edhay
ej		ej			ej
ekacittībhū		ekacittībhū			ekacittībhū
ekāgrībhū		ekāgrībhū			ekāgrībhū
ekāgrīkṛ		ekāgrīkṛ			ekāgrīkṛ
ekārṇavībhū		ekārṇavībhū			ekārṇavībhū
ekārṇavīkṛ		ekārṇavīkṛ			ekārṇavīkṛ
ekatrīkṛ		ekatrīkṛ			ekatrīkṛ
ekāyanīkṛ		ekāyanīkṛ			ekāyanīkṛ
ekībhū		ekībhū			ekībhū
ekīkṛ		ekīkṛ			ekīkṛ
eṣay		eṣay			eṣay
gad		gad			gad
gāh		gāh			gāh
gal		gal			gal
gālay		gālay			gālay
gam		gam			gam
gamay		gamay			gamay
gambhīrīkṛ		gambhīrīkṛ			gambhīrīkṛ
gaṇay		gaṇay			gaṇay
gāpay		gāpay			gāpay
garh		garh			garh
garhay		garhay			garhay
garj		garj			garj
garjay		garjay			garjay
ghanībhū		ghanībhū			ghanībhū
ghanīkṛ		ghanīkṛ			ghanīkṛ
gharṣay		gharṣay			gharṣay
ghaṭ		ghaṭ			ghaṭ
ghaṭay		ghaṭay			ghaṭay
ghātay		ghātay			ghātay
ghāṭay		ghāṭay			ghāṭay
ghaṭīkṛ		ghaṭīkṛ			ghaṭīkṛ
ghaṭṭ		ghaṭṭ			ghaṭṭ
ghaṭṭay		ghaṭṭay			ghaṭṭay
ghoṣay		ghoṣay			ghoṣay
ghrā		ghrā			ghrā
ghṛṣ		ghṛṣ			ghṛṣ
ghūrṇ		ghūrṇ			ghūrṇ
ghūrṇay		ghūrṇay			ghūrṇay
ghuṣ		ghuṣ			ghuṣ
glā		glā			glā
glah		glah			glah
glapay		glapay			glapay
glāpay		glāpay			glāpay
gocarībhū		gocarībhū			gocarībhū
golakīkṛ		golakīkṛ			golakīkṛ
golībhū		golībhū			golībhū
gopay		gopay			gopay
grah		grah			grah
grāhay		grāhay			grāhay
granth		granth			granth
granthay		granthay			granthay
gras		gras			gras
grāsay		grāsay			grāsay
grāsīkṛ		grāsīkṛ			grāsīkṛ
grathay		grathay			grathay
gṛdh		gṛdh			gṛdh
gṛhṇāpay		gṛhṇāpay			gṛhṇāpay
guh		guh			guh
gūhay		gūhay			gūhay
gumph		gumph			gumph
guṇībhū		guṇībhū			guṇībhū
guṇīkṛ		guṇīkṛ			guṇīkṛ
guñj		guñj			guñj
guṇṭh		guṇṭh			guṇṭh
guṇṭhay		guṇṭhay			guṇṭhay
gup		gup			gup
guṭikīkṛ		guṭikīkṛ			guṭikīkṛ
hā		hā			hā
haimīkṛ		haimīkṛ			haimīkṛ
han		han			han
hāpay		hāpay			hāpay
hāray		hāray			hāray
harṣay		harṣay			harṣay
has		has			has
hāsay		hāsay			hāsay
hāvay		hāvay			hāvay
heṣ		heṣ			heṣ
hi		hi			hi
hikk		hikk			hikk
hikkay		hikkay			hikkay
hiṃs		hiṃs			hiṃs
hiṃsay		hiṃsay			hiṃsay
hiṇḍ		hiṇḍ			hiṇḍ
hlād		hlād			hlād
hlāday		hlāday			hlāday
homay		homay			homay
hṛ		hṛ			hṛ
hras		hras			hras
hrāsay		hrāsay			hrāsay
hrī		hrī			hrī
hṛṣ		hṛṣ			hṛṣ
hu		hu			hu
huṃkṛ		huṃkṛ			huṃkṛ
hvā		hu		h	hu
i		i			i
īḍ		īḍ			īḍ
īh		īh			īh
īkṣ		īkṣ			īkṣ
īkṣay		īkṣay			īkṣay
indh		indh			indh
indhay		indhay			indhay
iṅg		iṅg			iṅg
īr		īr			īr
īray		īray			īray
īrṣy		īrṣy			īrṣy
īś		īç			īç
jaḍībhū		jaḍībhū			jaḍībhū
jaḍīkṛ		jaḍīkṛ			jaḍīkṛ
jāgaray		jāgaray			jāgaray
jāgṛ		jāgṛ			jāgṛ
jakṣ		jakṣ			jakṣ
jalp		jalp			jalp
jalpay		jalpay			jalpay
jambhay		jambhay			jambhay
jan		jan			jan
janay		janay			janay
janībhū		janībhū			janībhū
jap		jap			jap
jāpay		jāpay			jāpay
jaray		jaray			jaray
jāray		jāray			jāray
jarjarīkṛ		jarjarīkṛ			jarjarīkṛ
jaṭībhū		jaṭībhū			jaṭībhū
ji		ji			ji
jihmīkṛ		jihmīkṛ			jihmīkṛ
jīrṇay		jīrṇay			jīrṇay
jīv		jīv			jīv
jīvāpay		jīvāpay			jīvāpay
jīvay		jīvay			jīvay
jñā		jñā			jñā
jñāpay		jñāpay			jñāpay
joṣay		joṣay			joṣay
jṛ		jṛ			jṛ
jṛmbh		jṛmbh			jṛmbh
jṛmbhay		jṛmbhay			jṛmbhay
juṣ		juṣ			juṣ
jval		jval			jval
jvalay		jvalay			jvalay
jvālay		jvālay			jvālay
jvar		jvar			jvar
jvaray		jvaray			jvaray
kabalīkṛ		kabalīkṛ			kabalīkṛ
kācībhū		kācībhū			kācībhū
kadambakīkṛ		kadambakīkṛ			kadambakīkṛ
kadarthīkṛ		kadarthīkṛ			kadarthīkṛ
kajjalīkṛ		kajjalīkṛ			kajjalīkṛ
kalalībhū		kalalībhū			kalalībhū
kalāpīkṛ		kalāpīkṛ			kalāpīkṛ
kalay		kalay			kalay
kālay		kālay			kālay
kalilībhū		kalilībhū			kalilībhū
kalkīkṛ		kalkīkṛ			kalkīkṛ
kalpay		kalpay			kalpay
kaluṣībhū		kaluṣībhū			kaluṣībhū
kaluṣīkṛ		kaluṣīkṛ			kaluṣīkṛ
kam		kam			kam
kāmay		kāmay			kāmay
kamp		kamp			kamp
kampay		kampay			kampay
kaṇ		kaṇ			kaṇ
kāñcanīkṛ		kāñcanīkṛ			kāñcanīkṛ
kāṅkṣ		kāṅkṣ			kāṅkṣ
kāṅkṣay		kāṅkṣay			kāṅkṣay
kapilīkṛ		kapilīkṛ			kapilīkṛ
karaṇīkṛ		karaṇīkṛ			karaṇīkṛ
kāray		kāray			kāray
karśay		karśay			karśay
karṣay		karṣay			karṣay
kartay		kartay			kartay
kaṣ		kaṣ			kaṣ
kās		kās			kās
kāś		kāç			kāç
kāṣṭhībhū		kāṣṭhībhū			kāṣṭhībhū
kath		kath			kath
kathay		kathay			kathay
kaṭhinībhū		kaṭhinībhū			kaṭhinībhū
kaṭhinīkṛ		kaṭhinīkṛ			kaṭhinīkṛ
katth		katth			katth
kavalīkṛ		kavalīkṛ			kavalīkṛ
kevalībhū		kevalībhū			kevalībhū
khac		khac			khac
khād		khād			khād
khāday		khāday			khāday
khaj		khaj			khaj
khalīkṛ		khalīkṛ			khalīkṛ
khan		khan			khan
khanay		khanay			khanay
khānay		khānay			khānay
khaṇḍībhū		khaṇḍībhū			khaṇḍībhū
khaṇḍīkṛ		khaṇḍīkṛ			khaṇḍīkṛ
khañj		khañj			khañj
kheday		kheday			kheday
khel		khel			khel
khid		khid			khid
khilībhū		khilībhū			khilībhū
khyā		khyā			khyā
khyāpay		khyāpay			khyāpay
kiṃpuruṣīkṛ		kiṃpuruṣīkṛ			kiṃpuruṣīkṛ
kīrtay		kīrtay			kīrtay
klam		klam			klam
klāmay		klāmay			klāmay
kleday		kleday			kleday
kleśay		kleśay			kleśay
klid		klid			klid
kliś		kliç			kliç
knopay		knopay			knopay
kopay		kopay			kopay
koṣṭakīkṛ		koṣṭakīkṛ			koṣṭakīkṛ
koṣṭhakīkṛ		koṣṭhakīkṛ			koṣṭhakīkṛ
kothay		kothay			kothay
k�p		k�p			k�p
kram		kram			kram
kramay		kramay			kramay
krāmay		krāmay			krāmay
krand		krand			krand
krāth		krāth			krāth
krī		krī			krī
krīḍ		krīḍ			krīḍ
krīḍāpay		krīḍāpay			krīḍāpay
krīḍay		krīḍay			krīḍay
kṛntay		kṛntay			kṛntay
krodhay		krodhay			krodhay
kroḍīkṛ		kroḍīkṛ			kroḍīkṛ
kṛp		kṛp			kṛp
kṛpay		kṛpay			kṛpay
kṛś		kṛç			kṛç
kṛṣ		kṛṣ			kṛṣ
kṛśībhū		kṛśībhū			kṛśībhū
kṛṣṇībhū		kṛṣṇībhū			kṛṣṇībhū
kṛt		kṛt			kṛt
kṛtārthīkṛ		kṛtārthīkṛ			kṛtārthīkṛ
krudh		krudh			krudh
kruś		kruç			kruç
kṣālay		kṣālay			kṣālay
kṣam		kṣam			kṣam
kṣamay		kṣamay			kṣamay
kṣāmay		kṣāmay			kṣāmay
kṣan		kṣan			kṣan
kṣaṇībhū		kṣaṇībhū			kṣaṇībhū
kṣap		kṣap			kṣap
kṣapaṇībhū		kṣapaṇībhū			kṣapaṇībhū
kṣapay		kṣapay			kṣapay
kṣar		kṣar			kṣar
kṣāray		kṣāray			kṣāray
kṣayīkṛ		kṣayīkṛ			kṣayīkṛ
kṣepay		kṣepay			kṣepay
kṣetrīkṛ		kṣetrīkṛ			kṣetrīkṛ
kṣip		kṣip			kṣip
kṣobhay		kṣobhay			kṣobhay
kṣoday		kṣoday			kṣoday
kṣu		kṣu			kṣu
kṣubh		kṣubh			kṣubh
kṣud		kṣud			kṣud
kṣudh		kṣudh			kṣudh
kṣveḍay		kṣveḍay			kṣveḍay
kṣviḍ		kṣviḍ			kṣviḍ
kuḍmalīkṛ		kuḍmalīkṛ			kuḍmalīkṛ
kūj		kūj			kūj
kūlay		kūlay			kūlay
kuñc		kuñc			kuñc
kuñcay		kuñcay			kuñcay
kup		kup			kup
kūrd		kūrd			kūrd
kuṣ		kuṣ			kuṣ
kuṭ		kuṭ			kuṭ
kuts		kuts			kuts
kuṭṭ		kuṭṭ			kuṭṭ
kuṭṭay		kuṭṭay			kuṭṭay
kvaṇ		kvaṇ			kvaṇ
kvaṇay		kvaṇay			kvaṇay
kvath		kvath			kvath
kvāthay		kvāthay			kvāthay
labh		labh			labh
lag		lag			lag
lagay		lagay			lagay
lāgay		lāgay			lāgay
lajj		lajj			lajj
lajjay		lajjay			lajjay
lakṣ		lakṣ			lakṣ
lakṣay		lakṣay			lakṣay
lakṣīkṛ		lakṣīkṛ			lakṣīkṛ
lakṣyīkṛ		lakṣyīkṛ			lakṣyīkṛ
lal		lal			lal
lālasībhū		lālasībhū			lālasībhū
lālay		lālay			lālay
lamb		lamb			lamb
lambay		lambay			lambay
lambhay		lambhay			lambhay
laṅgh		laṅgh			laṅgh
laṅghay		laṅghay			laṅghay
lap		lap			lap
lāpay		lāpay			lāpay
las		las			las
lāsay		lāsay			lāsay
lavaṇīkṛ		lavaṇīkṛ			lavaṇīkṛ
lehay		lehay			lehay
lehībhū		lehībhū			lehībhū
lekhāpay		lekhāpay			lekhāpay
lekhay		lekhay			lekhay
lepay		lepay			lepay
lī		lī			lī
lih		lih			lih
likh		likh			likh
liṅgay		liṅgay			liṅgay
liṅgībhū		liṅgībhū			liṅgībhū
lip		lip			lip
lobhay		lobhay			lobhay
loḍay		loḍay			loḍay
lohitīkṛ		lohitīkṛ			lohitīkṛ
lokay		lokay			lokay
lolay		lolay			lolay
lolībhū		lolībhū			lolībhū
lopay		lopay			lopay
lū		lū			lū
lubh		lubh			lubh
lul		lul			lul
luñc		luñc			luñc
luñcay		luñcay			luñcay
luṇṭh		luṇṭh			luṇṭh
lup		lup			lup
luṭh		luṭh			luṭh
mā		mā			mā
mad		mad			mad
maday		maday			maday
māday		māday			māday
madhurībhū		madhurībhū			madhurībhū
majj		majj			majj
majjay		majjay			majjay
malinīkṛ		malinīkṛ			malinīkṛ
man		man			man
mānay		mānay			mānay
maṇḍalībhū		maṇḍalībhū			maṇḍalībhū
maṇḍalīkṛ		maṇḍalīkṛ			maṇḍalīkṛ
maṇḍanībhū		maṇḍanībhū			maṇḍanībhū
mandībhū		mandībhū			mandībhū
mandīkṛ		mandīkṛ			mandīkṛ
mañjarīkṛ		mañjarīkṛ			mañjarīkṛ
maṇṭ		maṇṭ			maṇṭ
manthay		manthay			manthay
māpay		māpay			māpay
māray		māray			māray
mārdavīkṛ		mārdavīkṛ			mārdavīkṛ
marday		marday			marday
mārīkṛ		mārīkṛ			mārīkṛ
mārjay		mārjay			mārjay
marśay		marśay			marśay
marṣay		marṣay			marṣay
maryādīkṛ		maryādīkṛ			maryādīkṛ
masṛṇīkṛ		masṛṇīkṛ			masṛṇīkṛ
math		math			math
mathay		mathay			mathay
med		med			med
meghīkṛ		meghīkṛ			meghīkṛ
melay		melay			melay
mih		mih			mih
mil		mil			mil
mīl		mīl			mīl
mīlay		mīlay			mīlay
miṣ		miṣ			miṣ
miśrībhū		miśrībhū			miśrībhū
miśrīkṛ		miśrīkṛ			miśrīkṛ
mithunībhū		mithunībhū			mithunībhū
mithunīkṛ		mithunīkṛ			mithunīkṛ
mitrībhū		mitrībhū			mitrībhū
mlā		mlā			mlā
mlāpay		mlāpay			mlāpay
mlecchībhū		mlecchībhū			mlecchībhū
mnā		mnā			mnā
mocay		mocay			mocay
moday		moday			moday
moghīkṛ		moghīkṛ			moghīkṛ
mohay		mohay			mohay
mokṣay		mokṣay			mokṣay
mṛ		mṛ			mṛ
mṛd		mṛd			mṛd
mṛdūbhū		mṛdūbhū			mṛdūbhū
mṛdūkṛ		mṛdūkṛ			mṛdūkṛ
mṛj		mṛj			mṛj
mṛś		mṛç			mṛç
mṛṣ		mṛṣ			mṛṣ
mṛtībhū		mṛtībhū			mṛtībhū
muc		muc			muc
mud		mud			mud
muh		muh			muh
mukhībhū		mukhībhū			mukhībhū
mukhīkṛ		mukhīkṛ			mukhīkṛ
muktīkṛ		muktīkṛ			muktīkṛ
mukulīkṛ		mukulīkṛ			mukulīkṛ
mūlīkṛ		mūlīkṛ			mūlīkṛ
mūrch		mūrch			mūrch
mūrchāpay		mūrchāpay			mūrchāpay
mūrchay		mūrchay			mūrchay
muṣ		muṣ			muṣ
nad		nad			nad
nāday		nāday			nāday
nah		nah			nah
nāhay		nāhay			nāhay
nam		nam			nam
namaskṛ		namaskṛ			namaskṛ
namay		namay			namay
nāmay		nāmay			nāmay
nand		nand			nand
nanday		nanday			nanday
nard		nard			nard
narday		narday			narday
nartay		nartay			nartay
nāśay		nāśay			nāśay
naṣṭapiṣṭīkṛ		naṣṭapiṣṭīkṛ			naṣṭapiṣṭīkṛ
naṭ		naṭ			naṭ
nāṭay		nāṭay			nāṭay
navīkṛ		navīkṛ			navīkṛ
nāyay		nāyay			nāyay
nibandh		bandh		ni	bandh
nibandhay		bandhay		ni	bandhay
nibarhay		barhay		ni	barhay
nibhid		bhid		ni	bhid
nibodhay		bodhay		ni	bodhay
nibudh		budh		ni	budh
nicayīkṛ		cayīkṛ		ni	cayīkṛ
nicchāday		cchāday		ni	cchāday
nici		ci		ni	ci
nīcīkṛ		nīcīkṛ			nīcīkṛ
nidarśay		darśay		ni	darśay
nidhā		dhā		ni	dhā
nidhāpay		dhāpay		ni	dhāpay
nidhāray		dhāray		ni	dhāray
nidhāv		dhāv		ni	dhāv
nidhṛ		dhṛ		ni	dhṛ
nidhū		dhū		ni	dhū
nidhyā		dhyā		ni	dhyā
nidih		dih		ni	dih
nidiś		diç		ni	diç
nigā		gā		ni	gā
nigad		gad		ni	gad
nigālay		gālay		ni	gālay
nigam		gam		ni	gam
nigamay		gamay		ni	gamay
nigharṣay		gharṣay		ni	gharṣay
nighṛṣ		ghṛṣ		ni	ghṛṣ
nigṛ		gṛ		ni	gṛ
nigrah		grah		ni	grah
nigrāhay		grāhay		ni	grāhay
niguh		guh		ni	guh
nigūhay		gūhay		ni	gūhay
nigup		gup		ni	gup
nihā		hā		ni	hā
nihan		han		ni	han
niḥkṣip		kṣip		niḥ	kṣip
nihnu		hnu		ni	hnu
niḥsāray		sāray		niḥ	sāray
niḥsarpay		rpay		niḥsa	rpay
niḥśeṣay		śeṣay		niḥ	śeṣay
niḥśī		çī		niḥ	çī
niḥsnehīkṛ		snehīkṛ		niḥ	snehīkṛ
niḥsṛ		sṛ		niḥ	sṛ
niḥsrāvay		srāvay		niḥ	srāvay
niḥsṛj		sṛj		niḥ	sṛj
niḥsṛp		sṛp		niḥ	sṛp
niḥsru		sru		niḥ	sru
niḥṣṭhā		ṣṭhā		niḥ	ṣṭhā
niḥṣṭhīv		ṣṭhīv		niḥ	ṣṭhīv
niḥsvan		svan		niḥ	svan
niḥśvas		çvas		niḥ	çvas
niḥsvībhū		svībhū		niḥ	svībhū
nij		nij			nij
nikal		kal		ni	kal
nikālay		kālay		ni	kālay
nikartay		kartay		ni	kartay
nikaṣ		kaṣ		ni	kaṣ
nikhan		khan		ni	khan
nikhānay		khānay		ni	khānay
nikhātay		khātay		ni	khātay
nikṛ		kṛ		ni	kṛ
nikṛntay		kṛntay		ni	kṛntay
